Gene = Skadu
index = 1503
Annotated 5SS: [94]
Annotated 3SS: [148]
SMsplice 5SS: [94]
SMsplice 3SS: [148]
Partition function (log Z): -6.803657585330433

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.9904188072340236
Position 484: 0.03148304184289405
Position 323: 0.023785636228647874
Position 532: 0.02041066353555542
Position 361: 0.006609450166106793
Position 385: 0.0034882405230004915
Position 302: 0.0005996659703891914
Position 215: 0.0004743465953460058
Position 98: 0.00041221675218828315
Position 541: 0.0002704371251476352
Position 389: 0.0002421568853090865
Position 58: 0.0002338789786653894
Position 206: 1.712249519972186e-05
Position 235: 6.765289689901968e-06
Position 73: 3.6330270303506494e-06
Position 589: 3.0580891243545594e-06
Position 266: 2.327324960739934e-06
Position 452: 2.0858079036483685e-06
Position 661: 1.535432461382996e-06
Position 416: 9.212957607120581e-07
Position 594: 8.460714588422593e-07
Position 178: 7.656680869056315e-07
Position 582: 7.163184480821606e-07
Position 227: 3.14658123242297e-07
Position 624: 1.017151161579503e-07
Position 673: 1.486875348258326e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 148: 0.9166395827041153
Position 582: 0.04342079321153258
Position 198: 0.041458027439177855
Position 412: 0.034169059489521536
Position 629: 0.020711907173888527
Position 445: 0.010259655573406178
Position 251: 0.006370869860772053
Position 150: 0.0012761557425613628
Position 651: 0.000984282904921115
Position 594: 0.0006053215992312795
Position 541: 0.00047843186270420134
Position 361: 0.0003259617021569003
Position 232: 0.00021366789575823428
Position 235: 0.00019866542495897572
Position 510: 0.0001951235917617233
Position 466: 0.00015790933587045116
Position 457: 0.00014138107582927704
Position 215: 0.0001413645073404281
Position 206: 0.0001353522319181545
Position 708: 0.00012303522468268987
Position 385: 9.923775880609104e-05
Position 110: 9.475302526743638e-05
Position 220: 6.766747229137834e-05
Position 532: 6.592366096994701e-05
Position 340: 6.444983883673139e-05
Position 343: 4.466672677148185e-05
Position 484: 6.360143217501002e-06
Position 661: 6.02091113747309e-06
Position 538: 5.6023649393657775e-06
Position 481: 4.447605008357697e-06
Position 302: 1.4687852948455695e-06
Position 686: 7.883523890151779e-07
Position 715: 3.70151668912023e-07
Position 683: 2.4568217073710374e-07
Position 514: 1.2437827709091186e-07
Position 293: 3.854219935147758e-08
Position 289: 3.594791943336592e-08
Position 512: 1.1775972864120825e-13
