Gene = RpS17
index = 1449
Annotated 5SS: [ 30 127 648]
Annotated 3SS: [ 93 495 706]
SMsplice 5SS: [ 30 648]
SMsplice 3SS: [ 93 706]
Partition function (log Z): 4.607757416960877

Sorted 5' Splice Sites (High to Low Probability):
Position 648: 0.9996059275362916
Position 30: 0.9958917846957515
Position 127: 0.05705236364901093
Position 212: 0.04308097948193093
Position 415: 0.02521051673670234
Position 252: 0.021031226014030378
Position 339: 0.007950346506574814
Position 418: 0.0025545211724175994
Position 219: 0.0023416253819243766
Position 361: 0.0007487418359601669
Position 170: 0.00040908409185135626
Position 96: 0.00037796566636818217
Position 747: 0.00030189166179498935
Position 230: 0.00021436329793140364
Position 261: 0.00018667837722247647
Position 962: 0.0001253519337331902
Position 953: 9.552388774708658e-05
Position 272: 9.40196157585756e-05
Position 672: 4.8314702629619125e-05
Position 843: 4.317108378545016e-05
Position 34: 4.23108733803248e-05
Position 465: 3.684585199687358e-05
Position 784: 3.327453266328994e-05
Position 535: 2.4374670379273185e-05
Position 502: 2.272765242710312e-05
Position 517: 1.3136226332644085e-05
Position 131: 9.417333445726195e-06
Position 652: 7.0631517337389004e-06
Position 754: 6.590077193909961e-06
Position 18: 5.97872245741496e-06
Position 47: 4.881995558411678e-06
Position 668: 3.808328159260478e-06
Position 604: 3.2839692925058784e-06
Position 549: 3.22754331737329e-06
Position 934: 2.6158366737151253e-06
Position 57: 2.083311061215385e-06
Position 937: 9.660182397604606e-07
Position 497: 6.160855020796768e-07
Position 567: 5.096708648413618e-07
Position 767: 4.80701134885694e-07
Position 751: 3.143965537797267e-07
Position 974: 2.8240850760763913e-07
Position 866: 2.3344560860197471e-07
Position 895: 1.9390363284342716e-07
Position 813: 1.1611302686369183e-07
Position 790: 1.9478905860970896e-08
Position 676: 1.8786370902072277e-08
Position 793: 1.2813365912221436e-08
Position 804: 9.000220845442888e-09
Position 711: 3.5313306661565466e-09
Position 736: 3.2190467522554334e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 706: 0.9966870264878102
Position 93: 0.9501130200571603
Position 495: 0.20137814031861065
Position 295: 0.0015651228058487369
Position 424: 0.0015130513474532644
Position 767: 0.0011805563707195897
Position 773: 0.0009891181323625376
Position 389: 0.0007345617019794271
Position 746: 0.0007114364471222372
Position 361: 0.0005602604536544801
Position 830: 0.0004023780960042322
Position 319: 0.0003635813383551627
Position 116: 0.0002899221213737717
Position 513: 0.00015629170462364624
Position 1023: 0.00013883456479301873
Position 415: 9.791477149714214e-05
Position 1012: 9.177378696804507e-05
Position 242: 8.014139530522774e-05
Position 525: 7.830311539969909e-05
Position 549: 7.502555558985092e-05
Position 588: 5.6943477064324114e-05
Position 905: 5.255419782071951e-05
Position 439: 4.660203243598232e-05
Position 344: 3.79067682525567e-05
Position 397: 3.131667989499042e-05
Position 522: 3.0955327122617206e-05
Position 534: 2.7281590720859444e-05
Position 198: 2.1781392532085714e-05
Position 776: 1.8716356564335673e-05
Position 167: 1.3511541982458079e-05
Position 219: 1.34797775755829e-05
Position 179: 8.605824389966887e-06
Position 779: 8.38215515403373e-06
Position 958: 4.604535193130332e-06
Position 339: 3.515868746912682e-06
Position 624: 2.154926120303019e-06
Position 603: 1.5078660494668274e-06
Position 600: 8.190532574872148e-07
Position 827: 5.871347931017524e-07
Position 965: 5.366061525802094e-07
Position 546: 5.113892247790234e-07
Position 948: 3.1789379353254496e-07
Position 639: 2.9433956757429045e-07
Position 863: 2.175302873703857e-07
Position 914: 8.21124128120883e-08
Position 860: 7.749796057131844e-08
Position 672: 4.209815992027601e-08
Position 872: 2.7305735007139424e-08
Position 782: 2.2854198538025788e-09
Position 842: 7.707744990520825e-10
Position 652: 6.827297339675379e-11
Position 676: 1.6398287755795616e-12
Position 788: 9.928686782314701e-14
