Gene = Cpr65Au
index = 1098
Annotated 5SS: [162]
Annotated 3SS: [503]
SMsplice 5SS: [162]
SMsplice 3SS: [503]
Partition function (log Z): -4.475228368347417

Sorted 5' Splice Sites (High to Low Probability):
Position 162: 0.47720134589923463
Position 166: 0.4234687754098922
Position 397: 0.24833768458782302
Position 425: 0.09151299042664496
Position 364: 0.014695417999156442
Position 205: 0.012029754680139065
Position 418: 0.004810534230272456
Position 95: 0.003036232372023059
Position 415: 0.0010292169128522446
Position 704: 0.0003644824700049792
Position 778: 0.00018698627030167735
Position 427: 0.00015696826484144796
Position 753: 0.00013485707275885634
Position 278: 0.00010650014001971545
Position 442: 9.885889823340186e-05
Position 71: 8.926962779717083e-05
Position 249: 8.901828796251822e-05
Position 672: 8.733347788788131e-05
Position 290: 6.93802196777314e-05
Position 606: 6.035463151166355e-05
Position 542: 4.843333480131841e-05
Position 52: 3.240611584388503e-05
Position 547: 3.0342766314162508e-05
Position 682: 1.0724553395401353e-05
Position 77: 5.790144979786149e-06
Position 337: 4.4132556820704584e-06
Position 733: 1.5170169033742995e-06
Position 575: 1.4469903732915659e-06
Position 582: 8.737436847653527e-07
Position 314: 8.391484256345591e-07
Position 638: 5.866491891721215e-07
Position 764: 4.0361144252222693e-07
Position 45: 2.4799672109264186e-07
Position 793: 1.1022208883294479e-07
Position 323: 5.464507530668201e-09
Position 586: 7.333397114246539e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 503: 0.9708175854399296
Position 314: 0.20263100913611912
Position 252: 0.09461312529284106
Position 510: 0.006497213747628225
Position 361: 0.001137100761721764
Position 591: 0.0005197618116843802
Position 546: 0.0002471783441884147
Position 165: 0.00022691430188649268
Position 836: 0.0002206769948286698
Position 759: 0.00021811374626094386
Position 767: 0.00016463812213978523
Position 805: 0.0001528417459248707
Position 773: 6.97403933624565e-05
Position 672: 5.001545667508129e-05
Position 424: 4.6212791854110823e-05
Position 230: 3.7426631607617014e-05
Position 363: 2.502621852575086e-05
Position 809: 1.5588098092855616e-05
Position 677: 5.113466378760517e-06
Position 638: 1.8474340384407137e-06
Position 415: 1.825234172006997e-06
Position 380: 1.2662247922691936e-06
Position 537: 1.1119922692662338e-06
Position 785: 5.016012923353864e-07
Position 393: 4.333347957254867e-07
Position 602: 3.9306615582190666e-07
Position 108: 2.9348375548333645e-07
Position 733: 2.3297059720065167e-07
Position 568: 2.1446374969087313e-07
Position 176: 1.961322533342245e-07
Position 370: 1.3599628628001144e-07
Position 616: 8.553188791024101e-08
Position 610: 6.052615239189911e-08
Position 99: 5.6024144892520885e-08
Position 685: 3.669840271522218e-08
Position 570: 3.436539533685352e-08
Position 682: 3.174000736119543e-08
Position 400: 2.1122278413958737e-08
Position 778: 1.4594913446017478e-08
Position 633: 9.128758445687653e-09
Position 817: 5.505093126689635e-09
Position 515: 4.930515977972727e-09
Position 395: 2.680358924512732e-09
Position 559: 2.5091367778522318e-09
Position 129: 2.2891279606870756e-09
Position 690: 1.0781553498438708e-09
Position 114: 4.665805045609239e-10
Position 693: 9.622378871268477e-15
Position 131: 1.9110861344485106e-17
