Gene = CG8891
index = 1014
Annotated 5SS: [235 604]
Annotated 3SS: [293 671]
SMsplice 5SS: [235 604]
SMsplice 3SS: [293 671]
Partition function (log Z): -1.5359059755217175

Sorted 5' Splice Sites (High to Low Probability):
Position 604: 0.988669204071214
Position 235: 0.8395561424345028
Position 617: 0.008591145938447425
Position 471: 0.005005717427796748
Position 801: 0.002639952910319701
Position 344: 0.0013720753893171293
Position 408: 0.0009525496865499023
Position 161: 0.0005133052809790981
Position 203: 0.00019129604374429053
Position 451: 0.00014773294406143393
Position 375: 0.00014085610717823102
Position 424: 0.00012711358847844418
Position 262: 0.00011058381205714965
Position 278: 8.26092673373999e-05
Position 624: 3.246940727605825e-05
Position 412: 3.0873981330966677e-05
Position 165: 1.870487607823044e-05
Position 201: 1.6361043681730784e-05
Position 608: 1.4390424323688482e-05
Position 459: 1.183120122314047e-05
Position 572: 1.0737748615294066e-05
Position 362: 9.437149364453766e-06
Position 265: 8.891904373264597e-06
Position 522: 7.008296599329145e-06
Position 379: 4.857209460375294e-06
Position 75: 2.5503064180856674e-06
Position 103: 1.8229061044550859e-06
Position 41: 1.664221958406263e-06
Position 184: 1.6486659361155119e-06
Position 55: 1.4045150551441408e-06
Position 726: 1.0940540226966356e-06
Position 339: 4.536163810120994e-07
Position 322: 4.04119067059064e-07
Position 566: 2.464786602013425e-07
Position 113: 1.377552047018881e-07
Position 108: 9.978368013661326e-08
Position 356: 7.499552897854437e-08
Position 289: 6.652431192081628e-08
Position 524: 4.1923158186683185e-08
Position 282: 4.7068255741115474e-09
Position 679: 4.128213518941861e-09
Position 692: 3.459113211228825e-09
Position 132: 2.6303703564686664e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 671: 0.9962653250899989
Position 293: 0.834697178478121
Position 550: 0.010680748498681083
Position 883: 0.002585432603874017
Position 322: 0.0014762133998308937
Position 687: 0.0010897638111348061
Position 692: 0.0004118988563272977
Position 436: 0.00034651589272983524
Position 319: 0.00023430046754399747
Position 265: 0.00016709957321323725
Position 880: 7.427424932056838e-05
Position 397: 6.439731772227389e-05
Position 328: 4.343020315460197e-05
Position 486: 4.181839732628311e-05
Position 478: 1.7827672780951332e-05
Position 705: 1.4233892688424992e-05
Position 726: 1.1327049989727586e-05
Position 234: 9.587141792999181e-06
Position 212: 8.2592758046767e-06
Position 766: 8.050962727510382e-06
Position 331: 7.233423516311122e-06
Position 433: 6.143302758336995e-06
Position 343: 4.583098721131323e-06
Position 375: 3.4116199487916535e-06
Position 735: 1.622796949623271e-06
Position 245: 1.32179962891726e-06
Position 562: 1.3134944792496746e-06
Position 493: 1.2109429561984733e-06
Position 442: 7.012388764624752e-07
Position 307: 6.998876269739056e-07
Position 780: 3.1567857308439147e-07
Position 209: 2.9372747433981376e-07
Position 732: 2.7512132751911297e-07
Position 184: 2.732061099360198e-07
Position 152: 1.6257635467856805e-07
Position 149: 9.548355906981856e-08
Position 335: 8.993449590947882e-08
Position 624: 5.2896507909282575e-08
Position 795: 2.8019630896351553e-08
Position 448: 2.420929600636549e-08
Position 367: 1.3923763243298501e-08
Position 813: 1.340043389248714e-08
Position 86: 3.1371635319983023e-09
Position 535: 2.6344165125636693e-09
Position 801: 1.6077304810452031e-09
Position 621: 4.19817149843468e-10
Position 159: 1.0568798838090186e-10
Position 789: 3.926677533200246e-11
Position 608: 3.893818844447581e-12
Position 161: 1.2599546329549753e-12
