Gene = snsl
index = 1884
Annotated 5SS: [  64 1010 1870]
Annotated 3SS: [ 898 1782 1928]
SMsplice 5SS: [1010 1870]
SMsplice 3SS: [1782 1928]
Partition function (log Z): -6.679921610696558

Sorted 5' Splice Sites (High to Low Probability):
Position 1870: 0.9772024661722046
Position 1010: 0.5642979102717932
Position 2069: 0.5377194670837135
Position 49: 0.12578328825662302
Position 99: 0.07291579671663061
Position 64: 0.0656805586757601
Position 1449: 0.030882793197047526
Position 496: 0.03071577630141634
Position 292: 0.02589100100531091
Position 1724: 0.02301309417156305
Position 1386: 0.02139737614594588
Position 435: 0.020819352129381713
Position 1440: 0.01728336130421896
Position 1617: 0.017165685322884688
Position 378: 0.013479509255666423
Position 127: 0.0123387599833437
Position 1594: 0.01201927950079788
Position 613: 0.010530237568766919
Position 2540: 0.008675712257253092
Position 123: 0.0070794054828976815
Position 178: 0.006672682560300096
Position 1014: 0.006352945172008436
Position 1257: 0.005156747936650466
Position 850: 0.003914536061536098
Position 2516: 0.0038154186698538487
Position 300: 0.0026299015936739837
Position 1235: 0.00203277841109448
Position 1658: 0.0017809918014963207
Position 2612: 0.0013683839418226834
Position 548: 0.0011173754758591911
Position 2761: 0.0010504631070415856
Position 766: 0.0010167302058132154
Position 1243: 0.0009246311314572708
Position 502: 0.0008908791942713601
Position 2556: 0.0008888114248199817
Position 31: 0.0008555961710377985
Position 1266: 0.0007257800295714421
Position 875: 0.000710634792894594
Position 606: 0.0006536765717028129
Position 337: 0.0006151757944773996
Position 2120: 0.0004501602836986569
Position 318: 0.0004053845780432923
Position 2543: 0.0003999083087383506
Position 1381: 0.00039776055910999397
Position 596: 0.0002678741627349238
Position 1332: 0.0002672928193521859
Position 2616: 0.00025219789094639274
Position 2639: 0.00022624385848651494
Position 2753: 0.00022427972735798385
Position 889: 0.00020722501363693862
Position 617: 0.000202515981259725
Position 1628: 0.0001929077973596153
Position 2597: 0.00019079743204565705
Position 1474: 0.00018663145934201926
Position 103: 0.0001687650047646993
Position 1188: 0.0001549004327754989
Position 601: 0.00014759211405801232
Position 1880: 0.00014551723167520556
Position 182: 0.00014444534385553152
Position 1341: 0.00014424803560702054
Position 1264: 0.00014242765400188486
Position 518: 0.0001316208471937437
Position 885: 0.0001287791240359127
Position 789: 0.00010945612687841135
Position 2253: 0.00010327273059494023
Position 733: 0.00010314942914870247
Position 1492: 9.396839014762958e-05
Position 474: 9.24454348715324e-05
Position 34: 9.195683451962116e-05
Position 1208: 8.716193707141489e-05
Position 2619: 8.497847305993058e-05
Position 1059: 8.163343501125576e-05
Position 1174: 7.714970794132614e-05
Position 619: 7.624951629018787e-05
Position 259: 7.415292751225563e-05
Position 2734: 7.360836008137325e-05
Position 621: 7.05545324601096e-05
Position 663: 7.047878638774336e-05
Position 817: 6.978696906984657e-05
Position 623: 6.166954726768669e-05
Position 1282: 6.060921403932431e-05
Position 2589: 6.0337348549818614e-05
Position 1354: 5.761502415170432e-05
Position 1704: 5.4490314511918884e-05
Position 1227: 4.9711939315935294e-05
Position 2340: 4.6165351556959646e-05
Position 1247: 4.4768949563529703e-05
Position 1985: 4.106346047185893e-05
Position 2366: 3.879632325153899e-05
Position 1769: 3.6995919459144897e-05
Position 538: 3.651761550651292e-05
Position 1542: 3.4361296630722994e-05
Position 1431: 3.185068523358821e-05
Position 2520: 3.137229279705935e-05
Position 526: 3.1206100089466696e-05
Position 2412: 2.9657056309930335e-05
Position 2698: 2.87466835040745e-05
Position 2745: 2.7690249185158965e-05
Position 1293: 2.7653268800298986e-05
Position 268: 2.6929862325666655e-05
Position 2188: 2.654175289904623e-05
Position 778: 2.557863624470291e-05
Position 2243: 2.3458241067614145e-05
Position 1032: 2.215125185500545e-05
Position 2317: 2.186264915242312e-05
Position 2403: 2.016717239637724e-05
Position 1191: 1.718663164734955e-05
