Gene = mTTF
index = 1782
Annotated 5SS: [ 493 1138]
Annotated 3SS: [ 556 1192]
SMsplice 5SS: [ 493 1138]
SMsplice 3SS: [ 556 1192]
Partition function (log Z): 1.6452298413912396

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.9971041026921316
Position 1138: 0.9957009529669304
Position 661: 0.2037365325960763
Position 751: 0.04680798419574044
Position 1018: 0.0200333099072259
Position 958: 0.010633317194858001
Position 185: 0.0021459568356997144
Position 1323: 0.0017342072387247858
Position 1114: 0.0006917341108173059
Position 1343: 0.0005902913786426974
Position 1202: 0.0005863451832062456
Position 397: 0.0005785131595485881
Position 235: 0.0005676335210050128
Position 804: 0.0005118138917774373
Position 202: 0.0004186531977528282
Position 736: 0.0003870282588104733
Position 841: 0.00024060174364643798
Position 1481: 0.00023279051154964143
Position 1492: 0.00020598809757751686
Position 665: 0.00020489583145820233
Position 1487: 0.000204577116909319
Position 1369: 0.00014579312479131914
Position 894: 0.00014161706711193452
Position 64: 0.00012150211324047082
Position 856: 9.322719013156913e-05
Position 464: 9.18342600233335e-05
Position 1247: 7.550546470382428e-05
Position 1123: 5.868275272932388e-05
Position 795: 5.2591925989778445e-05
Position 1466: 2.636824750851453e-05
Position 1042: 2.5863843017685163e-05
Position 709: 2.398952549920584e-05
Position 441: 2.394159346674065e-05
Position 707: 1.7538476215603007e-05
Position 640: 1.7128510599703285e-05
Position 1039: 1.599591312200214e-05
Position 951: 1.4801920041831289e-05
Position 1419: 1.4087029458693633e-05
Position 328: 1.3244757268952922e-05
Position 588: 1.3240923420450802e-05
Position 903: 7.505987489727898e-06
Position 24: 6.9440871108273074e-06
Position 1421: 6.280570667717036e-06
Position 777: 6.200110863060476e-06
Position 1067: 5.997449298344634e-06
Position 33: 5.562651455166155e-06
Position 1484: 5.498690198822712e-06
Position 223: 5.384485172785645e-06
Position 1142: 5.090728384377225e-06
Position 459: 4.687877461702334e-06
Position 303: 4.638924615385365e-06
Position 1129: 4.243332150317916e-06
Position 1029: 4.2043108844240135e-06
Position 647: 3.6524819323896825e-06
Position 843: 3.0728038305576663e-06
Position 378: 2.8431492336780987e-06
Position 521: 2.6817739166062513e-06
Position 1326: 2.546405424863116e-06
Position 13: 1.464627995558368e-06
Position 53: 1.3961418382591593e-06
Position 536: 1.351336659416986e-06
Position 619: 1.3409576595624877e-06
Position 898: 1.2619695312333608e-06
Position 1152: 1.1566533906463022e-06
Position 479: 1.0450202578553742e-06
Position 1231: 1.0121861723274755e-06
Position 1061: 9.214851292564097e-07
Position 414: 8.213180209461515e-07
Position 1378: 5.641885393276243e-07
Position 261: 2.7208919736192775e-07
Position 1079: 1.7257260694393854e-07
Position 908: 9.57487002063786e-08
Position 543: 1.9077035712283112e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 556: 0.9944861278364077
Position 1192: 0.9887177296223115
Position 894: 0.13447650106189368
Position 722: 0.08752313085689034
Position 1073: 0.03125464463228699
Position 1017: 0.016173228421788626
Position 1278: 0.005585434845351653
Position 822: 0.0055261672819023845
Position 903: 0.004370538179435316
Position 1387: 0.0024125146390475685
Position 275: 0.0020006374302331017
Position 813: 0.001853253102547735
Position 1359: 0.0017768240243025218
Position 1113: 0.001645141259867468
Position 1079: 0.001137225941097348
Position 1543: 0.0007018703926614359
Position 729: 0.0005960478391022088
Position 771: 0.000543158330962921
Position 234: 0.000496585117072906
Position 1199: 0.0003794452178412374
Position 1513: 0.0003001631443147559
Position 603: 0.0002737832348235223
Position 1231: 0.0002271935998314608
Position 864: 0.00022484984265519115
Position 400: 0.00021210343537029274
Position 1419: 0.00018466385558616144
Position 1294: 0.0001604834211027934
Position 296: 0.00015113909299026843
Position 1054: 0.00010929372928428346
Position 924: 9.741063566809061e-05
Position 996: 8.395995031717792e-05
Position 984: 6.596292238286664e-05
Position 801: 5.6874214572487583e-05
Position 1239: 4.73758752701627e-05
Position 1246: 4.0231359426884e-05
Position 1172: 3.9105074413396126e-05
Position 936: 3.837508080669614e-05
Position 238: 3.7496038223071784e-05
Position 1297: 3.147279644586692e-05
Position 1225: 2.939080468592218e-05
Position 315: 2.6048600812834436e-05
Position 106: 2.58899465079036e-05
Position 740: 2.4489729870741775e-05
Position 588: 2.3261647597375383e-05
Position 1430: 2.3233962825466232e-05
Position 573: 2.0593742560395386e-05
Position 431: 1.996930830291183e-05
Position 163: 1.895338084265188e-05
Position 113: 1.63788334297622e-05
Position 579: 1.416474453757744e-05
Position 1407: 1.222158629804957e-05
Position 1427: 1.0636083974122035e-05
Position 1201: 1.0634846589557003e-05
Position 185: 1.0165117412217681e-05
Position 1492: 9.856416087858733e-06
Position 942: 9.48641812469619e-06
Position 1398: 5.682080336059004e-06
Position 350: 5.367204101285112e-06
Position 699: 4.524215610847947e-06
Position 454: 4.242752857779583e-06
Position 73: 4.1917071487751505e-06
Position 915: 4.18736242743534e-06
Position 166: 3.6252207790839614e-06
Position 367: 3.314107214939953e-06
Position 1208: 3.1929598018504096e-06
Position 125: 3.0271453447711802e-06
Position 1027: 3.0243395995317903e-06
Position 1089: 2.536471705346171e-06
Position 1084: 2.511661029026876e-06
