Gene = Ptth
index = 1393
Annotated 5SS: [383 816]
Annotated 3SS: [491 873]
SMsplice 5SS: [383 816]
SMsplice 3SS: [491 873]
Partition function (log Z): -6.228240159178513

Sorted 5' Splice Sites (High to Low Probability):
Position 816: 0.7999703741034485
Position 383: 0.7234846167872009
Position 268: 0.0550934170735554
Position 1003: 0.030829528485925288
Position 585: 0.028989704432401297
Position 221: 0.012138062502355046
Position 810: 0.011287359328592652
Position 637: 0.008255015870089049
Position 1116: 0.0037555458958463722
Position 734: 0.0034378283699111312
Position 379: 0.0029117294935105285
Position 4: 0.0015434766998028739
Position 231: 0.0010577904340215469
Position 178: 0.000751283840390533
Position 571: 0.0007263225554396713
Position 1090: 0.000517196821521917
Position 308: 0.0004998115257744065
Position 113: 0.00048727095793070865
Position 353: 0.0003546512370476384
Position 1130: 0.0001871392306030628
Position 708: 0.0001570486981762773
Position 205: 0.00013142776807111177
Position 1009: 0.0001252777052564832
Position 589: 7.83075634836832e-05
Position 387: 7.575447810826254e-05
Position 762: 5.942770190186827e-05
Position 41: 5.669413961169233e-05
Position 342: 5.1581069426169654e-05
Position 8: 5.069817057279739e-05
Position 655: 2.42304003158132e-05
Position 181: 2.287038815005098e-05
Position 193: 2.041866298744906e-05
Position 550: 1.627460387861633e-05
Position 947: 1.4938134425338352e-05
Position 184: 1.4011861286925513e-05
Position 673: 1.2016894718666502e-05
Position 554: 1.0758184730366377e-05
Position 820: 1.0598824304098131e-05
Position 841: 8.507260187364087e-06
Position 198: 7.332993751561077e-06
Position 928: 7.031052256324026e-06
Position 1029: 6.687492923265617e-06
Position 896: 6.1847114121615094e-06
Position 186: 4.439710584457105e-06
Position 963: 3.6013485897435006e-06
Position 491: 2.3719882328449145e-06
Position 783: 1.8648292540663809e-06
Position 598: 1.3009381177205326e-06
Position 1084: 1.1147509274188179e-06
Position 893: 9.53872506475387e-07
Position 484: 8.181059021405467e-07
Position 1074: 5.340866083540329e-07
Position 1047: 3.8588407719336177e-07
Position 848: 2.507801871410243e-07
Position 215: 2.439145768824405e-07
Position 883: 1.1818982480459199e-07
Position 863: 9.782958487335382e-08
Position 289: 5.992350613830854e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 873: 0.9254458689316157
Position 491: 0.39744359281767244
Position 696: 0.07597950275162518
Position 550: 0.056198095120740615
Position 795: 0.04667012967119649
Position 328: 0.03384806441542406
Position 540: 0.025398029137944728
Position 526: 0.023017127248822357
Position 1074: 0.022657882863137635
Position 722: 0.017783468615520225
Position 267: 0.009223916384084043
Position 986: 0.008744866005136716
Position 1170: 0.008493518808146172
Position 554: 0.006924232072247831
Position 436: 0.006458051284306203
Position 1059: 0.004189382930489929
Position 433: 0.0032214184545301798
Position 673: 0.0027866214166339213
Position 655: 0.0026652962545876905
Position 330: 0.0021688906362781705
Position 220: 0.002085213006535342
Position 679: 0.0016847949137566997
Position 755: 0.0010868744279298155
Position 623: 0.0007047934042984058
Position 1180: 0.00044174021482836943
Position 308: 0.00031762578698357735
Position 562: 0.0003059528766708709
Position 836: 0.0002626238729918034
Position 698: 0.00014412682027618612
Position 637: 0.0001311693264459817
Position 570: 0.00011788394190143616
Position 363: 8.235161654134157e-05
Position 595: 8.028346402932881e-05
Position 1008: 6.917001301905154e-05
Position 93: 6.135302554544423e-05
Position 446: 5.03779295009297e-05
Position 336: 4.7124881867517695e-05
Position 626: 4.085171177677313e-05
Position 1116: 3.9892510894057606e-05
Position 617: 3.845412843355003e-05
Position 1020: 2.217578719090851e-05
Position 339: 2.1883538809504965e-05
Position 105: 1.8706769569499865e-05
Position 845: 1.559185449293321e-05
Position 1126: 1.4807935950352691e-05
Position 620: 1.4282253363127118e-05
Position 144: 8.953644448229069e-06
Position 1029: 7.249568354833126e-06
Position 417: 7.006132793456877e-06
Position 75: 3.94115389426046e-06
Position 342: 3.6685606420929403e-06
Position 879: 2.714693213289482e-06
Position 387: 2.688160249239081e-06
Position 357: 2.1357395425999113e-06
Position 1002: 2.0516980322298926e-06
Position 102: 1.9332691876396733e-06
Position 598: 9.060052931064151e-07
Position 108: 8.968965529416694e-07
Position 277: 7.771123715797247e-07
Position 66: 6.43473267225128e-07
Position 810: 2.6144544963991503e-07
Position 963: 1.7450872253014007e-07
Position 279: 9.851307543726536e-08
Position 347: 8.04997936238326e-08
Position 198: 3.835468730775095e-08
Position 122: 3.786973134354976e-08
Position 411: 1.8904809352473076e-08
Position 369: 8.657581746599299e-09
Position 110: 7.645188567485908e-09
Position 113: 2.877922503771213e-09
Position 581: 1.8686027733091816e-09
Position 402: 1.4649230407961463e-09
Position 158: 3.2226401232194075e-12
Position 1134: 2.043653347956399e-12
Position 404: 4.044379720733367e-13
Position 127: 3.9762963377667104e-14
