Gene = Dim1
index = 1136
Annotated 5SS: [164]
Annotated 3SS: [262]
SMsplice 5SS: [164]
SMsplice 3SS: [262]
Partition function (log Z): -7.28505583161234

Sorted 5' Splice Sites (High to Low Probability):
Position 615: 0.6784929137258546
Position 164: 0.6444283678798481
Position 400: 0.06706768317825178
Position 601: 0.03985760932404611
Position 263: 0.03901875741200376
Position 380: 0.03084826116824192
Position 338: 0.016833651986259586
Position 7: 0.008319031671493287
Position 168: 0.0057784357817428494
Position 555: 0.005340900438185872
Position 158: 0.0030628687715195716
Position 177: 0.002912282261616066
Position 59: 0.002657595837052505
Position 216: 0.00248308307216443
Position 26: 0.0022010011016947765
Position 201: 0.0015500174340448026
Position 181: 0.0012069481856244848
Position 572: 0.0008311700603273825
Position 161: 0.0005279709479785902
Position 624: 0.000515426484767639
Position 549: 0.0004403477890591136
Position 125: 0.00022502999615806434
Position 409: 0.00018732705375589526
Position 11: 0.00016093470388532378
Position 406: 0.0001395018294126504
Position 365: 0.00010879418066748507
Position 319: 0.0001043662703508422
Position 425: 9.322943928736495e-05
Position 539: 7.389500061098725e-05
Position 567: 5.413696200270136e-05
Position 619: 3.914936031666471e-05
Position 91: 9.819759908798339e-06
Position 564: 7.719973612516318e-06
Position 276: 6.7635272694002725e-06
Position 314: 6.288145823715762e-06
Position 640: 5.4298547741006825e-06
Position 530: 3.4501755853669837e-06
Position 36: 2.052255842700699e-06
Position 353: 1.6361501594910636e-06
Position 430: 1.3442716632772167e-06
Position 541: 1.3076702024076193e-06
Position 575: 1.0067640559983937e-06
Position 42: 1.0041641948555136e-06
Position 250: 7.194310309408509e-07
Position 270: 2.103267178506777e-07
Position 88: 1.484120172812548e-07
Position 647: 7.808103874621481e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.5579004670363654
Position 686: 0.44151294052795526
Position 659: 0.27920500794597136
Position 448: 0.1632967051440461
Position 231: 0.07166409286253561
Position 324: 0.027387427327493323
Position 689: 0.008095777516094941
Position 84: 0.0024406620285488774
Position 124: 0.001682909336338116
Position 337: 0.0011448954402712534
Position 487: 0.0005495990346736795
Position 245: 0.00034752680336509083
Position 606: 0.00011944865014328537
Position 397: 0.00010366998765858788
Position 313: 5.428592432796916e-05
Position 505: 3.125461143268468e-05
Position 511: 1.9562990322748936e-05
Position 640: 1.827125424788645e-05
Position 343: 5.0789276635874934e-06
Position 514: 4.676976322674051e-06
Position 575: 4.541446427616934e-06
Position 614: 4.389819158165291e-06
Position 601: 3.313652929002911e-06
Position 379: 2.9330825106924996e-06
Position 406: 2.1546767392283036e-06
Position 559: 1.462748520139591e-06
Position 177: 1.4607118148382246e-06
Position 133: 1.2487982985474787e-06
Position 586: 1.1223954018666727e-06
Position 190: 7.800676041423105e-07
Position 148: 6.675291274130663e-07
Position 187: 6.205873723909601e-07
Position 334: 4.472469067151367e-07
Position 151: 1.2533306518862097e-07
Position 517: 1.2174359587873341e-07
Position 548: 1.6415669310423407e-08
Position 161: 8.303518937163385e-10
Position 206: 5.33444962582681e-10
Position 168: 2.8605375664294896e-10
Position 158: 4.13519564755939e-11
