Gene = Cpr64Aa
index = 1094
Annotated 5SS: [287]
Annotated 3SS: [613]
SMsplice 5SS: [287]
SMsplice 3SS: [613]
Partition function (log Z): -5.325193502805382

Sorted 5' Splice Sites (High to Low Probability):
Position 287: 0.9472312504642363
Position 300: 0.038068271333238285
Position 203: 0.008161243339708673
Position 227: 0.0036356121501654156
Position 383: 0.003135974857188772
Position 291: 0.00048322846467973934
Position 564: 0.0004382135906739042
Position 307: 0.0002973862728757242
Position 234: 0.0002926374449045189
Position 992: 0.0002810215786697571
Position 537: 0.00025005134895056863
Position 17: 0.00023656927459465187
Position 806: 0.0001725250609994248
Position 460: 0.00017126393319129567
Position 758: 0.00015985268966901419
Position 1127: 0.00013562148575483872
Position 32: 0.00012980992887093627
Position 469: 0.00012054766708835459
Position 779: 0.00011932573460066446
Position 497: 9.802911255094725e-05
Position 1133: 7.479274039344042e-05
Position 184: 7.28375026930938e-05
Position 1136: 7.030409881736763e-05
Position 476: 5.041986940395724e-05
Position 1218: 4.7488720842974554e-05
Position 854: 3.762219085177583e-05
Position 1092: 3.517564591179151e-05
Position 218: 2.8004060567368105e-05
Position 281: 2.43811060844204e-05
Position 668: 1.9873775239590358e-05
Position 1120: 1.790049044152571e-05
Position 1232: 1.540560875176553e-05
Position 21: 1.4718198955236008e-05
Position 1130: 1.3521343155332966e-05
Position 420: 1.3136043789413435e-05
Position 1171: 1.1653917486317206e-05
Position 665: 7.710301717308997e-06
Position 721: 7.551835693401427e-06
Position 122: 7.330086079379093e-06
Position 776: 6.3623542332000715e-06
Position 867: 5.254185332547522e-06
Position 9: 3.1773640703072393e-06
Position 128: 2.617715669083223e-06
Position 130: 1.9367378144129004e-06
Position 422: 1.6126484678047473e-06
Position 755: 1.2408910467598093e-06
Position 797: 1.200567469655539e-06
Position 314: 9.71856626881263e-07
Position 716: 7.158828729885166e-07
Position 143: 7.07792178875435e-07
Position 146: 5.500703865852356e-07
Position 153: 4.782113166552202e-07
Position 627: 4.1034653540058146e-07
Position 788: 3.5993870709445836e-07
Position 632: 2.9574136124895493e-07
Position 140: 2.2902371324621852e-07
Position 845: 2.2397010470152404e-07
Position 1142: 2.0625371262924286e-07
Position 1210: 7.630969811455193e-08
Position 107: 3.752182054053322e-08
Position 737: 3.4243683641636616e-08
Position 43: 1.6065431411130672e-08
Position 79: 7.416986953293272e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 613: 0.9399146653227554
Position 515: 0.01933986219210663
Position 406: 0.01717912407069353
Position 343: 0.011495390301675245
Position 564: 0.008519373192127639
Position 1299: 0.0032036798608129757
Position 497: 0.0009867321652736176
Position 273: 0.0009159913535135165
Position 755: 0.0004340881732485991
Position 853: 0.00042390546195623246
Position 544: 0.00039388811020458077
Position 84: 0.00033284874080710284
Position 1192: 0.0002336915843966804
Position 637: 0.00019388616046726146
Position 437: 0.0001691001293219522
Position 649: 0.00010630598525346049
Position 329: 6.187613178505536e-05
Position 432: 4.323832712139439e-05
Position 523: 4.077486445883424e-05
Position 646: 3.353684417893611e-05
Position 72: 2.6361903745739524e-05
Position 1210: 2.5645608948035788e-05
Position 420: 2.334457402226389e-05
Position 1092: 1.9554623212946028e-05
Position 94: 1.5517867435310675e-05
Position 643: 1.2536520123216887e-05
Position 673: 9.819441939998025e-06
Position 805: 9.206876515703316e-06
Position 952: 8.820147527583754e-06
Position 531: 8.484637455917857e-06
Position 1218: 6.539684533273383e-06
Position 1130: 4.435441937225958e-06
Position 992: 4.313970201163238e-06
Position 1136: 3.651104364298861e-06
Position 1142: 3.4355721678473346e-06
Position 1120: 2.4799231881897616e-06
Position 996: 2.0331785619468303e-06
Position 1096: 1.5573965426958152e-06
Position 376: 1.379498157518172e-06
Position 469: 1.329410662458773e-06
Position 1262: 9.002299322273351e-07
Position 784: 7.699910911512129e-07
Position 721: 5.750350565513617e-07
Position 226: 5.683196475610891e-07
Position 295: 5.475491314990381e-07
Position 657: 5.005912112162915e-07
Position 1154: 2.5570611210215994e-07
Position 694: 1.9284122066662666e-07
Position 202: 1.1557420048279958e-07
Position 314: 7.182292150971695e-08
Position 662: 2.982471305000025e-08
Position 307: 1.2401891742442023e-08
Position 1127: 1.2364342757386572e-08
Position 304: 8.937016484183783e-09
Position 773: 8.919776992884323e-09
Position 769: 4.6058680262056345e-09
Position 1102: 3.3425657648596953e-09
Position 114: 1.8320884159819545e-09
Position 465: 9.241383830570728e-11
Position 639: 4.138879868374323e-11
Position 291: 2.6135473745385423e-12
Position 241: 1.2528051754337607e-13
