Gene = mbf1
index = 1785
Annotated 5SS: [317 541 912]
Annotated 3SS: [ 416  750 1280]
SMsplice 5SS: [541 912]
SMsplice 3SS: [ 750 1280]
Partition function (log Z): -1.6886853761251606

Sorted 5' Splice Sites (High to Low Probability):
Position 912: 0.9808440877138781
Position 541: 0.9173025698194567
Position 20: 0.4553825928443569
Position 352: 0.24795897732812971
Position 1542: 0.15026144282005321
Position 1919: 0.1221989889649551
Position 234: 0.11222797964966563
Position 1212: 0.049070870676668904
Position 317: 0.023310686856078535
Position 2144: 0.010974784889503897
Position 2160: 0.01082228663425391
Position 916: 0.010043430465013383
Position 1423: 0.009539396288811331
Position 539: 0.006108467703898779
Position 1889: 0.004632504830402842
Position 1354: 0.0035751004983854136
Position 1975: 0.0020738647886491286
Position 57: 0.0018245510968297306
Position 2132: 0.001139709645103868
Position 1135: 0.0010348193252787635
Position 1223: 0.0008521843454274525
Position 702: 0.0007147661719920227
Position 1155: 0.0007021269283175584
Position 1209: 0.0005245201221723042
Position 1894: 0.00044049637346851763
Position 719: 0.00043538677832352993
Position 1330: 0.0004174809858482691
Position 1216: 0.00039472074857931647
Position 1430: 0.0003299317238522989
Position 1701: 0.0002843810719857588
Position 1088: 0.00023274397480557582
Position 704: 0.0002306516624082762
Position 194: 0.00020386045733378197
Position 2209: 0.00018985394988038667
Position 1774: 0.00018067870994498933
Position 1097: 0.00017551187719802938
Position 267: 0.00015787345043482095
Position 1901: 0.0001344760410779155
Position 1942: 0.00012806296214788805
Position 581: 0.00012091472685848528
Position 1005: 0.00011684436922679258
Position 1714: 0.00011204680358154715
Position 1842: 0.00010904417163492763
Position 356: 8.175560069499348e-05
Position 1600: 7.976761389829125e-05
Position 1305: 7.513541834493192e-05
Position 254: 7.402360463112068e-05
Position 1892: 7.041712900967726e-05
Position 545: 6.535234925334756e-05
Position 221: 5.698433737443787e-05
Position 1130: 5.1613412862960896e-05
Position 849: 4.80681929142678e-05
Position 364: 3.7799068138563106e-05
Position 1818: 3.723960987413769e-05
Position 1462: 3.439920999957972e-05
Position 2002: 3.315857474412732e-05
Position 745: 3.157183183992419e-05
Position 2164: 3.0013204128745176e-05
Position 1923: 2.810118275410468e-05
Position 2018: 2.7993478994486725e-05
Position 1448: 2.4206580985650558e-05
Position 1690: 2.1463408612056552e-05
Position 611: 2.0084699440469992e-05
Position 522: 1.9144241882329807e-05
Position 177: 1.6122138835758515e-05
Position 1459: 9.9377130460405e-06
Position 1302: 8.24206979724997e-06
Position 1008: 7.229271407991813e-06
Position 492: 6.865626648212726e-06
Position 2142: 5.676107877528628e-06
Position 563: 4.851220955091254e-06
Position 391: 4.573838872028019e-06
Position 1030: 4.132741054606994e-06
Position 1324: 3.89579645511374e-06
Position 2114: 3.741430847332851e-06
Position 754: 3.4834478334258265e-06
Position 146: 3.3968320967159828e-06
Position 2050: 3.2041413041926423e-06
Position 2229: 2.7682506731932433e-06
Position 1476: 2.4871181842951865e-06
Position 1079: 2.4150404527951293e-06
Position 467: 1.949281585289672e-06
Position 643: 1.7619844690213454e-06
Position 270: 1.679446804710107e-06
Position 516: 1.5061721461885475e-06
Position 1368: 1.2779286789382274e-06
Position 321: 1.2105721241287028e-06
Position 608: 1.1680826080969883e-06
Position 419: 1.1442795115926608e-06
Position 340: 1.0051430420607106e-06
Position 435: 9.668537577976372e-07
Position 1036: 9.174303307199515e-07
Position 1041: 8.649154974338873e-07
Position 508: 7.639142110065996e-07
Position 626: 4.7349402966248156e-07
Position 1241: 4.2449172506368467e-07
