Gene = Rcd5
index = 1414
Annotated 5SS: [ 375 1165]
Annotated 3SS: [ 437 1223]
SMsplice 5SS: [ 375 1165]
SMsplice 3SS: [ 437 1223]
Partition function (log Z): -3.280327641947733

Sorted 5' Splice Sites (High to Low Probability):
Position 1165: 0.990542218691921
Position 375: 0.8622372470842071
Position 211: 0.3197840085113644
Position 577: 0.11655299101511858
Position 281: 0.05932055847164534
Position 872: 0.005549745328024788
Position 597: 0.005198780408450372
Position 823: 0.0038270939869357594
Position 7: 0.0033584937982172633
Position 1358: 0.002532159652293904
Position 49: 0.0024793629628855484
Position 28: 0.0022737903835985886
Position 1023: 0.002182053098081117
Position 141: 0.0015546574389613615
Position 851: 0.0007402592732286161
Position 1501: 0.0005830628216859477
Position 1169: 0.0005048851821687668
Position 583: 0.00030926820099514356
Position 1628: 0.0001064374467259123
Position 1337: 8.637827306450852e-05
Position 481: 7.227152501673735e-05
Position 53: 6.463263688135016e-05
Position 293: 5.533124771939765e-05
Position 751: 5.3770246228429466e-05
Position 679: 5.2380297612982933e-05
Position 1278: 4.859131278510926e-05
Position 860: 3.987148166971338e-05
Position 134: 3.598108058928974e-05
Position 298: 3.322825068458334e-05
Position 1362: 3.308732135164764e-05
Position 1122: 2.5297413576635997e-05
Position 646: 2.3667432349426235e-05
Position 1583: 2.245979010728636e-05
Position 1623: 2.106205578962323e-05
Position 1958: 2.0305820021958315e-05
Position 1548: 1.7317358594199772e-05
Position 499: 1.562500802498912e-05
Position 145: 1.4492523647805951e-05
Position 993: 1.2399673719395237e-05
Position 1035: 1.1615507235734087e-05
Position 139: 1.1431205882279667e-05
Position 33: 1.0786449044512126e-05
Position 1987: 9.430061015284225e-06
Position 812: 7.268432212228405e-06
Position 1101: 6.632526320739108e-06
Position 486: 6.104257109444922e-06
Position 1450: 5.2389666639457445e-06
Position 1129: 4.845305318752534e-06
Position 437: 4.7961022226332075e-06
Position 169: 4.207563576215867e-06
Position 1610: 4.187961011690318e-06
Position 411: 3.8092348694103685e-06
Position 217: 3.7069632015654424e-06
Position 392: 3.148179132824726e-06
Position 171: 2.9493820756798803e-06
Position 1985: 2.5270379895296452e-06
Position 981: 1.729780576305618e-06
Position 863: 1.7169323276902153e-06
Position 760: 1.43698715307365e-06
Position 690: 1.1108163615648244e-06
Position 1208: 1.0208294360031756e-06
Position 827: 8.509097706846133e-07
Position 976: 7.934301305718624e-07
Position 1564: 6.972756628845871e-07
Position 1689: 5.615182196524518e-07
Position 1683: 5.450833223484702e-07
Position 1680: 5.335621279231932e-07
Position 1873: 5.169653073529526e-07
Position 1557: 4.4932826741639555e-07
Position 1065: 4.3412923707863507e-07
Position 1678: 3.825939956786107e-07
Position 1893: 3.2518016238686775e-07
Position 1247: 3.221764052965549e-07
Position 1096: 3.207671499166074e-07
Position 1639: 2.787539811647502e-07
Position 1048: 2.7501598531452915e-07
Position 2002: 1.872274169229456e-07
Position 1489: 1.8689285341247974e-07
Position 739: 1.329460769894806e-07
Position 1660: 7.92661243911763e-08
Position 1846: 4.635455631612083e-08
Position 1860: 4.544728021708425e-08
Position 1063: 4.34990095241391e-08
Position 464: 3.2433177129937663e-08
Position 1542: 2.443919635606615e-08
Position 219: 1.909437244650256e-08
Position 1105: 1.90068059829504e-08
Position 1612: 1.7073512455970727e-08
Position 1050: 1.6726096251602026e-08
Position 1223: 1.276590858442238e-08
Position 1346: 1.191355869787768e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1223: 0.9091409775726479
Position 437: 0.8097644710404652
Position 277: 0.20551541639201976
Position 342: 0.1266635554384201
Position 633: 0.10173545076376357
Position 1247: 0.06376261302328229
Position 739: 0.03503015295912304
Position 1005: 0.02863920033157115
Position 945: 0.01583048155254983
Position 253: 0.012768431145612727
Position 481: 0.01069182936801575
Position 646: 0.008741091957420817
Position 1337: 0.007333465432302115
Position 405: 0.004916615409858512
Position 1253: 0.004563402422862935
Position 76: 0.003737541691840878
Position 458: 0.003655971426366264
Position 1413: 0.003151947140401054
Position 981: 0.0027463072151618396
Position 1076: 0.002725322569809431
Position 1334: 0.002703140316515364
Position 169: 0.0021645656022350698
Position 1836: 0.0015604432343527008
Position 87: 0.0012992538393879097
Position 942: 0.0011153024141393915
Position 876: 0.0010936369403624622
Position 346: 0.001043887521430767
Position 1208: 0.0010423314414641758
Position 210: 0.0008744084349780571
Position 1358: 0.0005072995001076143
Position 1055: 0.0004400670412704534
Position 190: 0.0004345038191556535
Position 286: 0.0004078003971105676
Position 1564: 0.000379030798088043
Position 1391: 0.00034380936265546944
Position 515: 0.00030021654670144617
Position 187: 0.00029742931376883826
Position 1014: 0.0002796773615243187
Position 823: 0.0002749833159018031
Position 1416: 0.00021253742107383677
Position 561: 0.00020015604828984505
Position 417: 0.00017660264626358558
Position 1860: 0.00015717770639998312
Position 1063: 0.00013287223608414255
Position 1017: 0.00012901507117527055
Position 1110: 0.00012727056048082014
Position 539: 0.00011980076910789864
Position 803: 0.00011791101674258959
Position 1388: 0.00010709293866533788
Position 523: 9.073521180587521e-05
Position 571: 8.846603780453158e-05
Position 134: 8.578203638176925e-05
Position 281: 8.492175897651493e-05
Position 1520: 7.144994902230407e-05
Position 1646: 6.151104165527142e-05
Position 836: 5.943278256176904e-05
Position 715: 5.891302617186876e-05
Position 366: 5.6265018094206286e-05
Position 1595: 5.618862088137106e-05
Position 214: 4.8997303673974705e-05
Position 2044: 4.415633251487492e-05
Position 290: 4.31442146175578e-05
Position 601: 4.29352323189486e-05
Position 250: 4.128244870629259e-05
Position 993: 3.7551391767063445e-05
Position 1673: 2.9719388711340945e-05
Position 674: 2.8631154329963144e-05
Position 131: 2.723219372430631e-05
Position 536: 2.6804748725591847e-05
Position 462: 2.1467103555505167e-05
Position 2002: 2.0765078004874328e-05
Position 371: 1.723679005933923e-05
Position 486: 1.4809884965297744e-05
Position 293: 1.3496530958791962e-05
Position 1485: 1.270927360651389e-05
Position 1194: 1.2339405847711969e-05
Position 1127: 1.2022876015596335e-05
Position 1958: 1.1412898614545903e-05
Position 1706: 1.1093019071747078e-05
Position 1737: 1.0420398513642242e-05
Position 542: 1.00157139350178e-05
Position 411: 1.0014248310710627e-05
Position 95: 8.864936902781185e-06
Position 351: 8.000163168132115e-06
Position 789: 7.786827366947992e-06
Position 1925: 7.489113333108662e-06
Position 843: 6.734077304022004e-06
Position 2009: 5.038029743604321e-06
Position 1362: 4.9819285781920815e-06
Position 854: 3.446873541253956e-06
Position 888: 2.9290197794181087e-06
Position 1756: 2.7256746329395945e-06
Position 849: 2.6269461137022328e-06
Position 906: 2.6162083763419315e-06
Position 1472: 2.3599589901334483e-06
Position 1268: 2.1670611923793926e-06
Position 1458: 2.0508088737890834e-06
Position 1399: 1.7176414718220487e-06
Position 374: 1.6444044996870392e-06
Position 1117: 1.5190142705397337e-06
Position 1244: 1.4680031664097499e-06
Position 1134: 1.2885343255034672e-06
Position 1367: 1.1793539074324945e-06
Position 1161: 1.0720026782750035e-06
Position 1526: 9.423387506881806e-07
Position 113: 9.011918586743628e-07
Position 1256: 6.338051476250695e-07
Position 1721: 3.786054122950448e-07
Position 1904: 3.309155728631169e-07
Position 226: 2.9347022166192406e-07
Position 1790: 2.8725764945298733e-07
Position 807: 2.619483449073684e-07
Position 1784: 1.7470624136302287e-07
Position 1137: 1.4098310668278026e-07
Position 1101: 1.2681234799271695e-07
Position 139: 1.2284332010252453e-07
Position 1445: 8.54732812355235e-08
Position 1430: 8.028807948435327e-08
Position 1748: 6.022204784348717e-08
Position 1968: 5.8842697652496147e-08
Position 1928: 2.432624495300097e-08
Position 1466: 2.2827547371887296e-08
Position 1973: 2.2461994671634868e-08
Position 105: 1.9683799949004648e-08
Position 1140: 1.0963141988094243e-08
Position 1792: 2.7295221368880526e-09
Position 97: 2.200173268149434e-09
Position 379: 1.4772155088548216e-09
Position 1583: 1.3005293238557386e-09
Position 1041: 4.885065437499485e-10
Position 1970: 1.715878700780219e-10
Position 1985: 1.2116374835467273e-10
Position 1937: 8.076935071877207e-11
Position 1169: 4.19486263005957e-11
Position 197: 1.019344417405583e-11
Position 1476: 4.825026273778463e-12
Position 1163: 4.0608634856506735e-12
Position 1930: 8.788416812465619e-18
