Gene = Cp18
index = 1089
Annotated 5SS: [59]
Annotated 3SS: [232]
SMsplice 5SS: [59]
SMsplice 3SS: [232]
Partition function (log Z): -2.184005413426439

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.9185454831950637
Position 109: 0.08101230657900745
Position 332: 0.001704381662161458
Position 464: 0.0003602771799731709
Position 575: 0.0002019623421571835
Position 52: 0.00016931569656694306
Position 81: 0.0001330624355278182
Position 411: 0.00012348075467103468
Position 375: 0.00011587892698820968
Position 70: 0.00010901124256499014
Position 378: 0.00010294333270052627
Position 311: 7.073002297769727e-05
Position 456: 6.937248671246186e-05
Position 315: 5.461792815172618e-05
Position 425: 3.766594225005034e-05
Position 421: 3.496946824982158e-05
Position 300: 3.283832447239391e-05
Position 303: 2.6512167277135472e-05
Position 104: 2.41531069033149e-05
Position 755: 2.231132460300916e-05
Position 498: 1.0623636421727972e-05
Position 291: 7.090906731534189e-06
Position 659: 6.062288459099515e-06
Position 4: 4.404167870881495e-06
Position 350: 3.107918733335413e-06
Position 747: 3.0553161501191345e-06
Position 483: 2.61535962446361e-06
Position 509: 2.0592641028445684e-06
Position 475: 1.1892762569114797e-06
Position 362: 9.42540014574177e-07
Position 288: 7.248003696574725e-07
Position 737: 6.299834563310943e-07
Position 439: 5.99320350531061e-07
Position 437: 3.126043320750543e-07
Position 282: 2.095402116451385e-07
Position 640: 1.6039273966413212e-07
Position 431: 1.0459865922941735e-07
Position 629: 2.0962795164647715e-08
Position 260: 3.5866571529921844e-09
Position 695: 1.545627371364565e-09
Position 191: 7.635225691611379e-10
Position 608: 5.256905367673354e-10
Position 232: 4.748195654285489e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 232: 0.9986178918898313
Position 624: 0.0014692558103700615
Position 453: 0.0012258993915472253
Position 191: 0.0011095686315124834
Position 520: 0.0001944997748646362
Position 509: 8.909668737750123e-05
Position 331: 8.190915444242859e-05
Position 475: 5.838473394584188e-05
Position 818: 3.958742749933506e-05
Position 401: 2.6176738135332097e-05
Position 355: 2.4344610783861692e-05
Position 538: 2.210115421222217e-05
Position 558: 1.5760122733972655e-05
Position 109: 5.331313101456349e-06
Position 311: 2.9394919628516084e-06
Position 604: 2.6408140437293043e-06
Position 782: 2.4196246796364995e-06
Position 337: 2.1574131501613512e-06
Position 651: 1.410158201913813e-06
Position 583: 1.392918563848096e-06
Position 637: 7.137902027076763e-07
Position 805: 5.746770186538293e-07
Position 640: 2.520083510157502e-07
Position 712: 2.2140562494786277e-07
Position 789: 2.1310712335372196e-07
Position 586: 1.0577624268769636e-07
Position 709: 1.0224943574217929e-07
Position 690: 9.354620561598752e-08
Position 755: 6.530686863542288e-08
Position 677: 4.4175344352124163e-08
Position 664: 1.3331861475345627e-08
Position 658: 1.2956967549115549e-08
Position 721: 7.515890545403275e-09
Position 655: 2.03125074523226e-09
Position 421: 1.2317472977869593e-09
Position 566: 8.899470512720893e-10
Position 63: 7.194427000348886e-10
Position 729: 3.9638854994904466e-10
Position 70: 3.0331713676287036e-10
Position 104: 8.874248921954756e-11
Position 737: 8.319499111854088e-11
Position 52: 9.771895331406574e-12
Position 723: 3.072244477956325e-12
Position 668: 2.6867070570513643e-13
