Gene = THG
index = 1538
Annotated 5SS: [ 21 275]
Annotated 3SS: [125 329]
SMsplice 5SS: [275]
SMsplice 3SS: [329]
Partition function (log Z): -3.81991001441444

Sorted 5' Splice Sites (High to Low Probability):
Position 275: 0.9991961054711993
Position 21: 0.08810709379357438
Position 837: 0.0032963929069726354
Position 506: 0.0029022705523646408
Position 1032: 0.0024514005159815516
Position 1163: 0.0023069290833224805
Position 54: 0.001591744192640137
Position 523: 0.0014982978653220718
Position 17: 0.0010894800718953914
Position 147: 0.0003675999334780947
Position 405: 0.00017871697527032594
Position 517: 0.00016327691618039908
Position 635: 6.0024511581425585e-05
Position 1173: 5.1169041368904156e-05
Position 553: 4.7276125338485385e-05
Position 79: 4.7125253014703536e-05
Position 569: 2.9805871640557753e-05
Position 1141: 2.799820420719947e-05
Position 793: 2.353108340863808e-05
Position 555: 2.16679256361795e-05
Position 412: 2.121636802135677e-05
Position 629: 2.0543982172646022e-05
Position 399: 1.5893566947290728e-05
Position 860: 1.4851487963286675e-05
Position 827: 1.2334167876176277e-05
Position 577: 1.1761453037635822e-05
Position 646: 1.0795889824220006e-05
Position 222: 8.059054591474992e-06
Position 1183: 5.830686836725042e-06
Position 564: 5.258074547053151e-06
Position 971: 5.187668706233188e-06
Position 190: 5.0596948852884266e-06
Position 857: 3.1511896615215217e-06
Position 231: 2.2436517496339012e-06
Position 362: 1.6965371929402451e-06
Position 572: 1.6950006092336145e-06
Position 445: 1.651316538890257e-06
Position 422: 1.641141392191397e-06
Position 1057: 1.0813940459393539e-06
Position 929: 1.062455611763322e-06
Position 479: 8.651810045993873e-07
Position 373: 8.576174957961272e-07
Position 1080: 8.238494431298589e-07
Position 199: 7.754857877480157e-07
Position 490: 6.899240834304947e-07
Position 1190: 5.209947963123543e-07
Position 151: 4.697672637186825e-07
Position 892: 3.79364226285606e-07
Position 717: 3.1197342582488694e-07
Position 1124: 2.814385137904542e-07
Position 338: 2.692931140641881e-07
Position 192: 1.3557278311689385e-07
Position 386: 9.205168694299971e-08
Position 297: 2.908937330093137e-08
Position 1100: 1.0527069140050895e-08
Position 671: 6.728645159533254e-09
Position 1103: 9.118486926327549e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 329: 0.9977432414064412
Position 125: 0.07819312997328544
Position 168: 0.011465647792503047
Position 592: 0.0025789327339595033
Position 1096: 0.002548991580641045
Position 1073: 0.002458399595904186
Position 892: 0.002402604801843088
Position 1215: 0.0022790901025875835
Position 798: 0.0005427651987179591
Position 757: 0.0004988989574776016
Position 199: 0.00036610841722801963
Position 612: 0.00032352487599312987
Position 137: 0.00031066876657199853
Position 1232: 0.00030276579780849514
Position 434: 0.00028513594448590935
Position 140: 0.0002406147842241545
Position 683: 0.0001903153835681993
Position 589: 0.0001722325473089521
Position 622: 0.00011067161511154689
Position 697: 0.00010225737488698314
Position 935: 0.00010221142500690272
Position 370: 8.311916932873982e-05
Position 901: 6.568818976081666e-05
Position 211: 5.346224985269057e-05
Position 486: 4.443980981357174e-05
Position 1080: 4.091852659171871e-05
Position 1057: 1.5427728296883403e-05
Position 1131: 1.2946801507117877e-05
Position 844: 1.1643444678114106e-05
Position 1100: 1.1616200449295632e-05
Position 501: 1.0778040120964477e-05
Position 523: 7.5919175933086265e-06
Position 405: 7.4816269024684635e-06
Position 222: 6.928266894346943e-06
Position 1111: 5.3662746687169225e-06
Position 601: 2.98297572107243e-06
Position 436: 2.6728842968697322e-06
Position 849: 2.168939014131405e-06
Position 373: 1.6407964666539318e-06
Position 701: 1.3489543819109961e-06
Position 231: 1.3320422636294965e-06
Position 994: 1.1256874935786033e-06
Position 297: 9.159728315865949e-07
Position 802: 8.327758826964011e-07
Position 176: 7.65588865775498e-07
Position 412: 7.041522240673289e-07
Position 1183: 6.032551236735376e-07
Position 147: 5.513638495480156e-07
Position 258: 5.052563396083145e-07
Position 1038: 4.1636556465138905e-07
Position 451: 3.4939626743683676e-07
Position 1117: 2.6200981857298457e-07
Position 846: 2.016941221012731e-07
Position 1176: 1.1612949107736156e-07
Position 240: 9.557308358148333e-08
Position 443: 7.289296929026677e-08
Position 165: 3.6651621109484744e-08
Position 1171: 2.726717476239133e-08
Position 1146: 2.2328233117341497e-08
Position 1006: 1.3439579912313379e-08
Position 706: 1.2613988948587429e-08
Position 819: 1.225753939735948e-08
Position 874: 1.045447230194614e-08
Position 1012: 1.007970374811756e-08
Position 279: 6.663309671768633e-09
Position 1173: 3.1461717871682316e-09
Position 841: 1.2332276572924054e-09
Position 976: 7.221873867728655e-10
Position 853: 5.550616658428497e-10
Position 1190: 3.205455149731663e-10
Position 745: 2.14529130597748e-10
Position 1141: 5.10143606548232e-11
Position 1015: 6.017770399756334e-14
