Gene = ppk13
index = 1843
Annotated 5SS: [ 184  372  721  871 1094 1639]
Annotated 3SS: [ 244  435  782 1007 1156 1699]
SMsplice 5SS: [ 184  372  721  871 1639]
SMsplice 3SS: [ 244  435  782 1007 1699]
Partition function (log Z): 6.120734670623622

Sorted 5' Splice Sites (High to Low Probability):
Position 372: 0.9842443790066367
Position 184: 0.9754547516889981
Position 1639: 0.7695706659309007
Position 871: 0.6507565040430517
Position 542: 0.6386460757033073
Position 721: 0.47431856736007644
Position 1094: 0.3787102233860927
Position 929: 0.025559874895067756
Position 1098: 0.014470624985361922
Position 378: 0.014419236088718234
Position 1113: 0.00582634630991694
Position 1635: 0.005634959270473233
Position 1598: 0.005340479119846078
Position 149: 0.004862445173672275
Position 1863: 0.004408265672741449
Position 1068: 0.0026608333825921095
Position 1653: 0.0026008452287577376
Position 1467: 0.002587030340296293
Position 590: 0.0021701944901696486
Position 1319: 0.0015978549320693916
Position 1614: 0.0015949558419268005
Position 188: 0.0012626857604932757
Position 1092: 0.0012067499277267435
Position 361: 0.0010434050867599036
Position 1071: 0.0010319368186827889
Position 501: 0.000870625342814821
Position 747: 0.0005780274815257793
Position 161: 0.0005601426507925582
Position 1462: 0.0005080533137038966
Position 1794: 0.0005035588139882169
Position 1489: 0.0004904604966707313
Position 1008: 0.00045999756553549774
Position 1297: 0.00032617151268873006
Position 1422: 0.00032493006826359076
Position 1643: 0.00030365433996060957
Position 1876: 0.0002767031501889494
Position 658: 0.0002743577455973408
Position 1116: 0.0002566458733163731
Position 1265: 0.00017323234278495163
Position 1657: 0.000170171171300229
Position 376: 0.0001436764083462085
Position 1439: 9.81980795789657e-05
Position 1471: 9.623492411286335e-05
Position 824: 9.577280757210851e-05
Position 725: 8.286211899394742e-05
Position 1569: 7.329462690809581e-05
Position 126: 6.835033287468372e-05
Position 1514: 6.240056294482893e-05
Position 1279: 5.6714951196720306e-05
Position 555: 4.596053226344957e-05
Position 1453: 4.2238735237709194e-05
Position 1290: 4.1872388102080965e-05
Position 1384: 3.894062177309508e-05
Position 1032: 3.811624867178236e-05
Position 87: 3.590680836843458e-05
Position 740: 3.570846322131328e-05
Position 80: 3.167499362171738e-05
Position 1257: 2.992163024101737e-05
Position 1450: 2.9445180775145474e-05
Position 284: 2.801841751978868e-05
Position 600: 2.272315414489236e-05
Position 821: 1.9984423144349123e-05
Position 473: 1.9439087467628035e-05
Position 179: 1.3573763195517872e-05
Position 1811: 1.3558409127511203e-05
Position 531: 1.0488233338602823e-05
Position 768: 9.43764381082789e-06
Position 1322: 8.409900210125177e-06
Position 269: 8.314182130908573e-06
Position 992: 8.113585589589936e-06
Position 1543: 7.89638078013542e-06
Position 1497: 7.466148069961653e-06
Position 1512: 7.415055291337992e-06
Position 518: 6.650237545187131e-06
Position 36: 5.665770892181184e-06
Position 1126: 5.629833274788046e-06
Position 138: 5.375152149469951e-06
Position 628: 5.2494814292760935e-06
Position 810: 4.3259228644789195e-06
Position 1044: 3.1227441651329187e-06
Position 47: 2.9702066143581823e-06
Position 1295: 2.4848241123634865e-06
Position 245: 2.399784220729799e-06
Position 1133: 2.236701480574893e-06
Position 103: 2.120255900687217e-06
Position 1669: 1.8219293756236433e-06
Position 603: 1.8218882331744643e-06
Position 649: 1.4952066644191364e-06
Position 1391: 1.169235324320097e-06
Position 1212: 1.0136143511503253e-06
Position 1618: 7.369918289401963e-07
Position 325: 6.7881258702257e-07
Position 274: 6.679525366729628e-07
Position 1159: 5.948989965213236e-07
Position 1725: 3.9750219906254067e-07
Position 1729: 3.147359080813242e-07
Position 827: 2.8744847988819143e-07
Position 605: 2.7142537155452815e-07
Position 1143: 2.6626809199688596e-07
Position 439: 2.6544757516291903e-07
Position 1228: 2.607365850032205e-07
Position 277: 1.6856440678804818e-07
Position 1370: 1.6238881347689598e-07
Position 1753: 1.5954570945291232e-07
Position 397: 1.5023854744107456e-07
Position 415: 9.574294740555864e-08
Position 1781: 8.055204326123935e-08
Position 133: 6.614483803686886e-08
Position 1231: 3.835677805083144e-08
Position 1336: 3.5590423328498345e-08
Position 1739: 1.4508912238128988e-08
Position 1661: 5.118354822370874e-09
Position 1343: 4.8170710903332304e-09
Position 288: 2.2876674715891e-09
Position 1699: 2.081289274734092e-09
Position 1701: 1.3240334344526336e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 435: 0.9994367739929462
Position 244: 0.9818770534626486
Position 1699: 0.7838883109503795
Position 782: 0.6232563281862311
Position 1156: 0.5046655321065401
Position 1007: 0.49305162521219925
Position 594: 0.24445155650723266
Position 986: 0.09998094509720333
Position 618: 0.06974641446175274
Position 755: 0.05150501597450636
Position 929: 0.02782569401252567
Position 1367: 0.019711185291115797
Position 960: 0.016414627528764332
Position 941: 0.014027651452085023
Position 597: 0.012517347796912614
Position 1919: 0.006371722612122894
Position 1172: 0.0055350554063418305
Position 600: 0.0051735775004994565
Position 1522: 0.0035270168118074355
