Gene = YL-1
index = 1603
Annotated 5SS: [245 438 815]
Annotated 3SS: [304 513 873]
SMsplice 5SS: [245 438 815]
SMsplice 3SS: [304 513 873]
Partition function (log Z): 2.999006116889063

Sorted 5' Splice Sites (High to Low Probability):
Position 438: 0.9965629185730478
Position 245: 0.9810960994434011
Position 815: 0.9666679468634376
Position 1416: 0.06173230937708068
Position 1080: 0.03608284545963615
Position 819: 0.015076005835053096
Position 1034: 0.009426289844666008
Position 730: 0.004795178893465708
Position 1516: 0.004382426263292758
Position 208: 0.00328100507765793
Position 1397: 0.0022236180241447276
Position 1528: 0.0020114205286915483
Position 1381: 0.0012390572837205078
Position 4: 0.001196823542049472
Position 51: 0.0006591658125706333
Position 1519: 0.00042154110176962907
Position 1305: 0.00040226546969698623
Position 586: 0.0003969207811765357
Position 17: 0.0002651775652002964
Position 1050: 0.00022811782320687198
Position 1159: 0.00018519077460076025
Position 619: 0.0001692166727866792
Position 1008: 0.0001560405567089859
Position 1318: 0.00014195042832742594
Position 581: 6.498291743221209e-05
Position 1556: 5.986398440481257e-05
Position 1542: 5.538088752772269e-05
Position 34: 4.528976633501112e-05
Position 412: 4.308249040634524e-05
Position 200: 2.81938374724485e-05
Position 417: 2.5002556301058884e-05
Position 471: 1.4325546365255789e-05
Position 578: 1.1054233768950713e-05
Position 414: 9.154789951401295e-06
Position 1082: 7.05294885657804e-06
Position 1576: 7.015588321274622e-06
Position 736: 4.664995281213991e-06
Position 913: 4.492083529766988e-06
Position 929: 4.118676536107997e-06
Position 696: 4.095736593344428e-06
Position 88: 2.507330657454315e-06
Position 1467: 1.967466286950741e-06
Position 1135: 1.4737337611623725e-06
Position 605: 1.4157482645628765e-06
Position 495: 1.0687478364664616e-06
Position 1453: 2.5588998103112013e-07
Position 1580: 1.8906427749303493e-07
Position 369: 1.6835523036488077e-07
Position 327: 1.4915607673869383e-07
Position 346: 9.36041338567479e-08
Position 330: 6.313574260433389e-08
Position 484: 5.3082341061810745e-08
Position 486: 1.6003842074136188e-09
Position 529: 1.219088162068764e-09
Position 861: 1.032337044988891e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 513: 0.9960459075013417
Position 304: 0.9837064482869152
Position 873: 0.9772296517404642
Position 1463: 0.06781015578159638
Position 1147: 0.03540954962137279
Position 884: 0.00689123022117975
Position 1576: 0.0055604245911572885
Position 1106: 0.004880333668228252
Position 1181: 0.0019597650883948657
Position 72: 0.0013858971223833566
Position 1599: 0.0012183788419969524
Position 1602: 0.0010978582065919516
Position 875: 0.000786561313838725
Position 346: 0.000589052668774935
Position 1184: 0.0005632441068579728
Position 1224: 0.00041655225337870034
Position 1238: 0.0004138252373933028
Position 1467: 0.00036000646224868877
Position 694: 0.00034297955007048995
Position 312: 0.0002760649978106641
Position 1090: 0.00023897906467607705
Position 156: 0.00023215190153045778
Position 1381: 0.00020370926018991464
Position 1415: 0.00020160068426789096
Position 1556: 0.00017875746592692523
Position 1079: 0.00016042276352766697
Position 1623: 0.00014656886770241577
Position 522: 0.00011696125306681083
Position 88: 0.00010749157387709356
Position 972: 7.869319074404705e-05
Position 1638: 7.03571534951396e-05
Position 529: 6.530137135165935e-05
Position 546: 6.0888752633253264e-05
Position 1119: 6.07987663275655e-05
Position 1247: 6.0115169023183236e-05
Position 1626: 5.3144368142804976e-05
Position 1019: 5.172698187044168e-05
Position 672: 2.6631011474081074e-05
Position 282: 2.1782810001908367e-05
Position 1195: 1.1029431790862094e-05
Position 173: 1.0588421382529716e-05
Position 1123: 8.958184269530483e-06
Position 1061: 8.887058524765476e-06
Position 567: 8.77257788378977e-06
Position 1155: 7.651017564301295e-06
Position 666: 7.371956730033192e-06
Position 714: 6.212195337344499e-06
Position 923: 6.14238930469166e-06
Position 537: 5.395416850865311e-06
Position 324: 5.070629819422201e-06
Position 759: 3.48775762620385e-06
Position 726: 3.3619853074166148e-06
Position 1526: 3.125009450004879e-06
Position 893: 2.6767055470714574e-06
Position 318: 2.3143874978272248e-06
Position 905: 2.21958887986059e-06
Position 723: 2.0178755491223597e-06
Position 380: 1.88892357166308e-06
Position 1390: 1.6792199367091534e-06
Position 762: 9.267952673620366e-07
Position 1251: 7.836747676692791e-07
Position 729: 7.09290969410662e-07
Position 899: 6.301334143898498e-07
Position 1202: 5.789191988548869e-07
Position 1034: 5.378273607519069e-07
Position 218: 5.184482947504683e-07
Position 983: 4.843973789048902e-07
Position 177: 4.590428984811475e-07
Position 902: 3.540216303119449e-07
Position 696: 3.484111652854876e-07
Position 179: 2.655288241043038e-07
Position 1261: 2.54345622542529e-07
Position 1422: 2.3019910725586695e-07
Position 1519: 1.6552450738786897e-07
Position 828: 1.1419806507415927e-07
Position 356: 1.0345846936040317e-07
Position 1325: 9.449762684663742e-08
Position 796: 8.715996633783483e-08
Position 843: 5.071253699702503e-08
Position 765: 4.893396262867267e-08
Position 221: 4.676610888397317e-08
Position 1516: 1.6481723182435226e-08
Position 428: 1.6131481332221186e-08
Position 1335: 1.4027865238664437e-08
Position 1301: 1.2437434389546848e-08
Position 840: 8.846228620282079e-09
Position 384: 7.989328501845359e-09
Position 836: 7.87785299125063e-09
Position 182: 4.50752587663293e-09
Position 1310: 3.999720846699342e-09
Position 437: 2.4112795957200917e-09
Position 386: 1.2073971569283144e-09
Position 401: 6.8408959431082e-10
Position 1265: 6.167317521264875e-10
Position 1313: 4.856272859108211e-10
Position 741: 3.0619083215211145e-10
Position 792: 2.809183565578549e-10
Position 774: 7.252304598988067e-11
Position 320: 6.784960403787687e-11
Position 365: 5.831252786662826e-11
Position 1342: 4.37449156817161e-11
Position 996: 2.143664392417072e-11
Position 395: 1.2507495480911168e-11
Position 230: 5.208208565388861e-12
Position 236: 4.000089989174209e-12
Position 228: 1.2354238369674376e-12
Position 777: 8.104563052153047e-13
Position 1353: 7.036598407573213e-13
Position 245: 2.4568464582686596e-13
Position 249: 4.908996007926726e-16
