Gene = Cp19
index = 1090
Annotated 5SS: [58]
Annotated 3SS: [146]
SMsplice 5SS: [58]
SMsplice 3SS: [146]
Partition function (log Z): -3.6559452166744157

Sorted 5' Splice Sites (High to Low Probability):
Position 58: 0.9958165666890805
Position 611: 0.013267610034849641
Position 83: 0.0037122490758935618
Position 397: 0.0028674959522926808
Position 615: 0.0014461461618231256
Position 378: 0.0006944996800264087
Position 292: 0.0006927933708331736
Position 540: 0.00033660283060380993
Position 51: 0.0002953564600384309
Position 599: 0.00018247373739054278
Position 235: 5.3001904454880175e-05
Position 62: 4.631281364895697e-05
Position 530: 3.2807257131602536e-05
Position 472: 2.2453013316931826e-05
Position 385: 2.1077947665448503e-05
Position 418: 1.2555851812512303e-05
Position 64: 7.64257352743226e-06
Position 623: 7.442218667926763e-06
Position 334: 6.265412961711998e-06
Position 315: 5.2245638659891545e-06
Position 301: 3.67232907386873e-06
Position 18: 3.077320187536812e-06
Position 430: 2.9280248315689204e-06
Position 485: 2.5428993635268318e-06
Position 202: 2.4081550329359282e-06
Position 367: 1.9821216200265275e-06
Position 451: 1.9748591677302548e-06
Position 433: 1.4346973351251834e-06
Position 516: 1.3907729625362352e-06
Position 177: 3.529774044213665e-07
Position 406: 3.385597939624921e-07
Position 570: 1.2171646183238265e-07
Position 459: 3.81786456467826e-08
Position 129: 2.8182037251030283e-08
Position 585: 2.4835095835240364e-08
Position 156: 1.4363420221644699e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 146: 0.9969787123420875
Position 675: 0.01642846232761686
Position 156: 0.0018708276277740474
Position 497: 0.0008963105641890932
Position 464: 0.0008265976248418368
Position 377: 0.0007156614730244708
Position 129: 0.000634390506743437
Position 530: 0.0003232298583318652
Position 184: 0.00013271503342122834
Position 591: 0.00012312352567955755
Position 640: 0.00011029639477273394
Position 643: 9.665866172713554e-05
Position 593: 8.569998833984826e-05
Position 570: 8.52087382862083e-05
Position 212: 5.349651561213074e-05
Position 265: 4.68278335124168e-05
Position 701: 2.8505150474627833e-05
Position 535: 2.3698207530809553e-05
Position 346: 2.1425272887241116e-05
Position 611: 1.5969907993288622e-05
Position 239: 1.1501343984191124e-05
Position 729: 1.0797959193867087e-05
Position 599: 8.909554010749776e-06
Position 209: 5.656726222124579e-06
Position 509: 3.962281344761203e-06
Position 619: 3.5907678501949633e-06
Position 539: 1.3018291001100076e-06
Position 244: 1.143073915250067e-06
Position 270: 8.857948157710015e-07
Position 382: 7.221315180968675e-07
Position 623: 6.912630305174568e-07
Position 299: 6.876014715307372e-07
Position 578: 5.542493043617957e-07
Position 273: 5.044130032839851e-07
Position 296: 5.971915988980202e-08
Position 359: 4.285729529342765e-08
Position 224: 3.424363629687179e-08
Position 285: 3.0333813986228143e-08
Position 320: 1.100604302100353e-08
Position 654: 2.3054995287683427e-09
Position 290: 3.7098473214131834e-10
Position 72: 8.11651464492701e-11
Position 214: 6.497112811154604e-11
Position 62: 1.3602239636782024e-11
Position 401: 1.4698489505652764e-12
Position 308: 1.0670593761514582e-12
