Gene = EMC3
index = 1144
Annotated 5SS: [238]
Annotated 3SS: [297]
SMsplice 5SS: [238]
SMsplice 3SS: [297]
Partition function (log Z): -6.041889497609164

Sorted 5' Splice Sites (High to Low Probability):
Position 238: 0.9868595862738987
Position 244: 0.01196755168549608
Position 646: 0.0027744664912792007
Position 369: 0.0027443816503600962
Position 161: 0.0009383293406911821
Position 551: 0.0009323683172364378
Position 170: 0.00025226352845513026
Position 124: 0.0002486507925417979
Position 661: 0.00019524195328137162
Position 464: 0.00013042935981536364
Position 629: 8.430683859884843e-05
Position 507: 7.935296450354106e-05
Position 659: 6.250570772814734e-05
Position 796: 5.2304889522577164e-05
Position 12: 2.9267519985773643e-05
Position 689: 2.8260583270211678e-05
Position 253: 2.679117417070237e-05
Position 340: 2.212330812116069e-05
Position 41: 1.820708774978835e-05
Position 485: 1.5340548785159506e-05
Position 902: 1.3141237206610203e-05
Position 897: 9.819798914739536e-06
Position 820: 7.6166373037022525e-06
Position 497: 4.290777166533197e-06
Position 143: 3.6613962530951867e-06
Position 154: 3.1676139074452565e-06
Position 36: 2.9454563719588725e-06
Position 428: 2.3941398034631205e-06
Position 128: 2.047776528206129e-06
Position 526: 1.31379084057478e-06
Position 599: 1.1685143446021761e-06
Position 923: 1.0871119571714469e-06
Position 500: 1.079245837463739e-06
Position 122: 1.031873807566894e-06
Position 870: 6.184841012585443e-07
Position 182: 5.547078704765725e-07
Position 130: 1.7957102884525723e-07
Position 562: 8.416121190734951e-08
Position 273: 4.774633796358247e-08
Position 539: 1.2626254319541503e-08
Position 290: 9.103814378814659e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 297: 0.9688526135344754
Position 301: 0.027634075206628916
Position 718: 0.003618668287345278
Position 724: 0.001875792045688732
Position 431: 0.0011744394530853637
Position 769: 0.0011073065728231376
Position 910: 0.0007796122749452849
Position 580: 0.0005264887702799139
Position 205: 0.0003609989819856482
Position 232: 0.0002873572839700059
Position 778: 0.0002286556748979944
Position 730: 0.00017982697887304052
Position 592: 0.00017296195799683506
Position 550: 0.00012645904874376458
Position 237: 0.00010437533771492246
Position 790: 8.274912537140811e-05
Position 373: 7.359235663797272e-05
Position 208: 3.644073654499363e-05
Position 638: 3.614325444183098e-05
Position 934: 3.368374221598733e-05
Position 76: 2.6801470583939925e-05
Position 211: 2.6014885655177755e-05
Position 415: 2.571285637525156e-05
Position 968: 2.0005964691118765e-05
Position 951: 1.8310939605043042e-05
Position 348: 1.7828110268155446e-05
Position 469: 1.3326301188115866e-05
Position 947: 1.2617708660561554e-05
Position 355: 1.2310090391544406e-05
Position 97: 1.0482973506459213e-05
Position 409: 1.0374212753924154e-05
Position 931: 1.0357358089851266e-05
Position 331: 7.283657664444276e-06
Position 604: 3.042846340039318e-06
Position 63: 2.444728457044825e-06
Position 870: 2.184225283448041e-06
Position 972: 1.7984793991546207e-06
Position 391: 1.4854916205667003e-06
Position 838: 1.233495709031988e-06
Position 273: 8.159716399225321e-07
Position 258: 3.2020990764074073e-07
Position 340: 3.1419023382348684e-07
Position 394: 2.5387878047113996e-07
Position 897: 1.4902681969850057e-07
Position 955: 9.00222679352566e-08
Position 802: 8.382129482890381e-08
Position 953: 4.1614051540727335e-08
Position 796: 2.2551705073403092e-08
Position 700: 1.8389674106155122e-08
Position 217: 1.1219931667994273e-08
Position 811: 1.019488549128241e-08
Position 253: 8.224602087435103e-09
Position 357: 5.347503537558078e-09
Position 242: 5.160529798751447e-10
Position 820: 1.1056423422483854e-10
Position 262: 7.344666574760352e-11
Position 248: 1.118538524783846e-12
Position 244: 9.631122582066158e-13
