Gene = UQCR-Q
index = 1581
Annotated 5SS: [375 834]
Annotated 3SS: [648 889]
SMsplice 5SS: [ 74 375 834]
SMsplice 3SS: [132 648 889]
Partition function (log Z): 2.389415024069617

Sorted 5' Splice Sites (High to Low Probability):
Position 74: 0.9717976227988853
Position 834: 0.949751647471613
Position 375: 0.7247295909931956
Position 794: 0.04440470343304031
Position 294: 0.027233331810770357
Position 356: 0.019433717548527473
Position 987: 0.01881784419325777
Position 1004: 0.008181854453887976
Position 398: 0.0057011881983625974
Position 838: 0.004978982095331596
Position 530: 0.004707516576043792
Position 1049: 0.0037202497639533313
Position 362: 0.0031157113098480476
Position 506: 0.0030586911853109832
Position 410: 0.002186338842265332
Position 1052: 0.0015796788071387325
Position 471: 0.0014419733805553791
Position 1062: 0.0010552349264536054
Position 1102: 0.000992824089873774
Position 566: 0.0008125720488560359
Position 1092: 0.00073095011657024
Position 327: 0.0005927240999343775
Position 603: 0.00039788332010232076
Position 203: 0.0003177288055132418
Position 1009: 0.00027116852594657
Position 585: 0.0002612034393392891
Position 824: 0.00025947611218009797
Position 451: 0.00022347072194693062
Position 583: 0.00016062301723243126
Position 478: 0.0001483477038943912
Position 1056: 6.927510109583376e-05
Position 206: 6.326157192750479e-05
Position 1039: 4.564523785243837e-05
Position 190: 4.201993773308163e-05
Position 337: 2.1438234216876895e-05
Position 104: 2.1088287466390873e-05
Position 619: 1.6129029727393667e-05
Position 1054: 1.4268799576177605e-05
Position 1124: 1.401838327757019e-05
Position 469: 1.2922563241341053e-05
Position 815: 1.1781164428640477e-05
Position 318: 9.967767173849746e-06
Position 798: 9.224697221886506e-06
Position 181: 9.164757935039408e-06
Position 162: 9.12783383197988e-06
Position 38: 6.820312885708908e-06
Position 226: 5.734623062967973e-06
Position 898: 4.8933091061989875e-06
Position 710: 3.5557918275807288e-06
Position 23: 2.762564379583329e-06
Position 298: 2.3538954383876232e-06
Position 1138: 1.9665577774707817e-06
Position 86: 1.2552503214796777e-06
Position 1222: 6.547920287714813e-07
Position 132: 3.227204175582684e-07
Position 311: 3.1948614921574513e-07
Position 1151: 3.1931843144972383e-07
Position 168: 1.7918047465248265e-07
Position 663: 1.4938145439119895e-07
Position 866: 3.795332790516211e-08
Position 858: 1.1579651460291593e-08
Position 1228: 7.68989116670346e-09
Position 1252: 3.004260267364223e-09
Position 1216: 1.0643883435903912e-09
Position 1179: 4.801764537658967e-10
Position 722: 2.534701420737988e-10
Position 736: 2.1434155243288703e-11
Position 1208: 6.974291939464786e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 889: 0.9945231054344202
Position 132: 0.8364945704674727
Position 648: 0.830717211416949
Position 161: 0.06927273315905697
Position 1169: 0.01875905001168408
Position 1039: 0.0186316827301755
Position 139: 0.012582224187743777
Position 632: 0.003447812653208695
Position 451: 0.002578476537559375
Position 688: 0.002546875934222025
Position 1138: 0.0024381489744769174
Position 709: 0.0018222554765753465
Position 456: 0.001524976551922613
Position 119: 0.0012389732749394128
Position 261: 0.0010670880030517183
Position 281: 0.0007546187365993809
Position 751: 0.0005416186895360175
Position 1196: 0.00040722235369566705
Position 535: 0.000405335597104689
Position 409: 0.0003257336173470721
Position 469: 0.00021988049582256228
Position 850: 0.00014762975798505223
Position 354: 0.0001423338444681099
Position 181: 0.00013289378169156567
Position 933: 0.00011639015082777677
Position 506: 0.0001136136607214294
Position 733: 8.007778856541263e-05
Position 249: 6.57743604846017e-05
Position 220: 6.06883444657413e-05
Position 304: 5.989575801612209e-05
Position 1072: 4.7083382864828e-05
Position 1045: 4.084267295836423e-05
Position 475: 3.7776037206127263e-05
Position 1216: 2.7850478059516418e-05
Position 374: 1.9760227476620396e-05
Position 1086: 1.8964646743384687e-05
Position 168: 1.6105722029560583e-05
Position 190: 1.1810728163947566e-05
Position 557: 4.038986985535188e-06
Position 544: 3.711692255518087e-06
Position 232: 3.634456974622889e-06
Position 838: 2.8181109797363997e-06
Position 774: 1.8794887993589403e-06
Position 1000: 1.870246271471485e-06
Position 1298: 1.8594949132726104e-06
Position 503: 1.346517943452982e-06
Position 1234: 1.3435579104308216e-06
Position 458: 9.304417919259181e-07
Position 1173: 6.032968337786587e-07
Position 362: 4.11395970423648e-07
Position 997: 3.5822649149118247e-07
Position 954: 3.397106189722515e-07
Position 748: 2.667245497538981e-07
Position 1228: 1.964858642815303e-07
Position 1316: 1.772523958866883e-07
Position 1171: 1.4733681285765564e-07
Position 1193: 1.3557215915949208e-07
Position 337: 1.2391301933223816e-07
Position 1205: 1.193814875692553e-07
Position 778: 3.818646093597862e-08
Position 73: 2.1345464936380086e-08
Position 1047: 1.9933733688057826e-08
Position 332: 1.8362499484376148e-08
Position 547: 1.1164126985640946e-08
Position 767: 9.98102675680574e-09
Position 1049: 5.058895896112813e-09
Position 1288: 4.623582116635107e-09
Position 344: 2.376134982016764e-09
Position 985: 1.9752312546959895e-09
Position 1004: 6.897521115779523e-10
Position 78: 6.41153029321275e-10
Position 342: 1.1847967861231437e-10
