Gene = Gr22d
index = 1195
Annotated 5SS: [1010]
Annotated 3SS: [1067]
SMsplice 5SS: [1010]
SMsplice 3SS: [1067]
Partition function (log Z): -6.174844267740608

Sorted 5' Splice Sites (High to Low Probability):
Position 1010: 0.9946983685972512
Position 185: 0.08812668602678395
Position 98: 0.034546874445074024
Position 509: 0.02954995892852844
Position 290: 0.025101822254027666
Position 812: 0.017273543885530752
Position 32: 0.016350973519683395
Position 848: 0.013807246317796923
Position 541: 0.01367370011215441
Position 710: 0.012814696652402638
Position 635: 0.011570132113264648
Position 379: 0.007817505139143586
Position 584: 0.007046858811177778
Position 581: 0.004438462543530373
Position 536: 0.004213144385220106
Position 425: 0.0036983603700299927
Position 476: 0.001510227177493869
Position 420: 0.0014573023136512213
Position 300: 0.0014159296803552372
Position 794: 0.0010286972258206617
Position 755: 0.0007990274493141853
Position 42: 0.0006445071336108278
Position 914: 0.000636278148857283
Position 53: 0.0005785325764194443
Position 305: 0.00048158125571396066
Position 195: 0.0004505731707976689
Position 443: 0.0003452448011617475
Position 452: 0.00033640597178693317
Position 278: 0.0002861262359762466
Position 1008: 0.00020155231724453598
Position 19: 0.0001968308041080732
Position 398: 0.00018932312409854224
Position 223: 0.00017657332640160894
Position 677: 0.00013329778209469448
Position 287: 0.00010901214761287644
Position 524: 9.403113515195174e-05
Position 518: 7.038828488205861e-05
Position 16: 6.935320980290015e-05
Position 264: 6.89614852178266e-05
Position 602: 6.236818116685968e-05
Position 403: 4.8528024482654294e-05
Position 1014: 4.340939490197626e-05
Position 838: 3.7329638294608996e-05
Position 162: 3.1288534923674735e-05
Position 862: 2.710104754294927e-05
Position 127: 2.6998941702080364e-05
Position 124: 2.6762126309818964e-05
Position 230: 2.3082922993203616e-05
Position 36: 1.4355911125885831e-05
Position 281: 1.4000401547469471e-05
Position 134: 1.286798971118986e-05
Position 639: 1.2311363232489452e-05
Position 527: 1.0378292837156592e-05
Position 440: 1.0239079585879309e-05
Position 152: 7.229775538598163e-06
Position 1134: 6.459503412700311e-06
Position 604: 6.169315474019261e-06
Position 155: 5.679603076614641e-06
Position 405: 4.710433338875093e-06
Position 449: 4.528540670839321e-06
Position 1085: 1.8735615242114511e-06
Position 1099: 1.8305620681486112e-06
Position 1056: 1.5457003187463844e-06
Position 168: 1.0291966597338908e-06
Position 967: 6.761465174570525e-07
Position 1109: 1.0598536404527123e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1067: 0.9258099263686004
Position 878: 0.15009523369139757
Position 931: 0.09530640917305935
Position 1093: 0.035630393472351064
Position 1055: 0.021579868505769623
Position 240: 0.015830329833625974
Position 1074: 0.01142718525930646
Position 618: 0.009850719249891024
Position 779: 0.008188620766479622
Position 264: 0.0044551067064288324
Position 819: 0.0033776317164203066
Position 98: 0.003271110775838608
Position 433: 0.0015189524885680435
Position 1102: 0.0014390633347697742
Position 398: 0.0012832678763129736
Position 751: 0.0012247285098425807
Position 193: 0.0009594624093087124
Position 706: 0.0008416084812718521
Position 723: 0.0007990821164893984
Position 675: 0.0007050613603299894
Position 964: 0.0007006117415802328
Position 152: 0.0003733621174050727
Position 464: 0.0002986218560567327
Position 162: 0.00021673743315733291
Position 494: 0.0002111096399215633
Position 113: 0.00016660063607597993
Position 437: 0.00015498171234314776
Position 1143: 9.775678155148478e-05
Position 913: 8.485453500144901e-05
Position 661: 7.503499876155565e-05
Position 168: 6.970156209833033e-05
Position 630: 6.8759422594267e-05
Position 327: 6.615294507710831e-05
Position 666: 4.573963554632148e-05
Position 825: 4.239919806793564e-05
Position 67: 2.6642311504275797e-05
Position 1171: 2.5172244171444127e-05
Position 440: 2.1329982093216255e-05
Position 281: 2.1075570200730647e-05
Position 648: 1.980497765805234e-05
Position 1199: 1.4153389627739721e-05
Position 403: 1.2409750767458324e-05
Position 1109: 1.0470485232116728e-05
Position 278: 1.0224330309058988e-05
Position 942: 4.863883573403793e-06
Position 202: 3.094384565117874e-06
Position 379: 2.8583778438080574e-06
Position 677: 2.7926607418841785e-06
Position 541: 2.2490602695838102e-06
Position 374: 1.7489539003963443e-06
Position 118: 1.7313778504842616e-06
Position 200: 1.4203707498214547e-06
Position 115: 8.055449775058817e-07
Position 343: 6.201661972068824e-07
Position 1003: 4.793248201853693e-07
Position 994: 3.836968249153239e-07
Position 207: 3.0495212142144003e-07
Position 195: 3.99870656737731e-08
Position 982: 2.8401016455719425e-08
Position 287: 2.580745360687024e-08
Position 1008: 1.8563259154775153e-08
Position 1014: 6.860935979097417e-09
Position 835: 4.487385242509665e-09
Position 209: 2.272784576832101e-09
Position 346: 2.0125435364361505e-09
Position 831: 4.5239419376851356e-10
Position 330: 4.1252495587689174e-11
Position 906: 4.001430589509492e-11
Position 294: 7.302296039926262e-14
Position 211: 1.7460854018218572e-14
