Gene = Acp76A
index = 12
Annotated 5SS: [994]
Annotated 3SS: [1062]
SMsplice 5SS: [994]
SMsplice 3SS: [1062]
Partition function (log Z): -6.934353682616836

Sorted 5' Splice Sites (High to Low Probability):
Position 994: 0.9516650638760893
Position 718: 0.15854209215279969
Position 685: 0.050196562079601714
Position 389: 0.03591301843264414
Position 357: 0.012788407192373103
Position 15: 0.009435270760146244
Position 187: 0.0023875911053229397
Position 396: 0.0013984662611300097
Position 1197: 0.0012701921470787282
Position 312: 0.0009081310290153132
Position 366: 0.0008385875653979567
Position 1009: 0.0007697769679748976
Position 510: 0.0006483509710320045
Position 72: 0.0006060485568347554
Position 408: 0.00041465151488010273
Position 745: 0.00038445963394652426
Position 1107: 0.000265508517405721
Position 488: 0.0001870504990375537
Position 437: 0.0001802144395395924
Position 457: 0.00014006840269713364
Position 123: 0.00011347285284896761
Position 474: 0.00010868104385828224
Position 459: 0.00010464199317279122
Position 249: 8.015219335588832e-05
Position 792: 6.945228261322389e-05
Position 988: 6.562152670472899e-05
Position 816: 4.150752561094885e-05
Position 293: 3.6187167854906404e-05
Position 1149: 2.8037967640102295e-05
Position 27: 2.1596410536346158e-05
Position 38: 2.11510639068312e-05
Position 625: 1.7607681305702307e-05
Position 1065: 1.1578195608515417e-05
Position 1158: 8.308363152215822e-06
Position 1100: 7.726918473997352e-06
Position 722: 6.689226958020394e-06
Position 914: 5.3867354892720025e-06
Position 134: 4.552683280421411e-06
Position 899: 3.88828390166527e-06
Position 180: 3.200895181488092e-06
Position 653: 3.1634816509635055e-06
Position 954: 3.058130785275674e-06
Position 32: 2.8701215468635982e-06
Position 320: 2.194425633866399e-06
Position 318: 1.656014336011828e-06
Position 1162: 1.6309984236482513e-06
Position 531: 1.5558631553097081e-06
Position 352: 1.4881170841115503e-06
Position 132: 1.1917121422837151e-06
Position 1068: 1.0826130466101654e-06
Position 582: 7.652418148759135e-07
Position 1021: 7.642800782500703e-07
Position 440: 6.307881123430188e-07
Position 627: 2.9173767095763037e-07
Position 647: 2.1307894862761994e-07
Position 665: 9.423240383538108e-08
Position 1122: 6.509447173261003e-08
Position 747: 5.4694332334668885e-08
Position 1128: 1.0049318027118594e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1062: 0.973445201005685
Position 785: 0.15095862085679077
Position 894: 0.0391115392767605
Position 1065: 0.01753206410178854
Position 906: 0.011398711486618338
Position 564: 0.010183438292809328
Position 842: 0.006553942279178337
Position 744: 0.0030669429202449896
Position 993: 0.0017083009478903552
Position 237: 0.0016017318885165
Position 927: 0.0013282018608342316
Position 1258: 0.0013229537427585127
Position 480: 0.0012430835067122543
Position 1136: 0.0009911784236569078
Position 485: 0.0009264755949328653
Position 812: 0.0008829284646068898
Position 103: 0.0007112999383760969
Position 132: 0.0006803240988621766
Position 615: 0.0006737054437133756
Position 144: 0.0005336050986131783
Position 347: 0.0004738643438323302
Position 1158: 0.0004497441988142204
Position 241: 0.00043848144009891917
Position 513: 0.00041764501521517994
Position 574: 0.00039916738699804317
Position 758: 0.00035382459855542477
Position 1068: 0.00032700135433330976
Position 566: 0.000305853115236464
Position 176: 0.000292824319105856
Position 1091: 0.00018345076240596246
Position 520: 0.00016365944985207595
Position 205: 0.00013918329754860026
Position 91: 0.00012268142467456168
Position 161: 0.00010371935529156809
Position 412: 9.64036166060133e-05
Position 845: 9.140734962279607e-05
Position 482: 7.670505806724378e-05
Position 1179: 5.338792943324609e-05
Position 114: 5.2084008376483634e-05
Position 1107: 4.120824526683367e-05
Position 275: 4.0792852573855534e-05
Position 488: 3.8146436989774055e-05
Position 180: 3.31828932032767e-05
Position 404: 3.2043464274260995e-05
Position 1142: 2.9929496803837832e-05
Position 1211: 2.9038913452678784e-05
Position 245: 1.5578185331141068e-05
Position 299: 1.3831051439556231e-05
Position 279: 9.217808679469073e-06
Position 268: 6.949232516121502e-06
Position 531: 6.800451111090806e-06
Position 208: 6.613270801763777e-06
Position 293: 4.620473113735539e-06
Position 739: 4.1665658705108576e-06
Position 684: 3.92977194648447e-06
Position 311: 3.294221697205924e-06
Position 1229: 1.47333921530589e-06
Position 249: 1.299594389912844e-06
Position 1197: 1.1245318821206963e-06
Position 389: 1.0559305956519988e-06
Position 326: 6.217465046431403e-07
Position 954: 3.4809253301791503e-07
Position 286: 2.8232772180517004e-07
Position 677: 2.566257783419936e-07
Position 386: 2.1938496907223716e-07
Position 116: 1.7649412913157146e-07
Position 318: 9.706374958186255e-08
Position 187: 8.471782746581456e-08
Position 365: 1.1200273711552122e-08
Position 379: 2.153298883320908e-09
