Gene = Aprt
index = 23
Annotated 5SS: [329 697]
Annotated 3SS: [458 770]
SMsplice 5SS: [697]
SMsplice 3SS: [770]
Partition function (log Z): -3.4945546463986696

Sorted 5' Splice Sites (High to Low Probability):
Position 697: 0.9507856183122835
Position 329: 0.5146341147017652
Position 416: 0.0803118718374173
Position 180: 0.07522495223025392
Position 692: 0.04292222143599252
Position 885: 0.011262833603666771
Position 349: 0.00875709050242435
Position 166: 0.006010950403516617
Position 427: 0.0037816043178021085
Position 123: 0.0034768740471726707
Position 155: 0.0024849517250044384
Position 687: 0.0014343840092940277
Position 980: 0.0010621213388865673
Position 989: 0.0010264018990992637
Position 963: 0.0009926218726104363
Position 419: 0.0006636853561579309
Position 1001: 0.00042397393835941243
Position 425: 0.00033219971727718034
Position 701: 0.0002812657981375129
Position 553: 0.0002758939408045311
Position 202: 0.0002711623150795836
Position 187: 0.0002229120240694933
Position 138: 0.00015655019761624917
Position 536: 0.00010301572840451597
Position 559: 8.359573295162623e-05
Position 58: 7.397798923274803e-05
Position 494: 7.082246589976357e-05
Position 847: 7.078453215004856e-05
Position 273: 6.852831931533863e-05
Position 51: 4.5489763056023076e-05
Position 661: 4.274597099820758e-05
Position 226: 4.081371093221413e-05
Position 372: 3.815362134680345e-05
Position 293: 2.5594172970620648e-05
Position 927: 1.3322210498933648e-05
Position 333: 1.2215464212917567e-05
Position 912: 1.1069656924461396e-05
Position 940: 9.862742997536946e-06
Position 323: 8.676016127735267e-06
Position 664: 7.443360476003308e-06
Position 498: 4.9373702038239445e-06
Position 517: 4.00878146793488e-06
Position 118: 2.6837164506978853e-06
Position 1112: 2.3499819908112336e-06
Position 915: 1.7143436878097383e-06
Position 816: 1.1901870406090038e-06
Position 458: 1.1679731143922865e-06
Position 889: 1.1535218330790927e-06
Position 670: 1.0078996730856089e-06
Position 439: 7.326027683086701e-07
Position 900: 5.62607152791248e-07
Position 60: 4.980745971572194e-07
Position 894: 4.2617530530399413e-07
Position 623: 3.7027183159730224e-07
Position 339: 1.683716110758036e-07
Position 850: 1.5521447503739696e-07
Position 858: 1.303423997418295e-07
Position 1165: 9.866802288030987e-08
Position 496: 2.3520156614128197e-08
Position 819: 2.17605626691275e-08
Position 743: 2.1501318476706077e-08
Position 825: 1.3680174308253074e-08
Position 822: 9.667602476202489e-09
Position 897: 7.426317247579954e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9922859783406633
Position 601: 0.3580564785105435
Position 489: 0.18126500960079114
Position 250: 0.06153991122196721
Position 458: 0.058279183945319446
Position 415: 0.02030850760618454
Position 229: 0.008334093478853208
Position 1135: 0.004746405453705286
Position 1107: 0.0044726807729546575
Position 1061: 0.003427796591351346
Position 536: 0.0031786648832159794
Position 803: 0.002441114615295591
Position 226: 0.001964775263393442
Position 1041: 0.0017086602429537694
Position 840: 0.0012355002919804319
Position 846: 0.0008312732326367402
Position 1214: 0.00046047290372251194
Position 311: 0.00044857237331685486
Position 1202: 0.00036133617282102477
Position 1195: 0.00027868310220844033
Position 472: 0.0002078239262038206
Position 884: 0.00018331989916752018
Position 552: 0.00017507672989530742
Position 314: 0.00014028237694731777
Position 740: 0.00011811588140723618
Position 356: 0.00011177650107501348
Position 642: 0.00011020010958478441
Position 980: 0.00010673299839731719
Position 816: 0.0001013401019326823
Position 284: 9.036177716089899e-05
Position 733: 8.459380853975476e-05
Position 1065: 7.963807513692798e-05
Position 103: 6.420213592574846e-05
Position 639: 5.849372854902917e-05
Position 202: 4.6596869166885124e-05
Position 258: 4.254360231476187e-05
Position 1009: 4.1949253438613826e-05
Position 372: 3.9434077640827404e-05
Position 187: 1.700633377936008e-05
Position 938: 1.480699997734685e-05
Position 278: 1.4722100346570848e-05
Position 949: 1.09536803679444e-05
Position 138: 9.046648957345655e-06
Position 280: 7.790252767880799e-06
Position 115: 7.665253781030675e-06
Position 609: 6.429558596911376e-06
Position 927: 5.661167327705081e-06
Position 546: 5.61409495570225e-06
Position 963: 4.783625293373882e-06
Position 263: 3.3996611998553934e-06
Position 348: 2.885284923085482e-06
Position 648: 1.961068596115953e-06
Position 293: 1.7677691921756226e-06
Position 166: 1.2987554528447501e-06
Position 782: 8.108085933074866e-07
Position 267: 4.762246923681515e-07
Position 687: 4.418657913204391e-07
Position 170: 3.6754786207956335e-07
Position 333: 2.1783209702790756e-07
Position 661: 5.791007098506811e-08
Position 158: 4.1759378216895146e-08
Position 363: 2.0214843679458876e-08
Position 905: 7.664147502528268e-09
Position 238: 4.768589309003108e-09
Position 658: 4.951511147679455e-10
Position 987: 4.317871956773719e-10
Position 397: 3.769487704108362e-10
Position 701: 1.5603587805379343e-11
Position 989: 1.550757141767115e-11
Position 907: 6.967412932222968e-18
