Gene = hoip
index = 1729
Annotated 5SS: [147]
Annotated 3SS: [208]
SMsplice 5SS: [147]
SMsplice 3SS: [208]
Partition function (log Z): -2.941900594723862

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9988853290364177
Position 123: 0.0006167743932816716
Position 117: 0.00021554022378071408
Position 91: 0.0001328477218982003
Position 449: 0.00010886366305406015
Position 161: 0.00010503953254442107
Position 375: 6.735757885238833e-05
Position 418: 3.608266574227654e-05
Position 151: 2.7142207121474745e-05
Position 362: 2.5956070164788747e-05
Position 11: 2.1789839969351572e-05
Position 218: 1.4559884434765548e-05
Position 365: 1.2029908294270532e-05
Position 53: 9.831402001777259e-06
Position 71: 7.595844601474066e-06
Position 474: 6.773734335905687e-06
Position 434: 3.862045560142383e-06
Position 31: 3.744188713377111e-06
Position 177: 2.0800443954965813e-06
Position 33: 1.8384334968542054e-06
Position 443: 1.698871536321195e-06
Position 541: 1.6043749879484891e-06
Position 191: 1.8111945952742838e-07
Position 453: 1.1615686416578189e-07
Position 478: 9.129688694991732e-08
Position 485: 9.247967045435442e-09
Position 512: 8.202506504263255e-09
Position 500: 1.0177693025580824e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 208: 0.999784062468181
Position 500: 0.0001379526212310434
Position 463: 0.0001094503211121896
Position 229: 6.383485213029395e-05
Position 283: 4.872732431358999e-05
Position 253: 3.233837960794224e-05
Position 214: 3.1462069645784485e-05
Position 460: 2.3120185917305387e-05
Position 191: 2.172063882284584e-05
Position 71: 1.84793146027301e-05
Position 117: 1.1136152309956776e-05
Position 265: 6.592955324901834e-06
Position 600: 5.227979393025113e-06
Position 287: 3.4417713187381623e-06
Position 430: 2.869899216692529e-06
Position 531: 2.683591263846457e-06
Position 313: 1.1824034546724242e-06
Position 565: 1.134695585565069e-06
Position 526: 5.570288855263826e-07
Position 138: 5.498089553594577e-07
Position 123: 4.191237128899291e-07
Position 568: 2.9696296532490605e-07
Position 424: 2.7816966180935454e-07
Position 624: 2.27038263034553e-07
Position 562: 1.624745798100098e-07
Position 607: 1.5897447179390852e-07
Position 535: 1.4642216985097852e-07
Position 76: 1.0845484638049077e-07
Position 218: 1.0231043965914254e-07
Position 104: 9.890661849226681e-08
Position 79: 9.346349989654896e-08
Position 165: 6.361209306159679e-08
Position 151: 2.5268021254396947e-08
Position 547: 1.7575763544821374e-08
Position 394: 5.42907324927968e-09
Position 584: 5.202500078820527e-09
Position 485: 4.22035458648441e-09
Position 172: 3.085045654050152e-09
Position 541: 2.789225250388579e-09
Position 334: 2.4333311927674598e-09
Position 589: 1.2509444756414548e-09
Position 385: 5.004854325667655e-10
Position 574: 2.9952693610074335e-10
Position 325: 1.2448993114411422e-10
Position 174: 8.227311216442208e-11
Position 317: 5.472123293029625e-11
Position 83: 1.4700512057393193e-11
Position 90: 1.4472503194346488e-12
Position 88: 1.4025440011465032e-13
