Gene = Ufd1-like
index = 1582
Annotated 5SS: [295]
Annotated 3SS: [351]
SMsplice 5SS: [295]
SMsplice 3SS: [351]
Partition function (log Z): -5.853451130406268

Sorted 5' Splice Sites (High to Low Probability):
Position 295: 0.9951884853009209
Position 949: 0.1313865124134807
Position 529: 0.08360551445173772
Position 936: 0.004140686199367563
Position 1180: 0.0012909528113570715
Position 996: 0.0012327958655133785
Position 467: 0.0006322307497744252
Position 1147: 0.000625164071362028
Position 34: 0.0005497772806175395
Position 308: 0.0005349793040270328
Position 299: 0.0001893201442337338
Position 698: 0.00011703098318430399
Position 524: 0.000104108464467539
Position 722: 0.0001001823185850479
Position 711: 7.817128677891006e-05
Position 106: 7.268839252784308e-05
Position 459: 6.020229301130248e-05
Position 9: 5.976822569180153e-05
Position 1189: 5.359908230408574e-05
Position 276: 4.2404224270246995e-05
Position 429: 3.317492126089458e-05
Position 767: 3.097678367597562e-05
Position 971: 3.0360896745723726e-05
Position 11: 2.6372008478356554e-05
Position 753: 2.491408054038785e-05
Position 1195: 2.4313085404086525e-05
Position 1011: 1.711467889905829e-05
Position 306: 1.4969282586552994e-05
Position 587: 1.3240104804090155e-05
Position 233: 1.141152116503639e-05
Position 243: 1.0891130626424368e-05
Position 401: 7.803921148464156e-06
Position 556: 7.593267490881216e-06
Position 636: 7.401480390554339e-06
Position 850: 7.2249441417579446e-06
Position 17: 7.2137463231900095e-06
Position 119: 6.466597140528407e-06
Position 928: 3.782510863189944e-06
Position 984: 3.18846884028284e-06
Position 780: 2.917675895439851e-06
Position 940: 2.867001689386449e-06
Position 864: 2.2241781721648007e-06
Position 558: 2.2012087674414345e-06
Position 328: 1.8557713712458622e-06
Position 909: 1.656753011292821e-06
Position 170: 1.6221548937646173e-06
Position 351: 1.2562214186252597e-06
Position 1072: 1.1615321107577671e-06
Position 1098: 1.0453190541308584e-06
Position 570: 1.024504585562875e-06
Position 684: 9.69723621816487e-07
Position 1031: 8.758538371223633e-07
Position 396: 7.051379789590571e-07
Position 912: 6.697398918792968e-07
Position 471: 4.765627559973569e-07
Position 413: 3.191442750398261e-07
Position 197: 2.914094510790763e-07
Position 798: 1.479617450746808e-07
Position 987: 1.2807067627942026e-07
Position 1045: 6.168854175205519e-08
Position 724: 2.3240515616529723e-08
Position 726: 1.1835661909749697e-08
Position 251: 9.501594644443572e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 351: 0.9916169895317097
Position 601: 0.08279966308610436
Position 1017: 0.05783697108601475
Position 1031: 0.05205518291797287
Position 1240: 0.015378342355972165
Position 1217: 0.006011130590353463
Position 1072: 0.0040042528323943035
Position 1078: 0.0020362009825240597
Position 676: 0.0016791644098099055
Position 587: 0.001231267827309826
Position 401: 0.0010812667417130582
Position 995: 0.0009994132187075878
Position 1189: 0.0007626720527526996
Position 827: 0.0005676542382766762
Position 142: 0.0003022156767282287
Position 1101: 0.0002720597608663364
Position 419: 0.00022324316560128207
Position 992: 0.00017796339865892703
Position 181: 0.00016397558911547473
Position 632: 0.00014705377342013026
Position 753: 0.00013805389973829622
Position 81: 0.000125846292029661
Position 1226: 0.00012422012426393386
Position 1195: 0.00011308238456528603
Position 1081: 9.98028639281939e-05
Position 104: 6.427131534183422e-05
Position 757: 4.9285567800552805e-05
Position 848: 4.2437219930104145e-05
Position 1246: 3.804844103299019e-05
Position 119: 3.07814631928468e-05
Position 791: 2.8438926223153247e-05
Position 740: 2.7397595189603622e-05
Position 734: 2.5172191974294604e-05
Position 845: 2.4705339605274937e-05
Position 1160: 1.3736663275236425e-05
Position 710: 1.3332136210450639e-05
Position 434: 1.1418671625273102e-05
Position 906: 9.974405545768249e-06
Position 1175: 6.012501305021708e-06
Position 258: 5.671335199014815e-06
Position 1089: 4.372771276742766e-06
Position 1086: 4.359518791273135e-06
Position 166: 4.186266371339762e-06
Position 96: 3.93586314033595e-06
Position 133: 2.814014672072712e-06
Position 1002: 2.7008064446030236e-06
Position 554: 2.5120128175206234e-06
Position 956: 1.747780595396299e-06
Position 707: 1.5323357232977876e-06
Position 69: 1.3684631229456915e-06
Position 953: 1.2912089496667094e-06
Position 959: 1.2009790934198496e-06
Position 467: 1.1688021842516383e-06
Position 690: 1.1192654746140012e-06
Position 809: 1.088664204921171e-06
Position 698: 7.599997564030544e-07
Position 233: 6.369497952384057e-07
Position 150: 4.921270932813201e-07
Position 926: 4.3042154481112574e-07
Position 962: 3.3841326045846796e-07
Position 644: 2.291954890012496e-07
Position 1130: 2.2292753943853396e-07
Position 157: 1.7486729105010173e-07
Position 311: 1.476012178647736e-07
Position 798: 1.2058959653624606e-07
Position 284: 5.0860613914020555e-08
Position 115: 3.380617747035293e-08
Position 767: 2.2238663156650032e-08
Position 556: 1.5664654628720383e-08
Position 320: 1.2624569592807687e-08
Position 306: 1.2453853593085263e-08
Position 533: 1.2202567025268974e-08
Position 206: 9.39906825685181e-09
Position 971: 8.67842677909537e-09
Position 293: 5.07086005886932e-09
Position 917: 7.065986758849165e-10
Position 967: 6.031749094306815e-10
Position 885: 4.411457099541249e-10
Position 908: 1.556805108552309e-10
Position 482: 9.83267872274166e-11
Position 299: 5.207528499590139e-11
Position 266: 9.270481534419448e-12
Position 295: 5.2121787700975354e-14
Position 1132: 4.722454970673511e-14
Position 152: 4.131694467569842e-19
