Gene = BHD
index = 43
Annotated 5SS: [1252 1444]
Annotated 3SS: [1340 1501]
SMsplice 5SS: [1252 1444]
SMsplice 3SS: [1340 1501]
Partition function (log Z): -3.8539099932666367

Sorted 5' Splice Sites (High to Low Probability):
Position 1252: 0.9793678054471774
Position 1444: 0.9545981548191347
Position 8: 0.08454475780425422
Position 373: 0.061342044025807355
Position 453: 0.01693793973537394
Position 817: 0.005165740478287024
Position 984: 0.0035472477613535556
Position 398: 0.0031799950549626327
Position 1003: 0.0023358976253816752
Position 28: 0.0023301563002015406
Position 960: 0.0017880841525571203
Position 1560: 0.0011265573949312494
Position 996: 0.0008709970195071219
Position 1032: 0.0006932547169649993
Position 1421: 0.0006162832122756266
Position 518: 0.0005487319294014077
Position 1448: 0.0002538234702583706
Position 643: 0.00018609743819629338
Position 361: 0.00017824686707599142
Position 1115: 0.00016817716402730732
Position 354: 0.0001655925709680164
Position 1272: 0.00013033600229478
Position 1024: 0.00012522195430280292
Position 309: 0.00010197705208368348
Position 1217: 8.747669400965142e-05
Position 970: 8.039432735776964e-05
Position 993: 8.00034110760833e-05
Position 1215: 6.3376702245626e-05
Position 19: 6.0930510234040546e-05
Position 623: 6.0200483233136224e-05
Position 427: 5.411276240858566e-05
Position 327: 5.054723436481421e-05
Position 950: 4.558636085087439e-05
Position 1435: 3.9147604798240646e-05
Position 936: 3.4615813547103206e-05
Position 567: 3.4236272973454146e-05
Position 1569: 2.7959728867731454e-05
Position 339: 2.611305987928798e-05
Position 856: 2.6105598627259154e-05
Position 780: 2.4718621404697243e-05
Position 1221: 2.46677908638953e-05
Position 404: 1.6165853470327765e-05
Position 136: 1.0525548567394197e-05
Position 82: 9.749327555188205e-06
Position 501: 9.73391992876139e-06
Position 102: 9.552886128040185e-06
Position 659: 9.142439265641825e-06
Position 800: 8.806723283054965e-06
Position 439: 7.695273843730027e-06
Position 1298: 7.062707510872363e-06
Position 820: 6.164075958028855e-06
Position 905: 5.80484962462249e-06
Position 402: 5.582849593742578e-06
Position 931: 5.478288057889237e-06
Position 315: 5.144506580180434e-06
Position 826: 4.9076532503875575e-06
Position 647: 4.543335389933291e-06
Position 1162: 4.531265633297991e-06
Position 334: 4.136192048823032e-06
Position 191: 3.6773875359654426e-06
Position 1355: 3.539918271597418e-06
