Gene = Rpb8
index = 1455
Annotated 5SS: [185]
Annotated 3SS: [255]
SMsplice 5SS: [185]
SMsplice 3SS: [255]
Partition function (log Z): -5.1745418689629386

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9759462802126463
Position 192: 0.023951933885557664
Position 680: 0.0004149605284658716
Position 527: 6.97231680469833e-05
Position 666: 6.014826933809102e-05
Position 158: 4.464623280521654e-05
Position 196: 3.2993069916229945e-05
Position 76: 1.4950463153968935e-05
Position 323: 8.810255595348843e-06
Position 482: 8.71041702228331e-06
Position 294: 8.472258546186074e-06
Position 536: 7.661016824760465e-06
Position 637: 5.96672835511796e-06
Position 353: 3.5579294985809396e-06
Position 425: 2.6698457770598956e-06
Position 463: 1.902806138611351e-06
Position 112: 1.039082804306222e-06
Position 531: 1.0152714556769806e-06
Position 333: 5.490960075412258e-07
Position 435: 4.271813742372052e-07
Position 66: 3.304403044041522e-07
Position 362: 2.3232282590174191e-07
Position 331: 1.8198729244009143e-07
Position 359: 1.1939297768236637e-07
Position 255: 5.058989073634676e-08
Position 270: 4.372182747925081e-08
Position 395: 1.704636152411308e-08
Position 605: 8.497435855694635e-09
Position 603: 1.731799786273848e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.998873829810276
Position 744: 0.0005206668271061786
Position 227: 0.0004956940800986336
Position 299: 0.0004531573504410378
Position 314: 7.923994338507576e-05
Position 635: 4.8894270816037527e-05
Position 281: 2.8116035918564685e-05
Position 553: 2.7770221837868957e-05
Position 368: 1.9875697271172667e-05
Position 413: 1.1927673485292313e-05
Position 270: 5.638273193279987e-06
Position 323: 4.8729249203199465e-06
Position 148: 4.6971029968042025e-06
Position 750: 4.641707192085291e-06
Position 475: 2.2894088475143244e-06
Position 174: 1.7415060335411595e-06
Position 545: 1.554033316397844e-06
Position 359: 6.146146044184488e-07
Position 122: 5.557943846670478e-07
Position 425: 3.2522290517783187e-07
Position 503: 3.1396310075889605e-07
Position 695: 2.226800653976877e-07
Position 497: 1.7841197603079194e-07
Position 581: 1.5936582097352878e-07
Position 112: 1.2280281772046268e-07
Position 674: 8.188767206959564e-08
Position 353: 5.114546362828823e-08
Position 665: 4.9457394549616397e-08
Position 520: 4.291718347535505e-08
Position 458: 1.8468614830899128e-08
Position 527: 1.7751527457849942e-08
Position 184: 1.5760913481168875e-08
Position 482: 1.4685580614110036e-08
Position 570: 1.0036745148650286e-08
Position 560: 8.638060391949716e-10
Position 189: 5.862936713221605e-10
Position 205: 1.660398710946774e-10
