Gene = Tdrd3
index = 1549
Annotated 5SS: [  91  228 2423]
Annotated 3SS: [ 142  301 2527]
SMsplice 5SS: [  91  228 2423 2807]
SMsplice 3SS: [ 142  301 2527 2868]
Partition function (log Z): 7.084147676819464

Sorted 5' Splice Sites (High to Low Probability):
Position 228: 0.9934006277759141
Position 91: 0.9874218336996464
Position 2423: 0.979866843446097
Position 2807: 0.8541242736225966
Position 366: 0.05886133111830208
Position 1218: 0.054288443314246475
Position 1622: 0.014095220341694538
Position 1922: 0.011433339566391962
Position 724: 0.008414320665364393
Position 2448: 0.007006677496544697
Position 383: 0.005358360665459224
Position 1890: 0.005016113639182686
Position 2606: 0.004707129638871406
Position 2462: 0.004078838524885895
Position 235: 0.002695814697880113
Position 2456: 0.0022419116778742885
Position 1064: 0.001648179468154467
Position 1381: 0.0016013306177585895
Position 1430: 0.0015856525944522777
Position 1953: 0.0011458281920842031
Position 2465: 0.0011063020339337499
Position 926: 0.000925437738207801
Position 687: 0.0006909997411090804
Position 1434: 0.0006836717969320119
Position 1046: 0.0006817652440844305
Position 2826: 0.0005796423852056769
Position 465: 0.0005141957327018476
Position 2433: 0.0004878061193484956
Position 2404: 0.00047452207174657565
Position 1599: 0.00038327065609852605
Position 88: 0.0003129524835233222
Position 1133: 0.00028503572806510614
Position 2817: 0.0002830401350321115
Position 1110: 0.00027111231045167576
Position 2427: 0.00024900125108120454
Position 392: 0.0002429882716108593
Position 390: 0.00023629914141589853
Position 210: 0.00023577744617336212
Position 2026: 0.00023033822446428057
Position 1655: 0.00019293919365202732
Position 1168: 0.0001861458206146731
Position 598: 0.00015539909005710389
Position 95: 0.0001535771132357185
Position 2615: 0.00014779321961497569
Position 527: 0.00014683706755046227
Position 232: 0.00014337620368688137
Position 2475: 0.00013025046046084813
Position 454: 0.00011966340827162448
Position 1050: 0.0001178081227663603
Position 2765: 0.00010229097083372922
Position 83: 9.354798776674395e-05
Position 900: 9.09777778578652e-05
