Gene = CCDC151
index = 59
Annotated 5SS: [  70  571 1347 1652 1966]
Annotated 3SS: [ 127  651 1398 1709 2034]
SMsplice 5SS: [  70  571 1347 1652 1966]
SMsplice 3SS: [ 127  651 1398 1709 2034]
Partition function (log Z): 14.125016787672724

Sorted 5' Splice Sites (High to Low Probability):
Position 1652: 0.9986631348718621
Position 1347: 0.9969912223141192
Position 571: 0.9920789718090138
Position 70: 0.989190503074365
Position 1966: 0.8438090629731257
Position 1858: 0.07869479713942372
Position 349: 0.07421025377156916
Position 410: 0.017487544957442445
Position 880: 0.0029074729082319505
Position 1976: 0.002119749527116807
Position 1042: 0.0013087733575599108
Position 608: 0.0006539950145654944
Position 1345: 0.0006446097643667264
Position 841: 0.0006305281304011479
Position 1330: 0.0005637951812470668
Position 527: 0.0005518306683432754
Position 1817: 0.0005129787987293968
Position 328: 0.00032796829509282684
Position 1970: 0.0002876234154665452
Position 1002: 0.00022861899181128687
Position 1189: 0.00019460911714270433
Position 1980: 0.00018240134639675818
Position 575: 0.0001804898315247075
Position 1538: 0.00016903808100030875
Position 961: 0.00016001825294280068
Position 407: 0.0001178181002448594
Position 14: 8.765622034890224e-05
Position 464: 8.253298424971887e-05
Position 1838: 6.766813057335016e-05
Position 1058: 6.421641445396451e-05
Position 353: 6.371603125664732e-05
Position 1881: 6.031947932468651e-05
Position 1143: 3.7236397068079406e-05
Position 726: 3.159263315796841e-05
Position 1547: 3.0862979191697103e-05
Position 198: 1.8257977178954003e-05
Position 776: 1.8096447297427424e-05
Position 1169: 1.7492664802680345e-05
Position 1102: 1.5115106168399545e-05
Position 1501: 1.138735199228176e-05
Position 1052: 9.682027478087974e-06
Position 1493: 8.442406862723335e-06
Position 1351: 8.429218533281096e-06
Position 1320: 8.420492790349707e-06
Position 1589: 7.993421851440452e-06
Position 456: 6.6846905914845875e-06
Position 1989: 6.4952980574111205e-06
Position 1656: 6.439178211091276e-06
Position 1794: 6.15028900523788e-06
Position 1301: 5.532402684356542e-06
Position 2002: 5.09553873765198e-06
Position 1118: 4.497211518254513e-06
Position 655: 3.7049371906174064e-06
Position 444: 3.2976920265257524e-06
Position 1595: 3.2906605558368e-06
Position 779: 3.2776005805532643e-06
Position 268: 2.962638243708073e-06
Position 74: 2.491616840242838e-06
Position 1104: 2.482585188477886e-06
Position 2061: 1.5616137269341482e-06
Position 856: 1.4620961474372929e-06
Position 472: 1.2646485231776214e-06
Position 265: 1.1993473730583956e-06
Position 767: 9.572248746935478e-07
Position 437: 8.608848092232421e-07
