Gene = ND-SGDH
index = 1305
Annotated 5SS: [268 569 747]
Annotated 3SS: [338 639 805]
SMsplice 5SS: [268 569 747]
SMsplice 3SS: [338 639 805]
Partition function (log Z): 4.831232229232749

Sorted 5' Splice Sites (High to Low Probability):
Position 569: 0.991972022707588
Position 747: 0.9867983672386138
Position 268: 0.9867296162935151
Position 559: 0.0017752252056533917
Position 952: 0.0012227541276711425
Position 415: 0.0010301604262724373
Position 449: 0.0010129280221574158
Position 1002: 0.0008602832298636962
Position 294: 0.0006604382302418667
Position 101: 0.0005824771358817482
Position 610: 0.0003183703502551305
Position 109: 0.00018740421398262034
Position 974: 0.00017152110888355696
Position 424: 0.00013474475517702368
Position 90: 0.00010447691403194828
Position 1004: 8.191094503713944e-05
Position 186: 7.794795746992864e-05
Position 990: 7.022533331777423e-05
Position 156: 6.165097090638335e-05
Position 257: 4.293072248315016e-05
Position 887: 2.2606930459001487e-05
Position 190: 1.282077676307548e-05
Position 103: 1.081353776621007e-05
Position 221: 1.0573217925179215e-05
Position 20: 1.0313279644663374e-05
Position 782: 8.533390395679611e-06
Position 116: 5.067153289556365e-06
Position 822: 4.292657895421122e-06
Position 461: 1.4624577393219164e-06
Position 503: 7.433316643231523e-07
Position 199: 3.887057968500319e-07
Position 879: 3.7038998020996957e-07
Position 482: 1.8149817540594337e-07
Position 436: 1.7672765934189286e-07
Position 143: 1.5607214466133724e-07
Position 769: 6.323799635481317e-08
Position 240: 4.9241130404508054e-08
Position 62: 3.125093779869186e-08
Position 985: 3.0591136419288425e-08
Position 470: 2.9731801985760262e-08
Position 836: 2.103052849340877e-08
Position 826: 1.0953627819947666e-08
Position 206: 2.500204700040257e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 805: 0.9980080860949686
Position 639: 0.9766959155925289
Position 338: 0.876543810763459
Position 352: 0.09748997565129888
Position 415: 0.010615725831951084
Position 687: 0.006352139508259898
Position 470: 0.0026265910977365803
Position 517: 0.0014046591889756686
Position 1061: 0.0012435003250400969
Position 179: 0.0007661524501174642
Position 1081: 0.0006760713967344381
Position 360: 0.0006692107230179652
Position 1064: 0.0004002537024353417
Position 400: 0.0001745397281819191
Position 1002: 0.0001079740266403356
Position 143: 8.43222532724745e-05
Position 857: 4.816725249839773e-05
Position 620: 3.711289893941628e-05
Position 82: 1.0233360509347103e-05
Position 815: 9.90568814829742e-06
Position 978: 8.120174588496082e-06
Position 723: 4.983354301332427e-06
Position 424: 1.3998769122635169e-06
Position 221: 1.1475235436780607e-06
Position 895: 8.338941462341676e-07
Position 196: 4.298352787511978e-07
Position 249: 4.160984246146712e-07
Position 606: 3.6193293847937536e-07
Position 887: 2.968731548438851e-07
Position 160: 2.660713175821666e-07
Position 769: 2.658188130910602e-07
Position 741: 2.5925734664980806e-07
Position 368: 2.0281059740322455e-07
Position 430: 1.9868054597625433e-07
Position 229: 1.7974823536787558e-07
Position 726: 1.163374191500305e-07
Position 822: 7.030437454889919e-08
Position 736: 5.843075066816022e-08
Position 535: 4.715009043867329e-08
Position 944: 3.85153434864567e-08
Position 833: 3.714166170799493e-08
Position 842: 2.96288443929958e-08
Position 550: 2.14081599711645e-08
Position 101: 1.3317032303561376e-08
Position 587: 1.099629207679511e-08
Position 559: 9.838812769279448e-09
Position 565: 8.815032158435895e-09
Position 526: 7.455649110170429e-09
Position 699: 5.9232903583227086e-09
Position 568: 4.233363262654292e-09
Position 906: 2.023029327740062e-09
Position 544: 6.050894937582185e-10
Position 908: 4.449475179192711e-10
Position 251: 2.1614244871062402e-10
Position 926: 1.886079628826863e-11
Position 939: 1.132387269262506e-11
Position 920: 3.107288175493189e-12
Position 272: 1.0269230091638167e-16
