Gene = Prp3
index = 1389
Annotated 5SS: [1220]
Annotated 3SS: [1273]
SMsplice 5SS: [1220]
SMsplice 3SS: [1273]
Partition function (log Z): -6.515089329455953

Sorted 5' Splice Sites (High to Low Probability):
Position 1220: 0.744044481384263
Position 1151: 0.2559313067493751
Position 1135: 0.030203635737712363
Position 133: 0.025780380003612387
Position 329: 0.02140187789167127
Position 75: 0.0033422900469170353
Position 437: 0.001644758010521291
Position 745: 0.001609275957555301
Position 468: 0.001486538529709498
Position 895: 0.001234640293353127
Position 725: 0.0011197886250644779
Position 815: 0.0006984545185023399
Position 1098: 0.0006224735369966385
Position 35: 0.00047582264269441736
Position 809: 0.0004597624224741473
Position 824: 0.000304555617774177
Position 80: 0.0002616834853470754
Position 1391: 0.00025569961799407515
Position 129: 0.0001577721951788198
Position 257: 0.00015505987213797345
Position 1751: 0.0001438407723986292
Position 790: 0.00014254370431231086
Position 861: 0.00013754675020770341
Position 936: 9.996818666043528e-05
Position 1880: 9.357381964806427e-05
Position 2025: 9.16993937385926e-05
Position 1940: 9.018684311106419e-05
Position 326: 7.061828250754719e-05
Position 37: 6.402051235911839e-05
Position 1908: 6.296561495914462e-05
Position 346: 5.361950758678067e-05
Position 1672: 5.350453079612906e-05
Position 73: 3.8692217792301305e-05
Position 263: 3.6240199832313334e-05
Position 631: 3.314133415230123e-05
Position 260: 2.985344628415627e-05
Position 1396: 2.6506481664419087e-05
Position 611: 2.1971089621243234e-05
Position 10: 1.6551181646175885e-05
Position 1612: 1.4227032326626957e-05
Position 119: 1.3483192761389474e-05
Position 2096: 1.3361039937088712e-05
Position 1095: 1.3077863825235352e-05
Position 1489: 1.0684685618351165e-05
Position 1803: 1.0413579844275891e-05
Position 567: 9.850318674925775e-06
Position 709: 9.71163025324842e-06
Position 1711: 9.016299719946048e-06
Position 1610: 7.463077412629475e-06
Position 1858: 7.036695678103728e-06
Position 1439: 6.670617776304725e-06
Position 368: 4.807789966962839e-06
Position 1618: 4.570750830958075e-06
Position 1773: 4.567367937120988e-06
Position 1293: 4.3807771642461895e-06
Position 1624: 4.157650143781449e-06
Position 1108: 3.999655442585317e-06
Position 27: 3.96121884548488e-06
Position 1224: 2.9147159294961588e-06
Position 352: 2.8956444621142715e-06
Position 1441: 2.0571320992134454e-06
Position 1735: 1.984713870424216e-06
Position 1843: 1.8452352904962809e-06
Position 1963: 1.748036320770779e-06
Position 472: 1.7082574639596798e-06
Position 154: 1.5067089539873004e-06
Position 1738: 1.3873127925385188e-06
Position 1081: 1.3384402598290674e-06
Position 1714: 1.3132096340597266e-06
Position 1029: 6.884343301498231e-07
Position 1864: 6.87199482676501e-07
Position 1716: 6.051378719791594e-07
Position 222: 5.688269055494104e-07
Position 1349: 5.223065852575423e-07
Position 912: 5.16659364865958e-07
Position 2065: 5.124387257230196e-07
Position 792: 4.558081581837111e-07
Position 1733: 4.508689736411525e-07
Position 1459: 4.3086668944791293e-07
Position 1744: 3.3539977983892853e-07
Position 2134: 2.1504269266823596e-07
Position 1999: 1.6919004096216816e-07
Position 493: 1.5620409481332375e-07
Position 1291: 1.5314466672008824e-07
Position 183: 1.4102546861024919e-07
Position 1719: 1.3704393831963943e-07
Position 304: 1.0446520603672528e-07
Position 2108: 9.326332468887353e-08
Position 180: 6.211959854500964e-08
Position 1303: 8.004098138445638e-09
Position 1741: 6.981087031157918e-09
Position 1241: 4.09904468511567e-09
Position 1944: 2.5139094658495865e-09
Position 1337: 1.9634330662412697e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1273: 0.9919307751667696
Position 1192: 0.027677859546733508
Position 1065: 0.014452568510975258
Position 378: 0.012660453404646162
Position 1009: 0.010101101275078997
Position 201: 0.008094584074034896
Position 1212: 0.006984327893623277
Position 154: 0.0040015258733251385
Position 1317: 0.0036453867283312382
Position 247: 0.0018512522171560937
Position 231: 0.001496194774186391
Position 1062: 0.0013041575092070986
Position 1344: 0.0011650533627277923
Position 1291: 0.0008345848508917116
Position 880: 0.0007442673008898577
Position 493: 0.0006066909493710657
Position 1953: 0.00044035338484420576
Position 621: 0.0003917763553934652
Position 1485: 0.000386011109106838
Position 502: 0.0003746002776681718
Position 2149: 0.0003432083831747963
Position 780: 0.00026307848455093695
Position 1956: 0.00024152229715998592
Position 405: 0.00022740279401893445
Position 611: 0.00021721620892831427
Position 945: 0.00019244953218234252
Position 384: 0.00016464673527497438
Position 1174: 0.00013725206344307271
Position 899: 0.00013002324965877718
Position 1455: 0.00012958719878094913
Position 846: 9.361963733627551e-05
Position 975: 9.352727001162746e-05
Position 315: 8.837506818329336e-05
Position 1321: 8.47926173145447e-05
Position 1122: 8.381024577885595e-05
Position 216: 6.578720987398532e-05
Position 1803: 6.497996596498808e-05
Position 1235: 5.924246374319931e-05
Position 634: 5.4140977607220714e-05
Position 257: 5.254315397689389e-05
Position 971: 4.609663309615605e-05
Position 763: 4.5554623134578914e-05
Position 579: 4.193528989500381e-05
Position 525: 4.1341841082092485e-05
Position 2089: 4.057004309458439e-05
Position 1647: 4.056624465896594e-05
Position 1250: 4.024084690963194e-05
Position 1809: 3.4573625139591225e-05
Position 1500: 3.2826717351520376e-05
Position 511: 2.8342941672580967e-05
Position 2108: 2.7931687075863774e-05
Position 108: 2.5952455277651633e-05
Position 649: 2.266878166878505e-05
Position 942: 1.8432383917291752e-05
Position 573: 1.5122947962577588e-05
Position 789: 1.4274664579540543e-05
Position 1698: 1.3210552899787793e-05
Position 2189: 1.2858787430328911e-05
Position 1408: 1.2825366403515196e-05
Position 888: 1.238892521047808e-05
Position 666: 1.1740879349440626e-05
Position 1962: 1.0569217282893519e-05
Position 1692: 1.0047902187383315e-05
Position 936: 9.150148779062482e-06
Position 1131: 7.814186237906942e-06
Position 2116: 7.430931249372398e-06
Position 1332: 7.095337293897896e-06
Position 1220: 6.751127572025291e-06
Position 700: 6.632237077383495e-06
Position 1548: 6.5325482446188785e-06
Position 129: 5.323359157173045e-06
Position 1671: 5.228017217656398e-06
Position 522: 5.203983950593216e-06
Position 280: 5.05684778586777e-06
Position 1872: 4.8503368564630295e-06
Position 917: 4.788981832274977e-06
Position 1482: 4.534808346574672e-06
Position 2065: 3.6977108172756427e-06
Position 288: 3.6615862597749263e-06
Position 1761: 3.452467801521831e-06
Position 2096: 3.0650759785885744e-06
Position 661: 2.9901869100292785e-06
Position 446: 2.941733071887003e-06
Position 990: 2.85754752806345e-06
Position 2054: 2.822848133873313e-06
Position 1194: 2.39850445482508e-06
Position 1465: 2.1889722727377673e-06
Position 1781: 2.1309813225225344e-06
Position 1108: 2.031644103163946e-06
Position 537: 1.9597473029748565e-06
Position 1622: 1.8261464445845424e-06
Position 2007: 1.520527069800364e-06
Position 1880: 1.358117793612264e-06
Position 368: 1.2515375649605221e-06
Position 453: 1.0743672779569558e-06
Position 906: 1.0434061043407367e-06
Position 1908: 1.0280557864785648e-06
Position 2045: 1.0228353084369597e-06
Position 417: 1.0074725417852837e-06
Position 336: 9.113206368238595e-07
Position 1839: 8.251398044029722e-07
Position 549: 7.899800972495021e-07
Position 1556: 7.844798543035301e-07
Position 1764: 7.030893259376173e-07
Position 850: 6.977259213513536e-07
Position 1709: 6.790671101871219e-07
Position 1581: 5.998634427264388e-07
Position 1656: 5.667876797405657e-07
Position 1224: 5.255442637041875e-07
Position 411: 5.21271097902214e-07
Position 1518: 5.174478091015047e-07
Position 1374: 5.104874567169747e-07
Position 1767: 4.974112890494422e-07
Position 1689: 4.7649509811218704e-07
Position 1231: 4.729799781388226e-07
Position 2168: 4.395951529891918e-07
Position 1365: 4.113151426430703e-07
Position 472: 3.4420470577681973e-07
Position 1749: 3.435690518888767e-07
Position 546: 3.32558153287605e-07
Position 1604: 3.170535077462646e-07
Position 1515: 2.637103298322726e-07
Position 1944: 2.40501050244717e-07
Position 853: 2.3404106943618788e-07
Position 2022: 1.9648422133168803e-07
Position 1563: 1.778084753349213e-07
Position 1377: 1.432864963560656e-07
Position 1323: 1.3717499842131522e-07
Position 426: 1.2693059415923788e-07
Position 1773: 1.264062353363871e-07
Position 981: 1.2498799410787072e-07
Position 269: 1.23586311487222e-07
Position 996: 1.1935604948597625e-07
Position 1138: 1.1876990349290408e-07
Position 2025: 1.1835295854704333e-07
Position 1914: 1.1400838399256242e-07
Position 717: 1.1017592302795573e-07
Position 1996: 1.0454782569191426e-07
Position 1155: 9.39390671904357e-08
Position 1095: 6.97859864978924e-08
Position 343: 6.955133708023937e-08
Position 1160: 6.83975617418589e-08
Position 1368: 6.045494184414366e-08
Position 114: 5.5494461392041846e-08
Position 861: 5.350221491433582e-08
Position 908: 4.839104448986419e-08
Position 1578: 4.688602686618055e-08
Position 1371: 4.458472937122591e-08
Position 126: 4.3963883419839095e-08
Position 2028: 4.3590088782671225e-08
Position 1148: 4.141721837528985e-08
Position 60: 3.7275683299384064e-08
Position 1509: 3.6940873510684445e-08
Position 927: 2.9114364032346215e-08
Position 1662: 2.489524501848983e-08
Position 1812: 2.4525142044909113e-08
Position 333: 2.3464342234498108e-08
Position 1566: 1.9391907678627848e-08
Position 558: 1.840889021026616e-08
Position 1587: 1.7767452896282366e-08
Position 824: 1.7331409627132592e-08
Position 1824: 1.2982935951379244e-08
Position 584: 1.2206655463475899e-08
Position 1278: 9.422609553561102e-09
