Gene = BORCS6
index = 44
Annotated 5SS: [  90  578 1109]
Annotated 3SS: [ 150  633 1165]
SMsplice 5SS: [  90  578 1109]
SMsplice 3SS: [ 150  633 1165]
Partition function (log Z): -2.8816524324789965

Sorted 5' Splice Sites (High to Low Probability):
Position 578: 0.8451965224824148
Position 1109: 0.7819925248707927
Position 90: 0.45516687424638824
Position 16: 0.391200325150432
Position 100: 0.1165136087437045
Position 1113: 0.022899139674353915
Position 582: 0.004455368229680447
Position 21: 0.00366529823388715
Position 589: 0.0032429549449142143
Position 1099: 0.0030183982894009974
Position 1208: 0.0018041243425363257
Position 349: 0.0007089141181540755
Position 72: 0.0004278101376284309
Position 536: 0.00031581987350094227
Position 336: 0.00022958256756997204
Position 361: 0.00011343487808049652
Position 233: 7.960183908405313e-05
Position 1031: 4.943221494048618e-05
Position 1117: 4.939925031991391e-05
Position 278: 4.8214391998439625e-05
Position 1073: 3.117730459969082e-05
Position 1231: 3.017504185930843e-05
Position 805: 2.9584510578182798e-05
Position 1037: 1.236382697922187e-05
Position 821: 8.85443647308704e-06
Position 713: 8.203523898067423e-06
Position 324: 8.010938315692876e-06
Position 778: 7.6162464184358294e-06
Position 978: 7.40523015090361e-06
Position 972: 6.0608241765358806e-06
Position 251: 5.2817600250409e-06
Position 906: 4.072881701078782e-06
Position 993: 3.2770414954143846e-06
Position 111: 2.5801092945728837e-06
Position 117: 1.931349827625168e-06
Position 890: 1.7934689741714445e-06
Position 1193: 1.626503450273925e-06
Position 1143: 1.0966842911601283e-06
Position 849: 7.596801281711319e-07
Position 161: 5.406527088258292e-07
Position 861: 4.003488742774105e-07
Position 227: 3.2671961101751444e-07
Position 1185: 2.7616507611636395e-07
Position 150: 1.630327953723148e-07
Position 830: 1.5470882034797704e-07
Position 726: 1.453012198231318e-07
Position 603: 1.2624748797339798e-07
Position 664: 1.153442374665997e-07
Position 238: 7.39066607554269e-08
Position 183: 4.7560390920842587e-08
Position 192: 5.0686765012892495e-09
Position 1141: 4.426013717507297e-09
Position 690: 1.5849384195898095e-09
Position 636: 9.113171759120983e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 633: 0.8622589310326447
Position 150: 0.8540144269414348
Position 1165: 0.6243127464669507
Position 1168: 0.18349950785093794
Position 128: 0.07087011039981594
Position 161: 0.026359128797755784
Position 178: 0.0024313614760610104
Position 207: 0.0019291338481483866
Position 1265: 0.0016847959057484402
Position 69: 0.001346418625091038
Position 183: 0.0007264295294313551
Position 1290: 0.0004449332744549501
Position 336: 0.00032048647548515476
Position 180: 0.0002881240971012068
Position 100: 0.00016313395963580968
Position 385: 0.00016215946140594903
Position 413: 0.0001351063823108136
Position 603: 9.872392146550315e-05
Position 1172: 6.74569358187791e-05
Position 1089: 5.517294964708782e-05
Position 188: 5.3726761572138225e-05
Position 705: 2.0692302167564175e-05
Position 271: 1.8406979238708373e-05
Position 1216: 1.556427793485437e-05
Position 849: 1.0141367365854522e-05
Position 890: 8.669480709795884e-06
Position 859: 8.65353176225872e-06
Position 664: 8.479693552117338e-06
Position 830: 7.83594805286865e-06
Position 1248: 5.340564849669336e-06
Position 1201: 4.124849079777662e-06
Position 420: 3.3609816289342946e-06
Position 1031: 2.5442504353593887e-06
Position 1037: 1.8396148489673567e-06
Position 1094: 1.529074275303892e-06
Position 1131: 1.0750481931131351e-06
Position 1141: 1.014011053526254e-06
Position 521: 1.0047942021936332e-06
Position 531: 8.445772025428808e-07
Position 1178: 8.421589711015961e-07
Position 884: 8.251496319360405e-07
Position 616: 7.988888592992212e-07
Position 647: 6.375000489426344e-07
Position 1055: 6.36507459578265e-07
Position 1001: 6.247312249798698e-07
Position 536: 5.951298346846631e-07
Position 901: 4.65103106458195e-07
Position 355: 4.388878813820756e-07
Position 369: 3.525146630661089e-07
Position 1127: 3.5066487413369297e-07
Position 501: 2.4771644165339026e-07
Position 560: 2.180075035028028e-07
Position 425: 2.0026027008688993e-07
Position 481: 1.6531164142961475e-07
Position 713: 1.6316098289851418e-07
Position 554: 1.521983501714594e-07
Position 752: 1.21950775676912e-07
Position 588: 1.0963738207247174e-07
Position 265: 9.09995155009825e-08
Position 275: 6.298576958279689e-08
Position 1091: 4.992332819725199e-08
Position 246: 4.5194677111210524e-08
Position 357: 4.50084022112829e-08
Position 495: 4.206373988078121e-08
Position 707: 3.9517182899834295e-08
Position 465: 3.25901115834219e-08
Position 977: 2.157987412896895e-08
Position 346: 1.9324342519544623e-08
Position 249: 1.4051205294298893e-08
Position 769: 1.2410288756747304e-08
Position 1073: 9.732756221840497e-09
Position 278: 7.637747364798964e-09
Position 1250: 7.555260500686897e-09
Position 789: 6.004377972812014e-09
Position 571: 5.328565017083656e-09
Position 498: 2.8012020241045257e-09
Position 509: 1.6459095660400504e-09
Position 578: 1.2658954314942117e-09
Position 567: 8.987544380519116e-10
Position 1103: 6.461960840749351e-10
Position 292: 3.861704075394711e-10
Position 1113: 1.4192721866247004e-10
Position 722: 1.213276532614943e-10
Position 438: 5.642796238450096e-11
Position 868: 1.2210932820575402e-11
Position 251: 1.0847952012803207e-11
Position 477: 5.432378548684665e-12
Position 1061: 1.5159805233564199e-12
Position 573: 6.814634041353699e-13
Position 575: 2.2738216163443483e-13
