Gene = tra
index = 1916
Annotated 5SS: [ 47 699]
Annotated 3SS: [294 755]
SMsplice 5SS: [ 47 699]
SMsplice 3SS: [119 755]
Partition function (log Z): -4.727871636372564

Sorted 5' Splice Sites (High to Low Probability):
Position 699: 0.9431549912824383
Position 47: 0.5939063594393363
Position 61: 0.12177998012544025
Position 405: 0.02346203798498742
Position 638: 0.0133859727767854
Position 256: 0.009468911733074669
Position 422: 0.0030560238108551675
Position 703: 0.002268849657682983
Position 678: 0.001853214075714659
Position 228: 0.0014393533450162497
Position 219: 0.0010171307343193258
Position 706: 0.000956628143527605
Position 311: 0.0008174283798346034
Position 672: 0.0004183683609372421
Position 713: 0.00015593764158710767
Position 766: 8.331190455265553e-05
Position 604: 1.8832055574986784e-05
Position 389: 1.1484774156463742e-05
Position 104: 1.1300180325767773e-05
Position 29: 7.506025117866202e-06
Position 595: 7.442953016116951e-06
Position 565: 6.734768248982566e-06
Position 138: 4.120046463707874e-06
Position 91: 2.3580794766790096e-06
Position 129: 1.985073731959823e-06
Position 556: 1.6166662874137628e-06
Position 778: 1.3761454370902111e-06
Position 488: 1.352046364757012e-06
Position 107: 1.1022282980054366e-06
Position 619: 1.0182972780730838e-06
Position 301: 6.13893972130729e-07
Position 121: 3.447686802528983e-07
Position 131: 3.0121027766199493e-07
Position 491: 2.0537218162503537e-07
Position 580: 1.4796681938320548e-07
Position 119: 4.8087656185651434e-08
Position 812: 2.4225039261211074e-08
Position 761: 2.316923727589658e-08
Position 802: 6.80039180118064e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 755: 0.9606621738292985
Position 119: 0.6733921800461647
Position 475: 0.022424813570877996
Position 399: 0.02230276229463677
Position 294: 0.018457998970414616
Position 773: 0.0042330904929832915
Position 460: 0.0038222566275664636
Position 310: 0.0035554492292735936
Position 793: 0.0023631235885687198
Position 171: 0.0021115822799499867
Position 481: 0.001276005974190891
Position 778: 0.0008660486819885816
Position 832: 0.00038419271243057905
Position 556: 0.0002560804405907549
Position 589: 0.00020650662610470326
Position 499: 0.00017812096258509403
Position 333: 0.00015703157667482524
Position 260: 0.00010751885411476886
Position 656: 8.388531886302516e-05
Position 562: 6.654193349938536e-05
Position 565: 6.470529109270411e-05
Position 352: 4.60649828375424e-05
Position 514: 4.549952663533652e-05
Position 604: 3.7749144844333326e-05
Position 535: 2.455333795655093e-05
Position 91: 2.2943965406426967e-05
Position 442: 2.152854625024491e-05
Position 689: 2.1152416303490192e-05
Position 538: 1.7155815796412107e-05
Position 367: 1.6502352637759876e-05
Position 508: 1.026498640670389e-05
Position 198: 9.157004504558389e-06
Position 488: 8.743946920762675e-06
Position 175: 7.156227997224921e-06
Position 364: 5.827728192628101e-06
Position 430: 5.308230414367224e-06
Position 331: 4.40626677034711e-06
Position 527: 4.063524964303359e-06
Position 416: 3.275403837902173e-06
Position 517: 3.1054658249437555e-06
Position 601: 2.660291600147351e-06
Position 595: 2.4594633816626537e-06
Position 880: 1.695828096416959e-06
Position 842: 1.5170162610941658e-06
Position 177: 1.5002310094584597e-06
Position 356: 1.3276569473026027e-06
Position 151: 1.2528119675192109e-06
Position 411: 1.188726238559682e-06
Position 186: 1.1871873699176163e-06
Position 703: 1.0899337827404115e-06
Position 706: 9.13499254056754e-07
Position 383: 5.491733950734557e-07
Position 183: 2.4606165009210453e-07
Position 678: 7.711821625748043e-08
Position 613: 6.614214464075662e-08
Position 404: 6.270868893721835e-08
Position 327: 3.247195823199884e-08
Position 190: 2.503581998575449e-08
Position 377: 1.665986787192716e-08
Position 374: 1.3693304399908168e-08
Position 79: 1.1171922198279376e-08
Position 181: 1.0069185365166055e-08
Position 628: 2.758816955374787e-09
Position 371: 1.1374980747173973e-09
Position 503: 1.0326659264357842e-09
Position 501: 7.714381033060309e-10
Position 861: 7.570764423698504e-10
Position 505: 2.7282532366049596e-10
Position 358: 1.1250642938798507e-10
Position 444: 9.194415627320065e-11
Position 427: 4.656483663790555e-11
