Gene = smt3
index = 1882
Annotated 5SS: [137]
Annotated 3SS: [258]
SMsplice 5SS: [137]
SMsplice 3SS: [258]
Partition function (log Z): -8.56093339759337

Sorted 5' Splice Sites (High to Low Probability):
Position 137: 0.8279216730893392
Position 28: 0.12261493676486548
Position 631: 0.04397968384257344
Position 584: 0.028497405779553803
Position 366: 0.022188512529748065
Position 178: 0.009124231342555467
Position 771: 0.006309692288096998
Position 779: 0.0033799319440421336
Position 603: 0.0027357609075437167
Position 626: 0.002450103041978833
Position 497: 0.0007931161879027474
Position 392: 0.0005347090995914082
Position 635: 0.000486706812455103
Position 500: 0.00039050042854403674
Position 253: 0.00031280960873288077
Position 183: 0.00029845835057527224
Position 198: 0.00020692704569123037
Position 203: 0.00014412498937723149
Position 164: 7.740972211555533e-05
Position 19: 7.275784779798635e-05
Position 200: 6.691894815841533e-05
Position 88: 6.35114843443297e-05
Position 421: 5.8007996753025924e-05
Position 190: 4.592348854348521e-05
Position 56: 2.114847500551887e-05
Position 477: 1.662265656311207e-05
Position 800: 1.3609636539987354e-05
Position 219: 1.315254150685238e-05
Position 413: 1.0859850505257907e-05
Position 54: 9.736484536402012e-06
Position 416: 7.720015844267586e-06
Position 32: 6.570812215082167e-06
Position 8: 2.3485598274881674e-06
Position 62: 2.0014104294749712e-06
Position 243: 1.9004483798931021e-06
Position 510: 1.7621495585193502e-06
Position 346: 1.7488246755995864e-06
Position 43: 1.0774660002289811e-06
Position 804: 1.020606734323142e-06
Position 794: 8.642116272320849e-07
Position 798: 1.5942972001880176e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 258: 0.5046716188651231
Position 317: 0.1485153821539032
Position 826: 0.13449829394677523
Position 314: 0.09901315643597207
Position 496: 0.07009077134057254
Position 190: 0.042878887556442896
Position 523: 0.012393126863478347
Position 699: 0.011183978795446541
Position 358: 0.009244278880217286
Position 391: 0.007494781601690498
Position 361: 0.007349668470076459
Position 771: 0.0063222434346545614
Position 111: 0.004799134668060822
Position 672: 0.003813446138287201
Position 403: 0.002311989925362537
Position 427: 0.0021196107891709648
Position 685: 0.0015496223768907526
Position 421: 0.0010897156107594127
Position 164: 0.0009356169400590812
Position 741: 0.0006803833473165224
Position 287: 0.0006133446087667657
Position 782: 0.0005017699388511443
Position 136: 0.00017558066376324047
Position 450: 0.00016937319542419447
Position 847: 0.00011122428273107186
Position 726: 9.286082339649048e-05
Position 365: 6.843337379780785e-05
Position 115: 3.137678087274557e-05
Position 327: 2.6890380724852817e-05
Position 635: 2.6697956011580726e-05
Position 433: 1.98394909786991e-05
Position 436: 1.2554467569511167e-05
Position 376: 1.175093969922458e-05
Position 595: 1.0683349149900805e-05
Position 454: 8.161722346459928e-06
Position 559: 4.872228594816207e-06
Position 592: 4.345586642343196e-06
Position 71: 4.0349372389628654e-06
Position 831: 3.3107798412532787e-06
Position 535: 2.606466528501044e-06
Position 626: 2.5233730659191623e-06
Position 749: 2.495944640449001e-06
Position 631: 2.114919421725652e-06
Position 81: 9.053784701747304e-07
Position 598: 6.95689136790022e-07
Position 617: 6.244215468285687e-07
Position 77: 4.3469700494856227e-07
Position 59: 3.6452487515972854e-07
Position 128: 1.9442072348521186e-07
Position 565: 1.5184714898434038e-07
Position 65: 8.289828701301997e-08
Position 68: 6.161354294094482e-08
Position 370: 3.568408291188271e-08
Position 583: 1.1589898840010492e-08
Position 568: 5.511992127413095e-12
