Gene = Charon
index = 1069
Annotated 5SS: [ 783 1092 1776]
Annotated 3SS: [ 891 1161 1848]
SMsplice 5SS: [ 783 1092 1776]
SMsplice 3SS: [ 891 1161 1848]
Partition function (log Z): 2.8731909310339256

Sorted 5' Splice Sites (High to Low Probability):
Position 1092: 0.9876722834796896
Position 783: 0.9773138653448576
Position 1776: 0.9744701952246869
Position 1989: 0.30385156199617225
Position 1394: 0.01679786267788327
Position 463: 0.010800928819247236
Position 826: 0.007371885799920539
Position 793: 0.005241560619918103
Position 806: 0.004400035944879626
Position 1780: 0.004133872353935863
Position 195: 0.0033460590435024076
Position 472: 0.0015674125765939159
Position 172: 0.0012102782467708461
Position 787: 0.0010798456507532081
Position 56: 0.0010538783938940032
Position 444: 0.0006551082296903049
Position 238: 0.0005020448047383822
Position 143: 0.0004635097724820333
Position 1479: 0.00041467075191561366
Position 405: 0.00039067628499491765
Position 1096: 0.00036191272837079433
Position 1319: 0.000344701436028565
Position 1968: 0.00032206668370941523
Position 809: 0.00028484384069578096
Position 833: 0.0002775756379759958
Position 627: 0.00018001480075880585
Position 1794: 0.0001779723299924989
Position 812: 0.00015287615579835634
Position 1636: 0.000150052588817446
Position 267: 0.00012937658417467917
Position 255: 0.0001239883226291217
Position 74: 0.00010210311240899129
Position 604: 9.549983844519343e-05
Position 1209: 8.304686379964305e-05
Position 492: 6.019219902969991e-05
Position 750: 5.706599380191414e-05
Position 51: 3.954424945926647e-05
Position 18: 3.775638465974066e-05
Position 1502: 3.567400648346975e-05
Position 1487: 3.444514445428379e-05
Position 241: 2.778655399595393e-05
Position 1977: 2.4846404375463662e-05
Position 332: 2.3634780893660005e-05
Position 282: 2.206566575974524e-05
Position 1417: 2.00514334000706e-05
Position 1074: 1.8409676854408004e-05
Position 476: 1.8300679644887157e-05
Position 658: 1.7434085564443378e-05
Position 1455: 1.5682656753123856e-05
Position 8: 1.406279513305086e-05
Position 44: 1.1538252662463131e-05
Position 165: 1.009427232591145e-05
Position 687: 9.70669967954439e-06
Position 1129: 9.206694289514562e-06
Position 103: 8.893570732655454e-06
Position 1786: 7.834326508285505e-06
Position 307: 7.405162750598878e-06
Position 1062: 5.468491250544678e-06
Position 598: 5.449351355768076e-06
Position 1925: 5.010934600733739e-06
Position 24: 4.828311012781169e-06
Position 642: 4.453567074433641e-06
Position 483: 3.872884962247615e-06
Position 1802: 3.4825836061703827e-06
Position 249: 3.4418240822837325e-06
Position 271: 3.368530841563187e-06
Position 88: 3.244916685542631e-06
Position 345: 2.882771982071629e-06
Position 53: 2.615327616145451e-06
Position 1612: 2.2871131732258786e-06
Position 1220: 2.232478735813162e-06
Position 994: 1.9660850410440097e-06
Position 1432: 1.9045251394465672e-06
Position 1202: 1.8147127428477038e-06
Position 937: 1.7208405157487314e-06
Position 1545: 1.3661101491646746e-06
Position 231: 1.230660705377647e-06
Position 228: 1.1510814397747353e-06
Position 1576: 7.262177446005858e-07
Position 1516: 6.605382104094582e-07
Position 1193: 6.588063164283757e-07
Position 1949: 5.375550265064262e-07
Position 1222: 4.6257416824155624e-07
Position 1678: 4.148957175026161e-07
Position 1647: 4.040861691336523e-07
Position 1574: 3.5078689820106074e-07
Position 1760: 2.640168293627271e-07
Position 6: 2.633156410458637e-07
Position 1805: 1.9720205293178029e-07
Position 1523: 1.4678345569315698e-07
Position 777: 1.2346690942627067e-07
Position 690: 9.503057720200516e-08
Position 1526: 8.948043330792468e-08
Position 1692: 8.946161737020763e-08
Position 984: 4.391800001100722e-08
Position 969: 2.3246076131543905e-08
Position 957: 1.9898797876098254e-08
Position 1709: 1.3487562015713724e-08
Position 1814: 6.4981579961245815e-09
Position 678: 4.4150154290445465e-09
Position 1843: 1.1241229394055025e-09
Position 1856: 9.511929564873193e-10
Position 1832: 8.603471630766862e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1848: 0.9764193475312041
Position 891: 0.9604785719476786
Position 1161: 0.9490381516057181
Position 2043: 0.30500786082091236
Position 918: 0.03803820553456826
Position 1455: 0.010526530949304733
Position 1550: 0.007607274579025339
Position 1545: 0.006823675514601379
Position 686: 0.006776665818587163
Position 1440: 0.0065014019567225
Position 1263: 0.006177176255527234
Position 1502: 0.004933149793083106
Position 1207: 0.003685442601987461
Position 1832: 0.003090247123850189
Position 630: 0.002519390252508949
Position 1487: 0.0020910688558367675
Position 1415: 0.0018737321528877902
Position 267: 0.001652986160702985
Position 1213: 0.0015726466066504161
Position 1581: 0.0015154037449910123
Position 573: 0.0014004174026023917
Position 124: 0.0009778152098123714
Position 1516: 0.0007500853483665439
Position 653: 0.0007397124248397868
Position 297: 0.0005364902675389168
Position 627: 0.0005148084545722965
Position 895: 0.0005060513697838427
Position 1584: 0.000488930773408738
Position 527: 0.0004297585539258759
Position 384: 0.0003906066182110883
Position 1702: 0.0003112649864832085
Position 661: 0.0002888894337315559
Position 228: 0.0002707443879102126
Position 326: 0.00023341803221756232
Position 1379: 0.0002292247606311973
Position 146: 0.00019800325459950997
Position 403: 0.00017970960304963154
Position 307: 0.00016535647024572202
Position 567: 0.00015348897373739984
Position 1425: 0.00014514777658277236
Position 1624: 0.00010577438421071936
Position 238: 9.376895942544995e-05
Position 492: 6.36015279298817e-05
Position 1824: 5.179856598558932e-05
Position 642: 4.777912078033463e-05
Position 215: 4.593221113257518e-05
Position 984: 4.5429322748834773e-05
Position 1174: 4.387592115798796e-05
Position 443: 3.695081020307233e-05
Position 598: 3.615719129161765e-05
Position 665: 3.29270452317139e-05
Position 241: 3.216271534858753e-05
Position 210: 3.1788815750778424e-05
Position 1636: 2.918572860075933e-05
Position 1687: 2.6131103345959822e-05
Position 2019: 2.267686358914296e-05
Position 580: 1.4614798851867705e-05
Position 1010: 1.2114514440772052e-05
Position 702: 1.1890581650969327e-05
Position 341: 9.594404602932806e-06
Position 1058: 8.443692958386683e-06
Position 1895: 8.371675351958524e-06
Position 1107: 8.211971340726414e-06
Position 1561: 8.193876794515592e-06
Position 1898: 7.213460808785191e-06
Position 390: 6.218134819534861e-06
Position 1594: 6.0936216291298205e-06
