Gene = RpIIIC53
index = 1432
Annotated 5SS: [415 854 995]
Annotated 3SS: [ 473  925 1046]
SMsplice 5SS: [415 854 995]
SMsplice 3SS: [ 473  925 1046]
Partition function (log Z): -0.21372708828194847

Sorted 5' Splice Sites (High to Low Probability):
Position 415: 0.9569643023636152
Position 854: 0.9192842612754772
Position 995: 0.8702620069791916
Position 1372: 0.025812285031007402
Position 1152: 0.018885123778822007
Position 261: 0.018867890534816602
Position 374: 0.013245289439625895
Position 563: 0.010607324080199277
Position 240: 0.00818137375002654
Position 1629: 0.003539617586905133
Position 1645: 0.003331401082207262
Position 342: 0.00226136081149324
Position 419: 0.0019028979139570055
Position 32: 0.001233774598444353
Position 1388: 0.0009023969681974468
Position 398: 0.000708970956233615
Position 1637: 0.000563933164112354
Position 29: 0.0005431549437128156
Position 1126: 0.0004212896426351192
Position 858: 0.0003229662092027772
Position 1488: 0.0003185479240818004
Position 554: 0.00029253004564134443
Position 686: 0.0002644151960173866
Position 17: 0.0002019812070763559
Position 1328: 0.00016059754266010374
Position 1383: 0.00014221310246358677
Position 156: 0.00010575026889419449
Position 1131: 9.074743630671008e-05
Position 643: 7.58576361736604e-05
Position 3: 7.324397124351475e-05
Position 34: 6.164504812360902e-05
Position 557: 4.3838012475797965e-05
Position 524: 3.8214404584581234e-05
Position 651: 3.485777193536581e-05
Position 276: 3.4800802759963516e-05
Position 1462: 3.265588710186441e-05
Position 1272: 2.6061955206713687e-05
Position 1466: 2.5010509604869123e-05
Position 270: 1.1130571767335762e-05
Position 422: 1.0868543624532193e-05
Position 696: 9.728651691938213e-06
Position 19: 9.33519675549723e-06
Position 1431: 8.578768838805651e-06
Position 1215: 7.924847135901589e-06
Position 244: 7.837243940651399e-06
Position 231: 7.72434670800853e-06
Position 974: 7.666353907879428e-06
Position 1609: 6.047723747121411e-06
Position 265: 5.506033074672928e-06
Position 1217: 4.4444778914722665e-06
Position 1104: 3.905870360809216e-06
Position 694: 3.262096924014356e-06
Position 1326: 3.0723800408431595e-06
Position 771: 3.0057337747815376e-06
Position 715: 2.9348022085212245e-06
Position 637: 2.4710767584789227e-06
Position 1246: 1.825333378596515e-06
Position 1290: 1.7891886177462808e-06
Position 1205: 1.5696928753907376e-06
Position 142: 1.257704969854951e-06
