Gene = AstCC
index = 32
Annotated 5SS: [ 419 1063 1210]
Annotated 3SS: [ 881 1123 1283]
SMsplice 5SS: [ 419 1063 1210]
SMsplice 3SS: [ 881 1123 1283]
Partition function (log Z): -2.1188806454908247

Sorted 5' Splice Sites (High to Low Probability):
Position 1063: 0.9708844244618768
Position 419: 0.8967089120844475
Position 1210: 0.8699672884794608
Position 734: 0.2903868489236959
Position 474: 0.03965330749943309
Position 786: 0.022412882321110116
Position 529: 0.006495644792918721
Position 789: 0.0036841122762749697
Position 801: 0.0035713452355450787
Position 483: 0.0034652458139727113
Position 352: 0.0029287492326943616
Position 629: 0.0024631314615330296
Position 738: 0.002154525318810379
Position 296: 0.002059557631302188
Position 1067: 0.0016689832626325116
Position 535: 0.001459483219308692
Position 136: 0.0013169717508318306
Position 727: 0.0012320825559111786
Position 139: 0.0009385707581903273
Position 1403: 0.0008387203160421333
Position 716: 0.0007850934814484548
Position 1269: 0.00043556018255598653
Position 1428: 0.00035678757578025985
Position 1073: 0.0003438360611374348
Position 706: 0.0003401453118929752
Position 111: 0.0003297133857164751
Position 478: 0.00030526539724078425
Position 412: 0.0002936212685477169
Position 227: 0.0002077933543324973
Position 342: 0.000201037287743366
Position 363: 0.00017301873217076845
Position 645: 0.00015287345713338967
Position 3: 0.00014465700049636144
Position 651: 0.00013979801511558967
Position 1411: 8.547133696529705e-05
Position 1578: 7.69757501301707e-05
Position 1666: 7.023897196814153e-05
Position 643: 6.545698660990489e-05
Position 885: 5.28988697484297e-05
Position 1214: 5.165086810177408e-05
Position 1360: 5.135205510305236e-05
Position 1369: 4.856669352622898e-05
Position 497: 4.755996620446781e-05
Position 166: 4.7005071100518764e-05
Position 487: 3.4301854252561215e-05
Position 5: 3.4025420224998015e-05
Position 1393: 3.262732778480793e-05
Position 102: 2.9721002794092766e-05
Position 669: 2.6658738554650283e-05
Position 384: 2.4260337050837698e-05
Position 211: 1.815455100963392e-05
Position 649: 1.7740448090339305e-05
Position 927: 1.4185017210372645e-05
Position 1109: 1.4030168308401468e-05
Position 1672: 1.346261556376402e-05
Position 961: 1.200324144761611e-05
Position 1619: 1.0216472253569104e-05
Position 1584: 8.817378110796781e-06
Position 36: 7.372696649688313e-06
Position 1128: 5.87139411184969e-06
Position 282: 5.5140728828905535e-06
Position 1112: 4.1490517817701835e-06
Position 1653: 3.87794857830204e-06
Position 898: 3.3212470230444973e-06
Position 47: 3.30430648709417e-06
Position 1647: 3.2117721513544767e-06
Position 1155: 2.7788546301868556e-06
Position 229: 2.7773711688399555e-06
Position 1283: 2.4710143721762195e-06
Position 1641: 2.374769723235293e-06
Position 605: 2.0473068137569683e-06
Position 1625: 1.9659683186365253e-06
Position 888: 1.8639608910015947e-06
Position 1468: 1.7674026905927024e-06
Position 1660: 1.6586194159086416e-06
Position 1575: 1.4466324914413531e-06
Position 1006: 1.3005387978594599e-06
Position 182: 1.2101566514845099e-06
Position 1133: 9.794251225925455e-07
Position 1587: 7.287908260526193e-07
Position 75: 5.002423307124705e-07
Position 1267: 4.5869057672698875e-07
Position 1634: 4.388392902028488e-07
Position 1520: 3.6550602744528817e-07
Position 1529: 3.253394023660617e-07
Position 1480: 3.074650977468328e-07
Position 1614: 3.034887200676148e-07
Position 1348: 7.980771328577045e-08
Position 1334: 3.513229690287289e-08
Position 919: 3.076695611102335e-08
Position 1471: 2.0289279506784054e-08
Position 1678: 1.921284880105975e-08
Position 1553: 1.7097483977624397e-08
Position 1531: 6.9205534316222325e-09
Position 1686: 3.228703944912917e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1123: 0.9737764998170392
Position 881: 0.9171909061894452
Position 1283: 0.5496938687653891
Position 575: 0.19822032635066514
Position 1260: 0.13521937146874416
Position 594: 0.06522818883417075
Position 628: 0.06101922844029429
Position 1304: 0.059770011045312293
Position 1356: 0.04590875639255893
Position 1257: 0.0304585523318007
Position 1506: 0.01952614801858007
Position 1295: 0.01948654523197911
Position 599: 0.016667487922825183
Position 953: 0.01098381721572965
Position 789: 0.003859163839927304
Position 1309: 0.0034058739802107674
Position 786: 0.0030679835217794485
Position 1320: 0.0027271743474453583
Position 193: 0.002391309316639051
Position 1273: 0.0022038623880398433
Position 1460: 0.0019444758683613197
Position 903: 0.0015260814291636095
Position 1133: 0.0009180222596184187
Position 1724: 0.0007845393905558161
Position 1660: 0.0007546931063731422
Position 1632: 0.0005534238856140402
Position 665: 0.00027499851260367645
Position 833: 0.00026853243599870435
Position 837: 0.000182245740327699
Position 50: 0.00017308368870976043
Position 896: 0.00016988138230628107
Position 1306: 0.00015249402227612038
Position 1185: 0.00014648721644114284
Position 1524: 0.0001356175434836958
Position 691: 0.00010167225353324615
Position 262: 8.218730565117591e-05
Position 282: 7.769500899424795e-05
Position 1432: 7.399111119954911e-05
Position 994: 5.541499062883739e-05
Position 1174: 4.253613328784051e-05
Position 1245: 3.8183546766725256e-05
Position 1006: 3.701323833481875e-05
Position 1491: 2.1021499388409095e-05
Position 660: 1.8816686349674995e-05
Position 970: 1.3812444096304668e-05
Position 1363: 1.2757483043595164e-05
Position 161: 1.2038322628065465e-05
Position 287: 1.1397097851707603e-05
Position 463: 7.550934193078386e-06
Position 1297: 7.098899628099508e-06
Position 1091: 6.900765128872231e-06
Position 363: 6.1353694184343004e-06
Position 814: 5.52983718917985e-06
Position 1097: 5.305853709770301e-06
Position 1614: 3.4055803088179613e-06
Position 758: 3.3952807594584952e-06
Position 794: 3.3127159330418474e-06
Position 351: 2.29822952218449e-06
Position 809: 1.853889325418941e-06
Position 798: 1.7922540512509302e-06
Position 1731: 1.4535561695691558e-06
Position 961: 1.39747006970809e-06
Position 1526: 1.3266350340100473e-06
Position 446: 1.3116568777011764e-06
Position 1311: 5.529312248107684e-07
Position 1468: 5.31752995694627e-07
Position 990: 3.665201535668627e-07
Position 745: 3.656849116663099e-07
Position 1480: 3.143987739225782e-07
Position 144: 2.7047656253306763e-07
Position 90: 1.9537469756428607e-07
Position 1050: 1.8779531484961287e-07
Position 801: 1.5368920490993032e-07
Position 678: 1.2927358729880501e-07
Position 460: 1.2008055743020405e-07
Position 1210: 9.397910089158929e-08
Position 1104: 8.724463752790862e-08
Position 57: 8.09711200257141e-08
Position 423: 7.61234688684459e-08
Position 1582: 7.412978725935763e-08
Position 392: 6.212023140094049e-08
Position 202: 5.008550504773626e-08
Position 124: 4.8362587103009535e-08
Position 1054: 4.576614875779253e-08
Position 367: 4.1622302677974175e-08
Position 127: 4.0461039284114124e-08
Position 93: 3.6876386158059984e-08
Position 734: 2.4371135665486212e-08
Position 384: 2.1220464943739976e-08
Position 338: 1.348151140601227e-08
Position 412: 7.669591615975312e-09
Position 1040: 4.560595377376089e-09
Position 111: 3.8801419824092445e-09
Position 373: 3.835727107345943e-09
Position 334: 3.172486993365237e-09
Position 1584: 2.5957989655327985e-09
Position 99: 1.7199771488941023e-09
Position 310: 1.4833758110384883e-09
Position 102: 9.232233046254147e-10
Position 1214: 8.67416398864528e-10
Position 293: 5.575227633635938e-10
Position 1058: 2.586948211281801e-10
Position 376: 7.672735917261597e-11
Position 1401: 3.00080807291593e-11
Position 295: 3.819737452931892e-12
Position 400: 2.726295144070918e-13
