Gene = RP11-96L14.7
index = 1182
Annotated 5SS: [205 666]
Annotated 3SS: [ 485 1222]
SMsplice 5SS: [205 666]
SMsplice 3SS: [ 485 1615]
Partition function (log Z): -5.905746344427371

Sorted 5' Splice Sites (High to Low Probability):
Position 205: 0.9845941617750275
Position 666: 0.6210413160908875
Position 1284: 0.2834211276764437
Position 11: 0.27625779282231033
Position 1109: 0.05275526193705647
Position 1379: 0.03197235252342486
Position 52: 0.03083681713402555
Position 1115: 0.02843882773331511
Position 670: 0.027381738639643376
Position 499: 0.02527870605161639
Position 600: 0.01654975190613212
Position 1808: 0.009864935453793858
Position 1438: 0.009582609085132953
Position 492: 0.009063365378892288
Position 41: 0.0088159486079381
Position 629: 0.00398254846821592
Position 1590: 0.0038527598644794094
Position 1430: 0.0029274224864597126
Position 1676: 0.0026469037479074755
Position 1418: 0.002429399120070181
Position 615: 0.0022711479239161873
Position 1367: 0.0021678505704093645
Position 2105: 0.0007693437844348823
Position 1406: 0.0007339058343976782
Position 225: 0.000531366932627252
Position 334: 0.0004233759581231365
Position 1799: 0.0001973868974941485
Position 1742: 0.00019123983345536704
Position 209: 0.00017761444496409659
Position 1219: 0.00016991738159150016
Position 185: 0.00016022508741331948
Position 1893: 0.00013865303098220584
Position 1397: 0.00013097540849412104
Position 1501: 0.00012976585599998514
Position 845: 7.597834926694216e-05
Position 686: 6.907367539303575e-05
Position 2017: 6.244572361768087e-05
Position 1453: 5.1372351277927836e-05
Position 1700: 4.913274353014362e-05
Position 1148: 4.1320490769716753e-05
Position 930: 3.872110172521902e-05
Position 537: 3.7790451391594136e-05
Position 2050: 3.6872174649661956e-05
Position 571: 3.3359174010022724e-05
Position 196: 3.2861062425935483e-05
Position 1655: 2.7977407745871785e-05
Position 1104: 2.5864570742586037e-05
Position 1444: 2.315053387991584e-05
Position 1757: 2.1109506684559426e-05
Position 1027: 1.9853540400252793e-05
Position 1533: 1.7091004411492116e-05
Position 881: 1.5886283569453607e-05
Position 1268: 1.331352376037832e-05
Position 802: 1.2930760439668278e-05
Position 794: 1.1028305553911195e-05
Position 549: 1.0828046469477763e-05
Position 1352: 1.0099296786794336e-05
Position 1371: 1.0063205671102345e-05
Position 743: 1.0030793112060622e-05
Position 34: 9.409748492942481e-06
Position 387: 9.011606281685587e-06
Position 1383: 5.091217825694931e-06
Position 1818: 4.965646008565896e-06
Position 523: 3.3984577173583326e-06
Position 113: 3.318985852853074e-06
Position 2052: 2.7787794169348616e-06
Position 354: 2.7167742640183173e-06
Position 872: 2.552470729078567e-06
Position 947: 2.4137878597947128e-06
Position 726: 2.2214537046898736e-06
Position 268: 1.9766662983894242e-06
Position 2109: 1.8512703747467121e-06
Position 1711: 1.75932186632555e-06
Position 1714: 1.7356985145814225e-06
Position 1682: 1.6780868670735654e-06
Position 1891: 1.655850992147287e-06
Position 936: 1.3797102766792123e-06
Position 105: 1.3050065968555005e-06
Position 2230: 1.1858559567221795e-06
Position 852: 1.0648650938200726e-06
Position 1625: 9.75840113026679e-07
Position 2021: 9.149753950944153e-07
Position 45: 6.761787886387229e-07
Position 1051: 6.618660549662619e-07
Position 540: 6.389787299587984e-07
Position 884: 6.2673387749607e-07
Position 1136: 5.964677506756158e-07
Position 720: 5.515883533881459e-07
Position 588: 5.364816603360991e-07
Position 2121: 3.8641809452620636e-07
Position 870: 2.785154759928097e-07
Position 1349: 2.382800524649083e-07
Position 381: 2.3248759570938726e-07
Position 148: 2.2554114125631628e-07
Position 1920: 2.0264517447168406e-07
Position 2102: 1.997284353667092e-07
Position 956: 1.927937165687928e-07
Position 909: 1.428247096340291e-07
Position 558: 9.305863367717098e-08
Position 474: 8.809471739236291e-08
Position 73: 7.34733659079598e-08
Position 1059: 5.314349105495848e-08
Position 87: 4.656020620345888e-08
Position 292: 3.4828200923086974e-08
Position 2169: 3.13096402183173e-08
Position 961: 1.6354787388341165e-08
Position 1694: 1.5588253847961396e-08
Position 444: 1.1753860627449035e-08
Position 2206: 1.174786459495237e-08
Position 198: 1.164457996470873e-08
Position 1480: 8.518695124150663e-09
Position 2185: 7.79120315784887e-09
Position 2160: 6.878249765313536e-09
Position 1065: 5.194415259065621e-09
Position 1972: 3.817564656166243e-09
Position 297: 3.6938644562150824e-09
Position 89: 3.2372301004047197e-09
Position 2011: 1.1581884484951727e-10
Position 2175: 5.29729306912984e-11
Position 2193: 1.2225387898040245e-11
Position 2132: 4.849645684574798e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 485: 0.6627161151905596
Position 1615: 0.4880677552568041
Position 1222: 0.40722452059627084
Position 131: 0.20100966696498826
Position 1015: 0.08653216041211223
Position 73: 0.07168663150106253
Position 401: 0.07078567343120051
Position 1098: 0.06925482015951033
Position 1470: 0.037074129112234094
Position 97: 0.03598223777274955
Position 444: 0.029695196592401208
Position 1378: 0.026352134751874364
Position 2214: 0.02605644098442397
Position 1986: 0.017569129269131678
Position 979: 0.01661447122638444
Position 1942: 0.015400920777639798
Position 491: 0.015060114804651553
Position 1493: 0.014972582474685936
Position 1675: 0.013942171905911712
Position 1180: 0.013806957716743715
Position 316: 0.012170166679958334
Position 1161: 0.010307096298284224
Position 1643: 0.007600990269196045
Position 961: 0.00711011301583051
Position 534: 0.006772410121417561
Position 1476: 0.005609109709350877
Position 1915: 0.005550392858315998
Position 1046: 0.005521560502810968
Position 1409: 0.004588237990508475
Position 284: 0.004468368082148382
Position 596: 0.004384605789565819
Position 720: 0.0040663623645294305
Position 1367: 0.003418908357262441
Position 781: 0.003159920328001391
Position 802: 0.00303143925888764
Position 1946: 0.002882672547618367
Position 2169: 0.002856556247649904
Position 1017: 0.0026599218210134755
Position 1540: 0.0023666877461753313
Position 1236: 0.0017622370388687442
Position 736: 0.0016872757421438672
Position 1795: 0.0015620516410939937
Position 1051: 0.0015581004027135981
Position 1757: 0.0014080195192585983
Position 1735: 0.0013080620877968573
Position 373: 0.0011786953136116772
Position 1245: 0.0008433800029733905
Position 1136: 0.000816207964822516
Position 549: 0.0006769994652060958
Position 2004: 0.0006751184604844112
Position 877: 0.0006449378014867489
Position 2292: 0.0005396275093084943
Position 415: 0.0005013225242955654
Position 313: 0.00045053312384802453
Position 288: 0.00044546358105789933
Position 733: 0.0003704807659778438
Position 462: 0.00035094264988654565
Position 2259: 0.0003429681165355255
Position 1127: 0.00033813239855655256
Position 807: 0.00033227576544323797
Position 1024: 0.00029618895951172546
Position 919: 0.0002833566574911313
Position 1516: 0.0002661704453531158
Position 1108: 0.00022867493564936585
Position 934: 0.00022745591719197523
Position 906: 0.00022411551426363598
Position 637: 0.00021222658991936207
Position 1547: 0.0001967581242582364
Position 263: 0.00018823203673675324
Position 1114: 0.00017682920173710834
Position 1849: 0.00015330521428803242
Position 1728: 0.00014491012749980663
Position 1542: 0.0001445321047215228
Position 204: 0.0001437368292147529
Position 139: 0.00011258828949149807
Position 2175: 0.00010354687354281675
Position 1544: 0.00010171320321843596
Position 1995: 9.719503975676297e-05
Position 730: 8.611803564005816e-05
Position 2021: 8.431661027957968e-05
Position 1924: 8.066623720706087e-05
Position 2064: 7.367927312321528e-05
Position 1843: 6.840053488674557e-05
Position 1397: 5.3994111188680155e-05
Position 1652: 5.374129477968155e-05
Position 509: 5.3529434852646156e-05
Position 1863: 5.034254413104681e-05
Position 320: 4.41748996211513e-05
Position 513: 4.160009538702323e-05
Position 608: 4.122869633585795e-05
Position 2047: 3.8659227509688135e-05
Position 669: 3.5378765311490286e-05
Position 2034: 3.358546336755252e-05
Position 555: 3.2348008125784194e-05
Position 901: 3.0226383934043542e-05
Position 1283: 2.6224949190375626e-05
Position 148: 2.5603308395072973e-05
Position 1257: 2.4666071115896985e-05
Position 1112: 2.4047337476425218e-05
Position 864: 1.8037163208528598e-05
Position 697: 1.671468492631251e-05
Position 1648: 1.609416566639503e-05
Position 1797: 1.5613945081175697e-05
Position 640: 1.243359952061735e-05
Position 1265: 1.1394639647420281e-05
Position 2050: 1.1000875542398119e-05
Position 1418: 1.009041983071778e-05
Position 326: 9.944171354620263e-06
Position 700: 9.780603718639851e-06
Position 2094: 9.549222180400178e-06
Position 495: 9.535037968979556e-06
Position 988: 9.137175855323632e-06
Position 741: 9.078788240942561e-06
Position 1304: 8.614707746159431e-06
