Gene = METTL18
index = 838
Annotated 5SS: [57]
Annotated 3SS: [791]
SMsplice 5SS: [613]
SMsplice 3SS: [791]
Partition function (log Z): -10.492768108285727

Sorted 5' Splice Sites (High to Low Probability):
Position 120: 0.22053179686757632
Position 534: 0.21417295364004438
Position 613: 0.2119783064067382
Position 684: 0.1807400387731725
Position 180: 0.07706480732017953
Position 679: 0.04395509359023431
Position 442: 0.02777118261122876
Position 486: 0.025672549934748257
Position 1796: 0.02309782720784412
Position 537: 0.022961398252319146
Position 699: 0.01827089132964436
Position 57: 0.011608919430268922
Position 34: 0.004205685112057722
Position 451: 0.0029442391852329704
Position 927: 0.0021149711976975027
Position 617: 0.0018211515303442377
Position 1598: 0.0017997850293599313
Position 862: 0.001715688439183914
Position 1092: 0.0015908327420943377
Position 301: 0.0009696232861275282
Position 524: 0.0009612764759896164
Position 137: 0.0007308598505196474
Position 416: 0.0007208654106300736
Position 546: 0.0006821149775592929
Position 827: 0.0006604618629212057
Position 1361: 0.0005875289953332397
Position 543: 0.0004933491778490551
Position 579: 0.000445609902980354
Position 705: 0.0004339366526745113
Position 421: 0.00040456712849135654
Position 923: 0.0003659309049109862
Position 403: 0.00029357845253470325
Position 1589: 0.0002445788755837211
Position 950: 0.00022395202653070903
Position 975: 0.0002234910539385394
Position 308: 0.00019068179548985218
Position 160: 0.00017254920887045896
Position 1814: 0.00014623907520162002
Position 313: 0.00012988071196125546
Position 1472: 0.00011608892672014061
Position 1329: 0.0001113852197260667
Position 101: 0.0001064799039415257
Position 977: 9.549480316040903e-05
Position 66: 8.995182350251452e-05
Position 528: 8.882382625466687e-05
Position 566: 7.341275430824002e-05
Position 1723: 5.695625108561167e-05
Position 549: 5.0873682103725206e-05
Position 207: 5.015341709508469e-05
Position 234: 4.6732351350954e-05
Position 623: 4.400177653034095e-05
Position 1005: 4.345038489072367e-05
Position 1762: 4.233459907664041e-05
Position 1669: 3.512184379768086e-05
Position 1657: 2.9797885797470444e-05
Position 497: 2.9312912762471535e-05
Position 1652: 2.879187357787924e-05
Position 199: 2.8272686924875688e-05
Position 1136: 2.5728364468173024e-05
Position 625: 2.0941204463747716e-05
Position 502: 1.9806016671243023e-05
Position 127: 1.6122597510298813e-05
Position 1372: 1.5147404419896478e-05
Position 1185: 1.3950031305177563e-05
Position 213: 1.1383280525841401e-05
Position 125: 1.0808791214123106e-05
Position 555: 1.0739458626830728e-05
Position 540: 8.356890853716524e-06
Position 1620: 8.21349672488502e-06
Position 1106: 8.140972804821942e-06
Position 1384: 7.10883602376975e-06
Position 2076: 5.388969374278092e-06
Position 1684: 5.077881752624385e-06
Position 1377: 4.0939852135793965e-06
Position 1173: 3.7906486791384525e-06
Position 925: 3.681370150600169e-06
Position 354: 3.290776618373578e-06
Position 1096: 3.160483276270425e-06
Position 729: 3.015826621300291e-06
Position 1577: 3.013978823768275e-06
Position 1543: 2.3321480212572957e-06
Position 1342: 2.2511526923434258e-06
Position 1803: 1.8891270077751633e-06
Position 1981: 1.6492178736507809e-06
Position 1901: 1.5109294404456557e-06
Position 1244: 1.503624914695961e-06
Position 287: 1.3594301713791677e-06
Position 1929: 1.35296991823243e-06
Position 1738: 1.26236149597948e-06
Position 615: 9.875337824502137e-07
Position 854: 9.243656306518806e-07
Position 1232: 9.242028599679908e-07
Position 1934: 8.887874152057192e-07
Position 558: 6.777524579444036e-07
Position 2010: 6.581366910311758e-07
Position 1564: 6.334157001379741e-07
Position 711: 6.248574277504589e-07
Position 1505: 5.779124203031663e-07
Position 818: 5.282689407171753e-07
Position 1991: 4.772934218196802e-07
Position 1829: 4.2013129523174687e-07
Position 1822: 3.292579379269455e-07
Position 736: 2.993004981384379e-07
Position 1985: 2.6345849426230005e-07
Position 1809: 2.452559034972523e-07
Position 1687: 2.37330250871386e-07
Position 1800: 1.5435492262989043e-07
Position 1432: 8.980553243765054e-08
Position 1387: 7.794665654939587e-08
Position 1846: 7.173161833410972e-08
