Gene = NPPA
index = 956
Annotated 5SS: [222 671]
Annotated 3SS: [ 343 1768]
SMsplice 5SS: [222 671]
SMsplice 3SS: [ 343 1768]
Partition function (log Z): -6.1400564050806405

Sorted 5' Splice Sites (High to Low Probability):
Position 222: 0.9331439918137086
Position 671: 0.7947863901948221
Position 458: 0.29057039296560444
Position 504: 0.054567320952465616
Position 411: 0.0435605861365707
Position 123: 0.02035061910138217
Position 160: 0.01288605288237342
Position 479: 0.007869276396157912
Position 1668: 0.006480529971171629
Position 240: 0.002085592752904053
Position 1654: 0.0020080101542087787
Position 969: 0.0014887555208700717
Position 1665: 0.0011290249745768515
Position 389: 0.0010201009291302921
Position 1322: 0.0008785941562096999
Position 1009: 0.0007421370696487465
Position 1644: 0.00048238940550490077
Position 404: 0.0004497693545996782
Position 300: 0.0003365306656607311
Position 182: 0.00027659869290911276
Position 1733: 0.00015617173760717955
Position 1680: 0.00015403643129911494
Position 1597: 0.00013497786028372378
Position 1672: 0.00011587348969094423
Position 1092: 0.00011354453530668072
Position 15: 0.00010542393850097818
Position 304: 8.52361767758316e-05
Position 1231: 8.063829603201566e-05
Position 1127: 7.969734993468047e-05
Position 1630: 7.123202556261488e-05
Position 1263: 7.055078694718886e-05
Position 657: 6.545146051065623e-05
Position 1388: 5.3061411384227396e-05
Position 309: 3.943078071109603e-05
Position 1845: 3.671455364484393e-05
Position 1963: 3.5574694401996e-05
Position 1881: 2.0146043598644202e-05
Position 937: 1.972431213083745e-05
Position 802: 1.250301210665718e-05
Position 1578: 1.0327119114395957e-05
Position 192: 8.569565608399003e-06
Position 1768: 7.568365495639798e-06
Position 1884: 6.514085081440855e-06
Position 1943: 6.469082948327078e-06
Position 800: 5.663201851755928e-06
Position 1086: 5.175322585058042e-06
Position 194: 5.079319216766503e-06
Position 1014: 4.270461414979968e-06
Position 245: 3.734882831764009e-06
Position 768: 3.6847759104876415e-06
Position 1952: 2.7136488910832622e-06
Position 1955: 1.913067588424218e-06
Position 1750: 1.7594317481751512e-06
Position 2005: 1.5292964419301837e-06
Position 789: 9.945019529391925e-07
Position 1011: 9.127748916311725e-07
Position 1027: 7.999620394455023e-07
Position 273: 5.563738160476081e-07
Position 325: 5.210576197482385e-07
Position 1175: 4.661592978902983e-07
Position 1441: 4.371537578136562e-07
Position 1219: 2.801832840355997e-07
Position 1860: 2.460763514710564e-07
Position 833: 2.1560469861935872e-07
Position 1870: 1.5763909738895214e-07
Position 1188: 1.1387926905518152e-07
Position 1273: 9.423261828899716e-08
Position 392: 9.381811543385424e-08
Position 1510: 8.902172550549825e-08
Position 1326: 7.895960247591851e-08
Position 894: 7.739320058584135e-08
Position 1835: 7.612128184066197e-08
Position 1306: 6.696830100241565e-08
Position 73: 6.117125240508898e-08
Position 822: 5.581400866897541e-08
Position 1535: 3.922801192423957e-08
Position 1862: 3.4754150764361244e-08
Position 1914: 2.388201526168543e-08
Position 1309: 2.0888002147116205e-08
Position 1756: 1.7316387989552857e-08
Position 1143: 1.3181557992550075e-08
Position 1116: 9.661404487499014e-09
Position 1754: 7.781152281425179e-09
Position 1363: 1.538556419558586e-09
Position 881: 8.66297151368598e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 343: 0.7584309735980668
Position 1768: 0.5612805252374614
Position 558: 0.3477903515310615
Position 1552: 0.11581469496820845
Position 2004: 0.08763568915952201
Position 562: 0.05078547062048947
Position 1723: 0.04585071455044512
Position 591: 0.04404358655916694
Position 903: 0.03601106139326311
Position 621: 0.031186347278189468
Position 300: 0.013777460510344843
Position 1728: 0.012097170082125611
Position 1664: 0.007237840020518515
Position 606: 0.0057033807125428295
Position 829: 0.005695313741812471
Position 365: 0.00544268450222575
Position 787: 0.005369682277967547
Position 2008: 0.0041082701323964
Position 768: 0.0038915669962933585
Position 1197: 0.002912627995332645
Position 1503: 0.0025852797992067583
Position 2029: 0.0025317949725005835
Position 1532: 0.002260596570720953
Position 404: 0.0019641006265229133
Position 1946: 0.0019123073618838263
Position 1535: 0.0016337438198919122
Position 1901: 0.00156734143021758
Position 1621: 0.0013978744238472972
Position 1710: 0.0012913619117516986
Position 1036: 0.0011694601515060074
Position 304: 0.001075540376657258
Position 920: 0.0008627086166070691
Position 1881: 0.000778034746242682
Position 1661: 0.0007659620205303759
Position 457: 0.0007279874068595477
Position 204: 0.0007242803311195379
Position 881: 0.0006518194833091999
Position 1907: 0.0006295142953936327
Position 1214: 0.0005814666891989779
Position 600: 0.0005774044414159487
Position 806: 0.0005279169691687219
Position 370: 0.0004918208225707577
Position 862: 0.00045780751427967745
Position 411: 0.0003561509662231578
Position 444: 0.0003130322137866908
Position 479: 0.00023127167317498886
Position 663: 0.00022689304278821268
Position 2066: 0.0002154075685841184
Position 383: 0.00021030710014469204
Position 630: 0.0002086303142119812
Position 2054: 0.00017610197226066297
Position 2069: 0.00012950878134972943
Position 567: 0.00012905877483564908
Position 1776: 0.0001195005200184187
Position 924: 9.984783727105123e-05
Position 1732: 9.665221848419433e-05
Position 1085: 9.006458400672523e-05
Position 749: 8.58769159140739e-05
Position 643: 7.973239054693464e-05
Position 1353: 7.942240408836468e-05
Position 1076: 7.432124826464545e-05
Position 483: 7.360929795322833e-05
Position 2040: 7.177783238230322e-05
Position 1561: 6.9494451222644e-05
Position 1299: 6.807685927808599e-05
Position 1164: 6.682264858270075e-05
Position 1315: 6.27334825726469e-05
