Gene = LELP1
index = 779
Annotated 5SS: [89]
Annotated 3SS: [1243]
SMsplice 5SS: [89]
SMsplice 3SS: [1243]
Partition function (log Z): -7.848230666885036

Sorted 5' Splice Sites (High to Low Probability):
Position 89: 0.8606470839286042
Position 1344: 0.3178541946726231
Position 223: 0.12908004619150715
Position 233: 0.009434495120662611
Position 108: 0.006467905867262429
Position 1284: 0.004874740013056661
Position 156: 0.0037789388240971975
Position 978: 0.0031436518524877166
Position 1330: 0.0016672661033517065
Position 177: 0.0015526898712749167
Position 1392: 0.000901500465139485
Position 1417: 0.0007423916438922861
Position 718: 0.0007409155475491587
Position 637: 0.0007338735417078003
Position 1435: 0.0006688889506900623
Position 733: 0.0005290611112042535
Position 274: 0.0005065407846426313
Position 399: 0.0004913628320072696
Position 969: 0.00046797268039530844
Position 622: 0.00045192787955683505
Position 1342: 0.0004422373381651292
Position 1202: 0.00029940190081413615
Position 441: 0.00026074661703371374
Position 1187: 0.00025912282301755095
Position 1198: 0.0002511168281089446
Position 697: 0.0002461557318677292
Position 1402: 0.00022878009419930695
Position 146: 0.00014429250774797978
Position 868: 0.0001300550133550285
Position 1332: 0.00012534794947446497
Position 1456: 0.00011177881185338122
Position 394: 0.00010272515623445448
Position 203: 8.375973587645707e-05
Position 1419: 7.451858984429669e-05
Position 1059: 7.284653998226138e-05
Position 1272: 6.548358069945484e-05
Position 114: 6.0689527504093e-05
Position 560: 4.6766466479999e-05
Position 1348: 4.564854905883562e-05
Position 999: 4.364371363257672e-05
Position 964: 3.831603272742059e-05
Position 1172: 3.7744133479298533e-05
Position 186: 3.2791820421441536e-05
Position 68: 2.901363830307367e-05
Position 433: 2.5960841728954463e-05
Position 335: 2.2352293449807628e-05
Position 235: 2.183572524480714e-05
Position 958: 1.5075200986405813e-05
Position 557: 1.4335930137193552e-05
Position 629: 1.4123860053867525e-05
Position 985: 1.1517592075060732e-05
Position 237: 1.071548351001366e-05
Position 782: 9.440691868509316e-06
Position 191: 8.59669306923902e-06
Position 349: 8.010325475020058e-06
Position 772: 7.880572631787901e-06
Position 257: 7.526513601410526e-06
Position 1267: 6.089164101194891e-06
Position 1066: 5.230949583853063e-06
Position 814: 5.192037275994506e-06
Position 445: 3.6994245090379504e-06
Position 896: 2.7001068858573414e-06
Position 210: 1.5471671972919819e-06
Position 517: 1.4655133988645554e-06
Position 220: 1.3703168221769533e-06
Position 842: 1.370115114323667e-06
Position 1558: 9.59542199967102e-07
Position 1043: 8.958405789428041e-07
Position 1368: 6.560606194797977e-07
Position 927: 5.461451044745829e-07
Position 757: 5.14936148121652e-07
Position 755: 4.0657859828011054e-07
Position 63: 3.0396892352475914e-07
Position 93: 1.6322842791796335e-07
Position 1018: 1.3949888503078632e-07
Position 1568: 1.0014991982613009e-08
Position 780: 9.173712379345675e-09
Position 419: 8.393983022169124e-09
Position 1497: 3.105427392996799e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1243: 0.7331753398637512
Position 1556: 0.39543038757873317
Position 1456: 0.04666419437584495
Position 220: 0.041347379970867994
Position 430: 0.034741168406210686
Position 533: 0.030288733439009216
Position 802: 0.016847884248766938
Position 1480: 0.015491507633762404
Position 600: 0.007760568996489344
Position 450: 0.003559743288614542
Position 175: 0.002685880834150834
Position 300: 0.002048651794433356
Position 998: 0.0016834822166043948
Position 356: 0.0016676815651729176
Position 1303: 0.001398956436474017
Position 541: 0.0013421839762658
Position 1402: 0.0013234177018110497
Position 381: 0.0012105790763038058
Position 697: 0.0010824995332931531
Position 1558: 0.0008799965979207928
Position 1250: 0.0007910541956564861
Position 804: 0.0007252383713672701
Position 1378: 0.0007014931892573679
Position 878: 0.0005654969181762664
Position 1104: 0.00041888601686196266
Position 203: 0.00038965405341092094
Position 480: 0.00038268950503533465
Position 255: 0.00035081796416212916
Position 1156: 0.0003369945105628132
Position 1417: 0.0002123850731837687
Position 1562: 0.00020894592893410627
Position 1435: 0.00020647527057662357
Position 810: 0.0002063950909859591
Position 958: 0.0001749143421432641
Position 1360: 0.00013269745739476798
Position 933: 0.00011976471152079687
Position 1365: 0.00011637714150419077
Position 1631: 0.00011520706179288389
Position 1129: 0.00011278923589788224
Position 227: 0.0001105510373475731
Position 1492: 0.00010214160457608764
Position 664: 7.892849280704986e-05
Position 1330: 7.528138097379834e-05
Position 1375: 7.209153635636611e-05
Position 763: 6.720525191893415e-05
Position 1342: 6.680286244477303e-05
Position 433: 5.6597959336934104e-05
Position 172: 4.664994390629221e-05
