Gene = SAP25
index = 1223
Annotated 5SS: [ 51 351 542 788 994]
Annotated 3SS: [ 267  434  633  895 1075]
SMsplice 5SS: [201 351 542 788 994]
SMsplice 3SS: [ 267  451  633  895 1075]
Partition function (log Z): 2.847261422796426

Sorted 5' Splice Sites (High to Low Probability):
Position 542: 0.9804538651100821
Position 351: 0.977839973594335
Position 994: 0.9336100694454917
Position 788: 0.8912427495502961
Position 51: 0.4420697178541402
Position 201: 0.3076871087173346
Position 162: 0.010930111742402724
Position 536: 0.007371518299986154
Position 508: 0.0064174298682578975
Position 1250: 0.005245729042079298
Position 154: 0.0019232827197330988
Position 538: 0.001288854746214247
Position 1127: 0.00024927761507529084
Position 702: 0.00022308723416632496
Position 969: 9.098695003928063e-05
Position 214: 6.011837765751916e-05
Position 546: 4.986557058746211e-05
Position 800: 4.791656803587162e-05
Position 725: 4.3346283045322614e-05
Position 853: 3.417948671645527e-05
Position 561: 2.5544642347700544e-05
Position 205: 1.953689476830835e-05
Position 401: 1.945446663397924e-05
Position 1293: 1.6727467872506147e-05
Position 464: 1.2396605243494865e-05
Position 1117: 1.1858867754728605e-05
Position 590: 9.2736161109778e-06
Position 907: 7.458198158295675e-06
Position 72: 6.756531859389966e-06
Position 136: 6.097152346964603e-06
Position 644: 5.809944126269012e-06
Position 1314: 5.48433153946547e-06
Position 576: 5.221576933084223e-06
Position 452: 3.2753830159270097e-06
Position 904: 2.531480464172939e-06
Position 882: 6.166627739585337e-07
Position 897: 4.666783252677232e-07
Position 884: 3.621349922727398e-07
Position 595: 3.479949331201192e-07
Position 961: 2.738373633956426e-07
Position 843: 2.557337272040912e-07
Position 879: 2.1774788386039926e-07
Position 678: 1.9786439526449616e-07
Position 914: 1.634654814190144e-07
Position 1290: 1.5753047961282405e-07
Position 909: 6.570247912949217e-08
Position 959: 6.301156857366835e-08
Position 216: 4.0009901678817025e-08
Position 231: 3.2406589847428245e-08
Position 975: 2.7432352875692565e-08
Position 922: 2.436077334162195e-08
Position 264: 2.409200848174555e-08
Position 611: 2.2193150298124016e-08
Position 680: 2.018088070113016e-08
Position 736: 1.16454223817852e-08
Position 1305: 1.043802818643608e-08
Position 1016: 3.329716051189381e-09
Position 409: 7.026591671740476e-10
Position 618: 3.252920681079117e-10
Position 425: 3.0963251633300804e-11
Position 660: 1.878776576118252e-11
Position 441: 5.2798411590986964e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 451: 0.9750511920249544
Position 633: 0.8946494688068176
Position 895: 0.8770534511033115
Position 1075: 0.8672830457917481
Position 267: 0.5441312094439016
Position 246: 0.09287589392949067
Position 1336: 0.07339627504591296
Position 253: 0.07085627478230644
Position 879: 0.03646343118465434
Position 225: 0.0230462721167281
Position 1213: 0.020682793281353213
Position 434: 0.019591492998525646
Position 1125: 0.01284556488659672
Position 751: 0.011492685752507231
Position 317: 0.007080488573715783
Position 919: 0.0061125029405509805
Position 667: 0.005562332682500296
Position 957: 0.005183872749068748
Position 709: 0.002932740009781779
Position 1262: 0.002614086192528683
Position 1176: 0.002612328165008937
Position 712: 0.0018665533271595555
Position 177: 0.001656702216032146
Position 866: 0.0012905627360537228
Position 1284: 0.001267288314872475
Position 843: 0.0009846201432160892
Position 1028: 0.0008277411042659916
Position 647: 0.0007247627224720368
Position 292: 0.0007221919383249807
Position 1360: 0.0006551025799805902
Position 423: 0.0006387599551518421
Position 194: 0.000545528360231541
Position 1404: 0.0005184863535012244
Position 850: 0.0005113105719824724
Position 652: 0.0005057690892195079
Position 981: 0.00045723663573137853
Position 285: 0.00034385813751662146
Position 124: 0.0002363039189496653
Position 1048: 0.00019961690147839983
Position 231: 0.00019238679026546826
Position 287: 0.00015324960759553497
Position 731: 0.0001314806257846937
Position 334: 0.00012162672818631235
Position 289: 0.0001078251279904479
Position 148: 8.154481496081752e-05
Position 787: 7.834264893626428e-05
Position 1343: 7.757131846094421e-05
Position 1296: 7.473139850711752e-05
Position 491: 7.35101565169246e-05
Position 781: 6.911196143304058e-05
Position 817: 6.508460251736889e-05
Position 993: 4.671270956620217e-05
Position 1369: 3.1611167122094375e-05
Position 722: 3.0829773575787465e-05
Position 990: 2.9865450190282066e-05
Position 463: 2.970038779867084e-05
Position 1035: 2.5947149006422548e-05
Position 1302: 2.306347281504017e-05
Position 1374: 1.908665825871423e-05
Position 771: 1.710394376695555e-05
Position 385: 1.3302314580341478e-05
Position 611: 1.3199755364894506e-05
Position 508: 1.3012357244871675e-05
Position 350: 9.0635873913721e-06
Position 768: 8.364092839169122e-06
Position 477: 6.417261606815147e-06
Position 199: 5.556867082730956e-06
Position 1305: 4.869596847316541e-06
Position 1312: 4.428356841748459e-06
Position 604: 1.7261904407537354e-06
Position 1222: 1.5678448019053355e-06
Position 1233: 1.4190905573107773e-06
Position 344: 1.139903916516127e-06
Position 655: 8.181084465455337e-07
Position 583: 7.716692096379836e-07
Position 1218: 7.536258452482874e-07
Position 331: 7.317541257229415e-07
Position 859: 6.281675740097898e-07
Position 1186: 4.537356600876688e-07
Position 524: 3.9408233173689053e-07
Position 515: 3.050421530952795e-07
Position 1376: 3.0245980398934337e-07
Position 405: 1.7619645772512372e-07
Position 521: 1.2920069111599326e-07
Position 1239: 1.1667114100631771e-07
Position 354: 1.1143374351493224e-07
Position 387: 3.0753481230910176e-08
Position 1228: 2.4344001888054852e-08
Position 359: 1.5541365005253385e-08
Position 546: 3.98939246879945e-09
Position 1000: 2.133750065540885e-09
Position 587: 9.9477419870055e-10
Position 998: 3.8623759117855176e-10
