Gene = SPRR2G
index = 1323
Annotated 5SS: [18]
Annotated 3SS: [737]
SMsplice 5SS: [18]
SMsplice 3SS: [737]
Partition function (log Z): -6.733149869693181

Sorted 5' Splice Sites (High to Low Probability):
Position 18: 0.7158208467562902
Position 574: 0.5359057233271285
Position 149: 0.23995546144904778
Position 388: 0.026783977360311302
Position 186: 0.023209914708217483
Position 606: 0.019150170957953596
Position 642: 0.006995836479382903
Position 76: 0.0048504614100015764
Position 581: 0.0036233502567131226
Position 430: 0.0036232171681021804
Position 235: 0.003451614961823572
Position 163: 0.002668156885844219
Position 959: 0.002315972204068967
Position 315: 0.0013105908269637604
Position 590: 0.000985481768905894
Position 170: 0.0006885256827644788
Position 627: 0.0006660129251483466
Position 140: 0.0006240857932842669
Position 723: 0.0005472556977033494
Position 977: 0.0002901933111934124
Position 851: 0.00025168233238442926
Position 322: 0.00024328709434840378
Position 595: 0.00019463684207494768
Position 597: 0.00014237429994754208
Position 22: 0.00013473987487681852
Position 646: 0.00012167281920263636
Position 534: 0.00010523077461802347
Position 824: 9.545301015165805e-05
Position 59: 9.100272084286933e-05
Position 807: 7.465691477000037e-05
Position 615: 5.378412341352087e-05
Position 57: 5.042042131579534e-05
Position 259: 4.70102855983328e-05
Position 65: 4.041352453864323e-05
Position 670: 3.0487804525377445e-05
Position 254: 2.9500708687965078e-05
Position 809: 1.6091759868621268e-05
Position 1066: 1.055521395956773e-05
Position 838: 8.058590711267276e-06
Position 328: 7.729681576671999e-06
Position 476: 5.5994078490294455e-06
Position 718: 5.296479967175738e-06
Position 727: 5.088845711675956e-06
Position 880: 1.7246880125250824e-06
Position 425: 1.4576031020863369e-06
Position 300: 1.2704799074933552e-06
Position 1069: 5.115244116110025e-07
Position 1110: 4.802829554495025e-07
Position 930: 4.554809992979084e-07
Position 1210: 3.292241168756906e-07
Position 1194: 3.189581602851289e-07
Position 1198: 3.0236385820365254e-07
Position 480: 2.999551665845137e-07
Position 277: 2.2922774153728616e-07
Position 203: 2.0561227590950538e-07
Position 761: 1.9253705489297444e-07
Position 90: 1.5851118916531974e-07
Position 1022: 1.5107482287132528e-07
Position 1203: 1.1051083845434304e-07
Position 456: 9.637480360130039e-08
Position 1097: 8.415333203765259e-08
Position 1130: 5.562449551479617e-08
Position 779: 4.23707215729761e-08
Position 700: 2.5681782356503394e-08
Position 474: 8.354844002796197e-09
Position 503: 3.2743086262270724e-09
Position 1213: 2.812359932165906e-09
Position 497: 1.6921607439560799e-09
Position 1147: 1.228648435657107e-09
Position 1150: 1.2180011095779387e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 737: 0.8363341696139158
Position 511: 0.35787110156267543
Position 470: 0.1530786107873681
Position 527: 0.05904642446802374
Position 121: 0.05265519223984872
Position 474: 0.0370120831083227
Position 695: 0.027012379910763145
Position 956: 0.01611574961148104
Position 1206: 0.007227962630630913
Position 1041: 0.00669612507357849
Position 230: 0.004843823651436568
Position 914: 0.0045803439276022135
Position 953: 0.004039594321494127
Position 440: 0.0036815375262828904
Position 1264: 0.003522747446207814
Position 1063: 0.003333413385429434
Position 173: 0.002742742463558695
Position 487: 0.00271198293528027
Position 395: 0.00271189688556332
Position 773: 0.002167981158821944
Position 676: 0.0010892685221159243
Position 81: 0.0009834204509806042
Position 362: 0.0009778737605177425
Position 824: 0.0007080459996365141
Position 776: 0.00048455521938094723
Position 1157: 0.0004361655505511066
Position 159: 0.00038239233508660447
Position 851: 0.00033581118128447185
Position 1117: 0.0002535848061316399
Position 653: 0.00024139250605968273
Position 770: 0.00023029748655151508
Position 890: 0.00016861487750518677
Position 1283: 0.00015875874514057554
Position 959: 0.0001382706664286338
Position 971: 0.00012993911814679818
Position 713: 0.00012827706480517042
Position 128: 0.00012437735927419346
Position 537: 9.419413452204753e-05
Position 1124: 9.098325559277922e-05
Position 999: 7.600620526915412e-05
Position 753: 4.584222016628604e-05
Position 148: 4.368740083500715e-05
Position 779: 4.16645861367952e-05
Position 831: 3.8784829921422004e-05
Position 300: 3.7389391664195675e-05
Position 1069: 3.7244849738721774e-05
Position 408: 3.47809949520121e-05
Position 328: 2.637203802604692e-05
Position 370: 2.5823055201177244e-05
Position 235: 2.3592108027101377e-05
Position 185: 2.310370560137241e-05
Position 989: 2.236797616245035e-05
Position 1108: 2.2298982060754538e-05
Position 797: 2.162570491553705e-05
Position 973: 1.8291081515989598e-05
Position 456: 1.7271833116511543e-05
Position 550: 1.5893817222370885e-05
Position 131: 1.4075116225745331e-05
Position 747: 1.3685286806684347e-05
Position 1016: 1.3310479142649904e-05
Position 1165: 1.2561092465575423e-05
Position 758: 9.024011652984879e-06
Position 1232: 7.224987010567221e-06
Position 248: 6.092140827293537e-06
Position 788: 5.567179593574735e-06
Position 413: 5.372549937236838e-06
Position 233: 4.6554652547317985e-06
Position 1226: 4.655090765915516e-06
Position 374: 4.5538153232374845e-06
Position 420: 3.7887896003655223e-06
Position 977: 2.9793986027270076e-06
Position 1228: 2.505309513256413e-06
Position 1022: 2.4840813310776e-06
Position 633: 1.985462793926207e-06
Position 756: 1.5253709216391782e-06
Position 203: 1.1543973530898026e-06
Position 1162: 1.063540838646159e-06
Position 595: 9.084652859000187e-07
Position 572: 5.837708012772914e-07
Position 642: 5.038063342147793e-07
Position 1130: 4.649654851453754e-07
Position 1119: 4.266624122162115e-07
Position 662: 3.975714864368809e-07
Position 578: 3.6007640026167484e-07
Position 590: 3.58149258507149e-07
Position 605: 3.5067614093224524e-07
Position 239: 3.3913430324820234e-07
Position 241: 3.067868898759455e-07
Position 785: 2.9547825903421016e-07
Position 1169: 2.688481379985548e-07
Position 558: 2.531461337771095e-07
Position 415: 2.4558493004581437e-07
Position 139: 2.4051580546075333e-07
Position 615: 2.1397464215999063e-07
Position 860: 2.0349826682818225e-07
Position 193: 1.999607514638812e-07
Position 833: 1.935576672787913e-07
Position 554: 1.7417502698209357e-07
Position 543: 1.1723449988889343e-07
Position 545: 1.1681018441831652e-07
Position 565: 8.767990411984461e-08
Position 602: 6.526720372525332e-08
Position 623: 5.8424857791183505e-08
Position 1075: 1.5829538281605446e-08
Position 580: 4.13676134775353e-09
