Gene = LINC00694
index = 785
Annotated 5SS: [85]
Annotated 3SS: [1123]
SMsplice 5SS: [271]
SMsplice 3SS: [1123]
Partition function (log Z): -11.035508629484024

Sorted 5' Splice Sites (High to Low Probability):
Position 271: 0.41705935409062617
Position 999: 0.3327974021568916
Position 85: 0.20498859540704384
Position 302: 0.04188957011067349
Position 1136: 0.016497506938179786
Position 1018: 0.015266238563282549
Position 1124: 0.011543712890993789
Position 846: 0.0100053217056922
Position 193: 0.007742741678520961
Position 154: 0.0069520372594529594
Position 817: 0.005197696393888182
Position 458: 0.0038670581476272846
Position 1011: 0.0033958531264128146
Position 743: 0.003368685104838491
Position 407: 0.002462826595508386
Position 171: 0.0020579239622928623
Position 264: 0.0016174042920715408
Position 146: 0.0014948206039055241
Position 859: 0.0014216630458844884
Position 515: 0.001034122523969144
Position 984: 0.000781071236237109
Position 72: 0.0006056634636006232
Position 512: 0.0005281855869768481
Position 676: 0.0004696232176101686
Position 306: 0.00045972937741804384
Position 30: 0.00040155607385193397
Position 947: 0.000338004873449765
Position 311: 0.00027360648482009013
Position 586: 0.0002464115764118462
Position 623: 0.00023046038389304586
Position 580: 0.0002213333524955797
Position 788: 0.0002133176525151782
Position 575: 0.00019333481052244723
Position 601: 0.00017713213214428795
Position 821: 0.0001687700494756864
Position 138: 0.00014456334713579537
Position 365: 0.00012501869090996372
Position 1283: 0.00012061347755911905
Position 868: 8.582109573430693e-05
Position 1428: 8.556863960916753e-05
Position 156: 7.937329504565814e-05
Position 1285: 5.820763637801938e-05
Position 374: 4.7184034071333903e-05
Position 613: 4.3915544223640995e-05
Position 877: 3.0443030610846414e-05
Position 6: 2.6824120722107308e-05
Position 854: 2.062555050227294e-05
Position 519: 2.0447627627576425e-05
Position 1529: 1.757346343186727e-05
Position 451: 1.3758942964680597e-05
Position 485: 1.1159749863041065e-05
Position 1180: 9.670357327548082e-06
Position 287: 9.293792137858245e-06
Position 1237: 7.157370563850796e-06
Position 1003: 5.0071607910415595e-06
Position 198: 3.881669427659108e-06
Position 1049: 2.7271022962699748e-06
Position 255: 2.656531339883999e-06
Position 1140: 1.6298988746618684e-06
Position 1481: 9.932069827671262e-07
Position 1304: 6.34578697256581e-07
Position 70: 4.385111492526313e-07
Position 1102: 4.1979879470966274e-07
Position 15: 3.8153958048730586e-07
Position 659: 3.431262141642657e-07
Position 17: 2.7527384125975045e-07
Position 1128: 1.56847495309101e-07
Position 968: 1.4993114966397667e-07
Position 1589: 1.4551641702493487e-07
Position 584: 9.808794793891165e-08
Position 1097: 8.032677533275444e-08
Position 1609: 6.07084443560466e-08
Position 1099: 5.025227156606267e-08
Position 661: 2.6013088945126798e-08
Position 1170: 4.9245723342332e-09
Position 1460: 3.067329906278291e-09
Position 1637: 5.921713194259091e-10
Position 804: 2.2117379362124805e-11
Position 1675: 3.59000691585199e-12
Position 1444: 2.4320389277801023e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1123: 0.7798811859529707
Position 629: 0.08632013917444951
Position 1218: 0.05096477177074354
Position 845: 0.041306654208347046
Position 655: 0.02439237515274654
Position 1478: 0.02358094347453212
Position 399: 0.021122622202170874
Position 1629: 0.010388267093991505
Position 209: 0.006231976535582103
Position 901: 0.00520241623954045
Position 1221: 0.005027631119607268
Position 1412: 0.00451202520945334
Position 1451: 0.003531916490908416
Position 1548: 0.003303702966484515
Position 974: 0.003217622313248281
Position 1656: 0.0031650949609473844
Position 670: 0.0022145074425046502
Position 169: 0.0016947050420365623
Position 947: 0.001504988975187298
Position 882: 0.0014233018578307466
Position 1353: 0.001224694264117477
Position 1366: 0.0012218005275625747
Position 821: 0.0010683117629516044
Position 978: 0.0009268365028138112
Position 1682: 0.0008661408864357648
Position 327: 0.0008375232430949542
Position 1514: 0.0007892223284861868
Position 927: 0.0007304556695298584
Position 911: 0.0006852836805581081
Position 374: 0.0006543153642916063
Position 1372: 0.0005942180876275824
Position 1155: 0.0005737053223391626
Position 1798: 0.0004997284468049465
Position 1248: 0.00042604481109004055
Position 264: 0.0004096429181121221
Position 1275: 0.00038980942764422653
Position 1188: 0.0003535261072506902
Position 1326: 0.00035202703385385167
Position 1017: 0.000326139167218038
Position 1023: 0.0003179292310067369
Position 914: 0.00030500445687920807
Position 532: 0.0002987433947287867
Position 526: 0.00027800244485460455
Position 1311: 0.0002724534316987927
Position 1133: 0.0002702090040459022
Position 735: 0.00021397178805053583
Position 1304: 0.0002046958487145983
Position 1165: 0.00020033198709109809
Position 951: 0.000173830585014443
Position 437: 0.00016656016080009576
Position 512: 0.00015124864135882354
Position 850: 0.00014955296523910485
Position 296: 0.00014088731341840445
Position 1193: 0.0001381353094006434
Position 1783: 0.00013264662233357285
Position 180: 0.00012165582907049365
Position 292: 0.00011833242381294609
Position 1250: 0.00011024731384206058
Position 1149: 0.00010277994620740095
Position 1579: 7.935628171730816e-05
Position 779: 7.770899826564469e-05
Position 451: 6.745118995787255e-05
Position 599: 6.718248545024726e-05
Position 1280: 6.52487080113147e-05
Position 485: 6.41898333386715e-05
Position 192: 6.102317402875949e-05
Position 1728: 5.367346450170704e-05
Position 1522: 4.8218198078096587e-05
Position 997: 4.3953133145079134e-05
Position 868: 3.837335051280242e-05
Position 1756: 3.681347192173376e-05
Position 999: 3.669799712584432e-05
Position 743: 3.6186048002502285e-05
Position 1135: 3.494178340041776e-05
Position 723: 3.229096990698927e-05
Position 1481: 3.1832964239230104e-05
Position 940: 2.9031717043277578e-05
Position 1733: 2.7005792992204758e-05
Position 859: 2.3983210344740785e-05
Position 1225: 2.3774064416346402e-05
Position 746: 1.9187614501670338e-05
Position 1080: 1.5168974288403911e-05
Position 457: 1.5123312750617368e-05
Position 764: 1.4140359260283327e-05
Position 378: 1.0626927428458098e-05
Position 1328: 9.740333756489375e-06
Position 1419: 9.026660781748608e-06
Position 1263: 7.988146134830843e-06
Position 1768: 7.884928226767743e-06
Position 1745: 6.243810991694646e-06
Position 537: 6.218923650850386e-06
Position 271: 5.448954785528827e-06
Position 1425: 4.93137254514771e-06
Position 1049: 4.81833269436725e-06
Position 246: 4.703211153517011e-06
Position 222: 4.335124839273695e-06
Position 1140: 4.323332196979334e-06
Position 1290: 4.1430480007017935e-06
Position 1668: 3.6827740982094365e-06
Position 302: 2.711540396502101e-06
Position 1003: 2.4386346086894522e-06
Position 1283: 2.1542231425406073e-06
Position 1428: 1.9176159711849074e-06
Position 1435: 1.8681835789356208e-06
Position 959: 1.7394290982898254e-06
Position 601: 1.3773320710944727e-06
Position 781: 1.220027581802168e-06
Position 995: 1.08712377932051e-06
Position 961: 1.0577675261842485e-06
Position 1260: 1.0425159139332632e-06
Position 414: 1.0339259169114167e-06
Position 954: 1.0147013674026483e-06
Position 275: 9.62248325405225e-07
