Gene = RP11-195F19.5
index = 1162
Annotated 5SS: [437 736]
Annotated 3SS: [675 858]
SMsplice 5SS: [437]
SMsplice 3SS: [675]
Partition function (log Z): -8.221248983267587

Sorted 5' Splice Sites (High to Low Probability):
Position 437: 0.9536934220637301
Position 736: 0.2662604780621403
Position 72: 0.11348574486938155
Position 815: 0.04769858183148353
Position 1225: 0.00967488004117091
Position 483: 0.008483622642515454
Position 1374: 0.007955498753750475
Position 414: 0.004522851036981462
Position 1612: 0.004096027440337951
Position 451: 0.002769805857204062
Position 622: 0.001133838188342633
Position 516: 0.0006281089465237481
Position 951: 0.0005476310953822505
Position 786: 0.00027826799898469527
Position 34: 0.0002752587053948558
Position 930: 0.00025781301100674464
Position 842: 0.00018661210980294683
Position 493: 0.0001443314010218699
Position 847: 0.0001361882732171387
Position 1131: 0.00010569645266638316
Position 1351: 9.329567399309971e-05
Position 374: 9.120492489960253e-05
Position 13: 7.588527720410416e-05
Position 1648: 7.293822938510795e-05
Position 241: 6.55371119960524e-05
Position 613: 6.015046874030438e-05
Position 617: 5.2114774740249645e-05
Position 498: 3.193275804297418e-05
Position 392: 3.1755838205392766e-05
Position 441: 3.098885287285461e-05
Position 238: 2.779026804228623e-05
Position 912: 2.5225808913946626e-05
Position 205: 2.4727689820873524e-05
Position 1609: 1.8506844032887576e-05
Position 1367: 1.6312293106744353e-05
Position 1353: 1.5890373278264593e-05
Position 1633: 1.486463446906861e-05
Position 1325: 1.4773347321856323e-05
Position 1424: 1.4390668796909298e-05
Position 1692: 1.3572330092906855e-05
Position 1162: 1.1626879187826654e-05
Position 1097: 1.1296990744079651e-05
Position 1483: 1.0838541601868986e-05
Position 1102: 6.292483090507627e-06
Position 718: 4.765014548396574e-06
Position 999: 4.1959812936532495e-06
Position 840: 3.1803151812478717e-06
Position 542: 3.1319479761360996e-06
Position 4: 3.041143580654372e-06
Position 1029: 2.55036242224348e-06
Position 233: 2.2963221696722767e-06
Position 916: 1.7224883193401605e-06
Position 1713: 1.7174686574678942e-06
Position 1443: 1.5304515187385245e-06
Position 1143: 1.1287134815794762e-06
Position 1190: 9.70113404025445e-07
Position 1745: 8.360612536170077e-07
Position 1516: 6.332932717902197e-07
Position 1057: 3.7775137099373926e-07
Position 1300: 2.655485265044806e-07
Position 690: 2.3220767898677783e-07
Position 1174: 1.9789857385845657e-07
Position 1229: 1.2405694361309342e-07
Position 1264: 1.053947119004224e-07
Position 1539: 8.50489242919422e-08
Position 1115: 3.9958914849831014e-08
Position 1160: 3.146734275221591e-08
Position 954: 2.043219050987253e-08
Position 1573: 1.4537590361547083e-08
Position 1471: 1.0524196108236593e-08
Position 1765: 8.97915050444487e-09
Position 301: 2.840434053393831e-09
Position 1785: 1.2035985794110999e-09
