Gene = S100A16
index = 1220
Annotated 5SS: [ 160 1339]
Annotated 3SS: [1159 1644]
SMsplice 5SS: [ 160 1339]
SMsplice 3SS: [1159 1644]
Partition function (log Z): 0.9472558076516213

Sorted 5' Splice Sites (High to Low Probability):
Position 1339: 0.9955363371254363
Position 160: 0.9110510866960408
Position 439: 0.47748823642761223
Position 787: 0.0366890873886446
Position 1090: 0.028457383102734355
Position 1977: 0.023080709936322302
Position 345: 0.02238821198090855
Position 1725: 0.013121965333803436
Position 1957: 0.011586772822957277
Position 313: 0.010346117185894213
Position 820: 0.009970551323127548
Position 166: 0.00994487399345846
Position 1853: 0.004526609584222037
Position 449: 0.004513436226494906
Position 453: 0.004128777875525035
Position 808: 0.0031711834997924407
Position 29: 0.0030760412120111797
Position 413: 0.0029162112737620605
Position 1514: 0.002832375725729007
Position 1111: 0.002773066826268533
Position 856: 0.0018646031071939053
Position 353: 0.0007621213983763302
Position 601: 0.0007559339035420214
Position 1094: 0.0007378785163527719
Position 195: 0.0005706759055715789
Position 50: 0.0005696398169118638
Position 447: 0.00034022976240926387
Position 2035: 0.000335830463993159
Position 1335: 0.00028582974277485093
Position 1569: 0.00015454001617720445
Position 528: 0.00011396660627528678
Position 944: 0.0001014176696718126
Position 692: 7.504632725049272e-05
Position 112: 7.439095247833401e-05
Position 385: 6.326427940618879e-05
Position 118: 5.06637462210069e-05
Position 902: 4.506106230552363e-05
Position 2161: 4.018269116797207e-05
Position 721: 4.016725678856659e-05
Position 469: 3.72181195608984e-05
Position 2080: 3.515338727788831e-05
Position 328: 3.280235512805199e-05
Position 394: 3.1226393948063064e-05
Position 387: 3.076838468108155e-05
Position 518: 2.968342194302833e-05
Position 459: 2.6566493494199403e-05
Position 362: 2.648104564638663e-05
Position 1120: 2.3594160447547777e-05
Position 1260: 2.1904348926943812e-05
Position 711: 1.426771468711611e-05
Position 1188: 1.174908664658089e-05
Position 479: 1.1400142472990507e-05
Position 1949: 1.1298043756040057e-05
Position 1582: 1.0450272159767215e-05
Position 11: 9.821453369190065e-06
Position 935: 6.875570533602324e-06
Position 1270: 5.235390993721142e-06
Position 228: 4.384408842243383e-06
Position 222: 3.7590243708819434e-06
Position 2141: 3.4773250857300805e-06
Position 1996: 2.5235747234685237e-06
Position 1551: 2.4874390777720556e-06
Position 131: 2.3902683836576914e-06
