Gene = NDUFA2
index = 923
Annotated 5SS: [303 530]
Annotated 3SS: [ 422 2106]
SMsplice 5SS: [303 530]
SMsplice 3SS: [ 422 2106]
Partition function (log Z): 0.7975834988574653

Sorted 5' Splice Sites (High to Low Probability):
Position 530: 0.9940993569640533
Position 303: 0.9620150786871892
Position 1173: 0.15308038138055688
Position 2157: 0.03750686258066547
Position 2188: 0.030135934543130707
Position 318: 0.02649532022892256
Position 1169: 0.011908057808242837
Position 251: 0.008721194478492735
Position 854: 0.008650736483497318
Position 805: 0.007593297391470454
Position 1576: 0.005680900678299476
Position 563: 0.004474439508426623
Position 1699: 0.00388292390986068
Position 1310: 0.0028650592369703102
Position 1408: 0.002020919457521928
Position 1544: 0.001030521980720194
Position 221: 0.0007925781817242266
Position 724: 0.0006709390511159504
Position 133: 0.0006644397707250239
Position 140: 0.0006318265964699415
Position 748: 0.0006225519627094877
Position 1126: 0.00047085513140316656
Position 861: 0.0004276499798995497
Position 1976: 0.00038602369308798006
Position 1431: 0.0003719233383642695
Position 534: 0.00035448475018525036
Position 1260: 0.000318497539925605
Position 1936: 0.0002788613856718026
Position 1616: 0.00025142758802828576
Position 776: 0.0002379131232274457
Position 56: 0.00021043709713920847
Position 844: 0.00016241231824295902
Position 1419: 0.00015506873268618032
Position 835: 0.0001454476824191242
Position 1952: 0.00013202671291995174
Position 604: 0.00012642471293397052
Position 1320: 0.00010585998257138481
Position 1530: 9.236872007012277e-05
Position 1300: 8.926395752682548e-05
Position 873: 8.638624289165335e-05
Position 550: 6.452958682107426e-05
Position 809: 6.267544568075297e-05
Position 1481: 4.5544457034692884e-05
Position 144: 4.0289465712719894e-05
Position 502: 3.728119777225337e-05
Position 272: 3.5008374053528414e-05
Position 298: 3.2963229979526324e-05
Position 1236: 3.0791805473448476e-05
Position 229: 2.9898718432153538e-05
Position 1687: 2.736029908598305e-05
Position 1469: 2.215901930985491e-05
Position 2255: 1.9758848995224247e-05
Position 1734: 1.9102539451400248e-05
Position 1381: 1.848379037723467e-05
Position 577: 1.6750791356334426e-05
Position 1938: 1.621211826351715e-05
Position 2185: 1.615410133186642e-05
Position 1291: 1.2588031760453498e-05
Position 857: 1.2399441127631588e-05
Position 315: 1.154118530121684e-05
Position 1270: 1.0179684403547871e-05
Position 1051: 8.459857875914622e-06
Position 773: 8.245458632306896e-06
Position 859: 7.49880656273227e-06
Position 2262: 7.369400363575961e-06
Position 1424: 6.22930810910483e-06
Position 347: 5.924973526838419e-06
Position 1693: 5.476563012051595e-06
Position 691: 5.106458910407e-06
Position 1634: 3.3805404756340783e-06
Position 1186: 2.950216537600416e-06
Position 1016: 2.649621227619094e-06
Position 1438: 2.199637256011838e-06
Position 907: 1.9496207617159624e-06
Position 818: 1.8647591048315642e-06
Position 973: 1.3086991901003106e-06
Position 2056: 1.2970034262614737e-06
Position 1551: 1.2702115708402825e-06
Position 1154: 1.1861433725168908e-06
Position 706: 1.0336813561889318e-06
Position 1752: 9.363045151154434e-07
Position 1486: 9.230112375687769e-07
Position 1621: 9.193369409964616e-07
Position 2304: 9.181911742381033e-07
Position 848: 8.128637568294153e-07
Position 833: 7.956920487221966e-07
Position 941: 6.6201103067214e-07
Position 1586: 6.480902793927658e-07
Position 662: 6.462677282239015e-07
Position 2146: 6.101630606295205e-07
Position 2068: 5.907711812141282e-07
Position 653: 5.434378945829897e-07
Position 900: 5.12229771474249e-07
Position 1499: 4.7348046011061996e-07
Position 2273: 4.6891582330544287e-07
Position 1832: 3.6844714575737235e-07
Position 2376: 3.300179427821913e-07
Position 2078: 2.6314360207004624e-07
Position 1417: 1.944654922051533e-07
Position 1618: 1.6058808280034763e-07
Position 2322: 1.5597755301579353e-07
Position 2299: 1.5022346908626373e-07
Position 1829: 1.0872866939632236e-07
Position 445: 8.822071374964515e-08
Position 842: 4.028075494093237e-08
Position 1703: 3.899239511791289e-08
Position 1852: 2.5653125060733137e-08
Position 370: 2.3671917778219658e-08
Position 767: 1.4874362785641502e-08
Position 2275: 1.1499255138415836e-08
Position 2357: 8.163708664173967e-09
Position 7: 7.781631104422915e-09
Position 619: 7.651019815370622e-09
Position 1003: 6.646999275483242e-09
Position 1489: 5.2981227379725846e-09
Position 2178: 4.7632824711707606e-09
Position 956: 4.328361715658304e-09
Position 2324: 3.917247473349132e-09
Position 954: 1.42191296190946e-09
Position 2330: 1.2028623259636805e-09
Position 2127: 1.0482867673603734e-09
Position 2009: 9.661912329906716e-10
Position 1712: 5.697759280154802e-10
Position 2407: 2.208527576173459e-10
Position 703: 1.2891942650366412e-10
Position 607: 4.1193451046477875e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 422: 0.9955793293973375
Position 2106: 0.8777003739009711
Position 976: 0.1407334717001256
Position 1091: 0.05634445605094495
Position 2295: 0.04811663915872066
Position 2059: 0.03150222484018427
Position 2320: 0.01534504994904114
Position 1221: 0.014241978174945063
Position 689: 0.010358567216371245
Position 1852: 0.009358171633092367
Position 1508: 0.008414321936895345
Position 673: 0.008127711344073741
Position 1964: 0.0076398638306765946
Position 2419: 0.006003510830807232
Position 2146: 0.005448919921607599
Position 941: 0.004210366550989303
Position 393: 0.0033897661181474855
Position 1207: 0.0028437034361415694
Position 2019: 0.002771317513988274
Position 1027: 0.002141638028158985
Position 751: 0.0021226397556297154
Position 1832: 0.001853665410532473
Position 1172: 0.0018209203420131766
Position 2066: 0.0010851078328788365
Position 1377: 0.0008495236162858219
Position 2471: 0.0008120768366359392
Position 645: 0.000752509315916475
Position 978: 0.0006872995062487462
Position 776: 0.0006230615726436298
Position 612: 0.0004844181603956892
Position 1442: 0.0004315224476824108
Position 2255: 0.00039569552902134577
Position 1643: 0.0003942077329258247
Position 1111: 0.00037661074867392005
Position 631: 0.00035074254098050754
Position 1039: 0.00033888958097004284
Position 1298: 0.00030123101155403757
Position 1303: 0.00024659933668154274
Position 1286: 0.00021169248563874542
Position 1323: 0.0002093236689160592
Position 1864: 0.00020905544419318105
Position 724: 0.00019947804238158292
Position 1683: 0.00019749760872329658
Position 2370: 0.00018974873524206854
Position 1933: 0.00016846076562936554
Position 1896: 0.00016799413442910517
Position 1045: 0.00016475855998055244
Position 838: 0.00016053279233489034
Position 217: 0.00014433908203787321
Position 2156: 0.000133984738991908
Position 2120: 0.00012444807571831935
Position 2479: 0.0001141341840084909
Position 2073: 9.55905818603441e-05
Position 731: 8.850963733915263e-05
Position 169: 8.689480645475664e-05
Position 603: 8.189533812443871e-05
Position 200: 8.071373024978032e-05
Position 370: 8.060350888396279e-05
Position 945: 7.472869254933021e-05
Position 1529: 7.386515166734268e-05
Position 1692: 7.372256666858922e-05
Position 888: 7.177831279102258e-05
Position 2426: 7.035336949109219e-05
Position 781: 6.052959425827969e-05
Position 1526: 5.544078317206403e-05
Position 1417: 5.4642759500502206e-05
Position 148: 5.417028947588823e-05
Position 1446: 5.4097695549932206e-05
Position 1611: 5.313182765512314e-05
Position 1265: 5.131795261189399e-05
Position 1728: 5.077300091471263e-05
Position 2118: 4.880100877709331e-05
Position 290: 4.848382284878209e-05
Position 1320: 4.265844759109545e-05
Position 1651: 3.948912839267922e-05
Position 1476: 3.415545922994436e-05
Position 1686: 3.217519140295484e-05
Position 1353: 2.773302203630747e-05
Position 1283: 2.6816946599748044e-05
Position 2462: 2.5115989635698577e-05
Position 2379: 2.4348407871283356e-05
Position 1384: 2.1334211462496e-05
Position 2078: 2.0642469073571235e-05
Position 1381: 1.9983956988124225e-05
Position 983: 1.864166311199801e-05
Position 1461: 1.770795959297068e-05
Position 276: 1.4478884135232485e-05
Position 2226: 1.4336131098810657e-05
Position 2232: 1.2576077808379961e-05
Position 1059: 1.1977549901909062e-05
Position 221: 1.1038712998714824e-05
Position 758: 1.0946460541928974e-05
Position 2435: 9.758428106021326e-06
Position 2025: 8.932475461216915e-06
Position 1350: 8.74899074685851e-06
Position 2446: 8.378764886508017e-06
Position 1519: 8.279539768178838e-06
Position 1548: 7.922346034725489e-06
Position 1664: 7.595646431473638e-06
Position 2376: 7.200348298511106e-06
Position 1256: 6.9345014601350866e-06
Position 2218: 6.453802287448136e-06
Position 1740: 6.297398907455096e-06
Position 952: 5.127485777655604e-06
Position 2185: 4.91302192997849e-06
Position 131: 4.839117781212236e-06
Position 2164: 4.420905165507609e-06
Position 1259: 4.1786494950352634e-06
Position 1543: 4.0047500121875235e-06
Position 797: 3.6851933396009906e-06
Position 456: 3.610958711499724e-06
Position 1795: 3.3270837782652997e-06
Position 1049: 3.320270496071862e-06
Position 124: 3.243043727862312e-06
Position 2193: 3.048276398308006e-06
Position 1902: 2.90236731424483e-06
Position 624: 2.5094213807938394e-06
Position 435: 2.4841008799005735e-06
Position 450: 2.482493296242383e-06
Position 948: 2.2240601294029625e-06
Position 2488: 2.197033852924868e-06
Position 1557: 2.1889246705520053e-06
Position 2220: 2.1007456622808853e-06
Position 793: 1.9223596177211418e-06
Position 1654: 1.749411223912416e-06
Position 853: 1.6492147543490392e-06
Position 294: 1.6245816459164726e-06
Position 507: 1.6167760094890087e-06
Position 842: 1.5758249690427649e-06
Position 459: 1.4996858685586856e-06
Position 2084: 1.424319586241517e-06
Position 907: 1.2858370791626347e-06
Position 1300: 1.1246544149767766e-06
Position 1699: 1.1150680415637959e-06
Position 1391: 1.0626756015149752e-06
Position 1066: 9.559417704559798e-07
Position 873: 9.489569747138618e-07
Position 1330: 9.354039992496615e-07
Position 380: 9.057374630533706e-07
Position 1782: 8.57612135728075e-07
Position 375: 8.499304321012736e-07
Position 155: 6.429355136392329e-07
Position 2485: 6.170959759658828e-07
Position 2481: 5.787785831861524e-07
Position 1800: 5.63864811791039e-07
Position 890: 5.395521363985065e-07
Position 1361: 5.290629847162621e-07
Position 1463: 5.24709222624476e-07
Position 2211: 5.128251729531496e-07
Position 2234: 5.012091374230334e-07
Position 761: 4.824521899240396e-07
Position 1660: 4.2180554215809544e-07
Position 2031: 3.859648903939959e-07
Position 1944: 2.9572140955536385e-07
Position 818: 2.953182999430597e-07
Position 1270: 2.723102536560314e-07
Position 857: 2.7001376133241824e-07
Position 1667: 2.55940945275098e-07
Position 1268: 2.3945770211299666e-07
Position 1776: 2.0869239012833045e-07
Position 1746: 1.8870149747635753e-07
Position 1401: 1.6553475298409276e-07
Position 2200: 1.5482950261136277e-07
Position 1314: 1.420635166350493e-07
Position 848: 1.3485665695878536e-07
Position 1562: 1.2391185608686742e-07
Position 240: 1.1784433687928137e-07
Position 345: 1.0460979898677508e-07
Position 1051: 1.0449896944082994e-07
Position 2166: 1.0264764474058118e-07
Position 1551: 8.380613066002443e-08
Position 2174: 8.123934077121073e-08
Position 566: 7.658785727456186e-08
Position 2037: 7.127620528931882e-08
