Gene = PHPT1
index = 1023
Annotated 5SS: [ 497 1044]
Annotated 3SS: [ 918 1660]
SMsplice 5SS: [497]
SMsplice 3SS: [1660]
Partition function (log Z): -8.850383585651697

Sorted 5' Splice Sites (High to Low Probability):
Position 497: 0.5425068719200522
Position 399: 0.3311237085034613
Position 1467: 0.26999052766611314
Position 970: 0.26748259302232086
Position 1044: 0.26365724781306366
Position 1423: 0.05109469959347002
Position 1526: 0.03463582002390728
Position 480: 0.0311312298745421
Position 203: 0.018535424115807657
Position 307: 0.017559097815711768
Position 302: 0.01549375428724877
Position 1028: 0.013742907345570864
Position 1630: 0.011142888216365629
Position 196: 0.009209131507985632
Position 180: 0.005254176500902585
Position 1166: 0.0035636448691446234
Position 466: 0.003082513751027233
Position 1485: 0.0026426750440050515
Position 1609: 0.0025650786093814257
Position 1727: 0.0015982381301500996
Position 1711: 0.0008870592935800905
Position 1517: 0.0005665840842979666
Position 1530: 0.0005622165964133905
Position 679: 0.0004759247668550902
Position 1242: 0.000471430203060749
Position 662: 0.00042665373822851633
Position 822: 0.00025748497034726336
Position 1578: 0.0002260653890815274
Position 751: 0.00020433689531839131
Position 254: 0.00019354482080081236
Position 50: 0.00018403250919867486
Position 801: 0.00017385603996516552
Position 489: 0.00015405755039273403
Position 285: 9.66969957194456e-05
Position 938: 8.70601550987689e-05
Position 403: 7.996685209643521e-05
Position 1352: 5.644900885633453e-05
Position 1006: 5.548472187110258e-05
Position 415: 5.431735918148645e-05
Position 1155: 3.680548468118362e-05
Position 976: 2.9316222452031078e-05
Position 1082: 2.5304713907656722e-05
Position 1616: 2.3859180248969786e-05
Position 1587: 2.289374163016286e-05
Position 122: 1.8233382201476566e-05
Position 1624: 1.765462124781705e-05
Position 1668: 1.1352011135232431e-05
Position 1026: 1.0569513164244555e-05
Position 936: 1.0281080268476026e-05
Position 1273: 8.707384760760185e-06
Position 646: 7.779362799832839e-06
Position 343: 7.618937820239411e-06
Position 974: 6.142988971656288e-06
Position 188: 3.356038847512052e-06
Position 1479: 2.2104008433574795e-06
Position 1356: 1.5511550709967949e-06
Position 1364: 1.3141374780108791e-06
Position 725: 1.065413207628441e-06
Position 370: 9.868070319258877e-07
Position 697: 5.892781774129364e-07
Position 84: 3.080525381738583e-07
Position 1580: 2.838217698846305e-07
Position 733: 2.3916736043046283e-07
Position 780: 2.202857582580503e-07
Position 622: 1.9897162103966377e-07
Position 257: 1.8695276538188585e-07
Position 1059: 1.126884892825261e-07
Position 1376: 8.08322751872178e-08
Position 1427: 6.8700813081948e-08
Position 1386: 6.438695373229197e-08
Position 1199: 6.065336208351623e-08
Position 1123: 1.5505625797310945e-08
Position 858: 1.4580884745910577e-08
Position 1315: 8.394338681936104e-09
Position 1633: 5.750337565996508e-09
Position 1201: 4.246751974164037e-09
Position 391: 7.445034055051103e-10
Position 41: 4.13156289107203e-10
Position 7: 2.4709271317997664e-10
Position 893: 1.487286330266543e-10
Position 1645: 7.39897162086894e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1346: 0.42554960809957804
Position 1660: 0.38582104466762845
Position 918: 0.2899572618943869
Position 1828: 0.22496650207302218
Position 878: 0.19721120509695741
Position 1544: 0.09580935218379891
Position 1411: 0.04556295856353647
Position 661: 0.04371306968312856
Position 1445: 0.028134456619236605
Position 399: 0.017328098887320374
Position 722: 0.015078716807663206
Position 1190: 0.01341053403275519
Position 1164: 0.011735147108712467
Position 1408: 0.010029424276255292
Position 725: 0.009842887302213723
Position 1312: 0.00906999728410592
Position 786: 0.00801879985654431
Position 1004: 0.005305921985863949
Position 1678: 0.0051123769951053845
Position 269: 0.005108177119466267
Position 841: 0.004169984605679023
Position 1855: 0.004133810572300155
Position 1323: 0.0038696501160514333
Position 887: 0.0031954060457671826
Position 1075: 0.003173154318133694
Position 1132: 0.0029908256297291507
Position 1784: 0.0025375358380926856
Position 672: 0.002348014341227161
Position 1629: 0.0021502252981359955
Position 1260: 0.0021114578540437556
Position 451: 0.0018463047523555355
Position 858: 0.0017259739892175338
Position 1880: 0.001688933962126444
Position 1602: 0.0016754078636479046
Position 285: 0.001548736850593628
