Gene = SSNA1
index = 1340
Annotated 5SS: [132 619]
Annotated 3SS: [ 418 1159]
SMsplice 5SS: [158 505]
SMsplice 3SS: [ 418 1159]
Partition function (log Z): -4.318169398775499

Sorted 5' Splice Sites (High to Low Probability):
Position 158: 0.6633502735761027
Position 505: 0.6549157349391888
Position 619: 0.309987127512201
Position 132: 0.2890933583567335
Position 268: 0.018108192176497232
Position 1123: 0.015738128728051713
Position 1072: 0.014170962263545283
Position 1496: 0.011951250016622238
Position 1245: 0.011107968932580424
Position 130: 0.010796673439286503
Position 1088: 0.007358030222386806
Position 1381: 0.006839175332397047
Position 266: 0.0037980903852221563
Position 1397: 0.0027553748347475147
Position 324: 0.002617854609210252
Position 1321: 0.0019284662157632879
Position 968: 0.0018072770890448255
Position 125: 0.001791264648326183
Position 180: 0.0015901137341528117
Position 1485: 0.0015118740561788505
Position 47: 0.0010871498111691223
Position 894: 0.0009904533632923212
Position 56: 0.0006859969333419958
Position 199: 0.00044973791272888745
Position 1294: 0.00042763776385376667
Position 321: 0.0003508829808885338
Position 1296: 0.00024073955831530584
Position 347: 0.00022895433968904354
Position 576: 0.00011701727957610102
Position 1086: 6.267774952608373e-05
Position 948: 3.795981197155353e-05
Position 1323: 3.2626339452421734e-05
Position 53: 2.88805018322943e-05
Position 13: 2.3829326602537785e-05
Position 668: 2.0490766214015607e-05
Position 798: 7.802605850203738e-06
Position 719: 7.2696239731204196e-06
Position 863: 6.957075895679392e-06
Position 686: 6.808891829699911e-06
Position 959: 6.379855679935822e-06
Position 848: 5.734517963964514e-06
Position 882: 5.6705659665396845e-06
Position 535: 5.262189521359537e-06
Position 712: 5.001930188107981e-06
Position 10: 4.794145770025075e-06
Position 866: 4.745675882301492e-06
Position 1450: 3.852967098312729e-06
Position 792: 3.516373017590235e-06
Position 837: 2.42330572892512e-06
Position 831: 2.3920528363046925e-06
Position 923: 2.3863317231621216e-06
Position 810: 2.1514040095180715e-06
Position 1003: 2.1085395849792068e-06
Position 786: 1.9614885775402814e-06
Position 806: 1.8442328066314028e-06
Position 880: 1.3530056503969592e-06
Position 73: 1.0759293174821755e-06
Position 252: 1.032030847403515e-06
Position 1325: 9.149170963380461e-07
Position 961: 8.59422957092079e-07
Position 670: 4.800458929026052e-07
Position 723: 4.2422413134648245e-07
Position 272: 3.9124846439705606e-07
Position 453: 3.868534444088204e-07
Position 1011: 2.661123837076187e-07
Position 1516: 2.6210556512999236e-07
Position 1419: 1.8355458667127323e-07
Position 1374: 1.8333901220713242e-07
Position 1641: 5.307440331683991e-08
Position 754: 4.911867454648091e-08
Position 1559: 4.8875180201604016e-08
Position 1342: 1.738215274175419e-08
Position 432: 1.553310274294576e-08
Position 1522: 5.02902775396795e-09
Position 1562: 3.4027408362807646e-09
Position 1190: 9.710994044675901e-11
Position 1592: 8.752523192471966e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 418: 0.9769118368579005
Position 1159: 0.7126187405023595
Position 1042: 0.15953322487396124
Position 1380: 0.03935157024331435
Position 1306: 0.029831107671904625
Position 1603: 0.027287712978894322
Position 858: 0.01763485582689644
Position 396: 0.012187723169701244
Position 880: 0.011635323983836045
Position 1355: 0.0088649674878176
Position 1011: 0.008343312167109151
Position 1548: 0.006695760729990846
Position 1122: 0.006209102997244928
Position 1657: 0.004459992084251152
Position 1058: 0.002373613187159005
Position 1358: 0.0021405247662598134
Position 1472: 0.0016774835600326951
Position 746: 0.0009111703983778107
Position 1720: 0.0008926752702755458
Position 1671: 0.0007592862735328052
Position 1188: 0.0006131448929516485
Position 1607: 0.0004972742830890969
Position 1705: 0.00036494165753607726
Position 972: 0.0003642846960535705
Position 462: 0.0003315789348452132
Position 424: 0.00026850831367729696
Position 1419: 0.00023236638028087013
Position 1610: 0.0002314121902271059
Position 576: 0.00022579687992244546
Position 468: 0.00022409461271806125
Position 1495: 0.00021307565379417547
Position 1198: 0.00017974849510095264
Position 719: 0.00016232399268705137
Position 194: 0.00015807491056849985
Position 934: 0.00014955035013060762
Position 1108: 0.000110900386510284
Position 1332: 9.696737469422657e-05
Position 298: 9.535389368719477e-05
Position 1311: 7.772608940529893e-05
Position 1282: 7.685354308681307e-05
Position 1205: 7.670295527235067e-05
Position 1097: 6.721807132767871e-05
Position 904: 6.097150984986665e-05
Position 779: 5.965569757341908e-05
Position 887: 5.3093463374348686e-05
Position 618: 4.8235307930116045e-05
Position 498: 4.789246176821893e-05
Position 1396: 4.68335044655597e-05
Position 1222: 4.3334056886546955e-05
Position 1067: 3.653988911583824e-05
Position 597: 3.610598303524208e-05
Position 1552: 3.5940016531589253e-05
Position 683: 3.526106037962631e-05
Position 1229: 3.404672125827704e-05
Position 771: 2.879427169596961e-05
Position 260: 2.696364366647863e-05
Position 558: 2.5949483918542917e-05
Position 1071: 2.4895129819235268e-05
Position 752: 2.3260250883886983e-05
Position 243: 2.0533057110646075e-05
Position 1200: 2.052107731416976e-05
Position 923: 1.5653067907920793e-05
Position 946: 1.560502837032393e-05
Position 913: 1.3736603731307765e-05
Position 1263: 1.3467621415692581e-05
Position 1317: 1.1188845304972902e-05
Position 1177: 1.0834594402995454e-05
Position 988: 1.0778425636282551e-05
Position 353: 1.0498659046146849e-05
Position 1078: 9.313854483391513e-06
Position 441: 8.945622473893417e-06
Position 986: 8.733987906600006e-06
