Gene = TXNRD3NB
index = 1514
Annotated 5SS: [481]
Annotated 3SS: [590]
SMsplice 5SS: [481]
SMsplice 3SS: [590]
Partition function (log Z): -7.730821580330663

Sorted 5' Splice Sites (High to Low Probability):
Position 481: 0.6209460309408676
Position 430: 0.32012782924713395
Position 165: 0.07239169386144986
Position 734: 0.06824508880700283
Position 249: 0.021227755140014976
Position 743: 0.0033208632970457342
Position 394: 0.0030564871956070745
Position 518: 0.0005467946972271051
Position 183: 0.000492002154203154
Position 330: 0.00022580606341260706
Position 181: 0.00018764965285580928
Position 719: 0.0001424010461688551
Position 485: 0.0001186974072181617
Position 263: 0.0001112077561830964
Position 423: 0.00010846329749534774
Position 462: 5.00037618975388e-05
Position 591: 1.6550989270026343e-05
Position 510: 1.1144009822054184e-05
Position 358: 1.3982283889522707e-06
Position 271: 1.3890587609104142e-06
Position 17: 4.6731735592312675e-07
Position 741: 2.9914645750844274e-07
Position 556: 2.6258490457102865e-08
Position 571: 3.2304890862997684e-09
Position 764: 1.527460282514286e-09
Position 224: 9.297131736650493e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.9287009105004153
Position 812: 0.07074569581044643
Position 566: 0.0496049115003778
Position 344: 0.03455607065123052
Position 530: 0.01702593090207797
Position 347: 0.002032476300330202
Position 773: 0.001318599593650292
Position 833: 0.001277290535558993
Position 350: 0.0009868215078978882
Position 260: 0.0007199306502403055
Position 597: 0.0006778246028187413
Position 282: 0.000677319687862126
Position 271: 0.00041731898787556365
Position 619: 0.0004054053019226845
Position 507: 0.00028877887043363896
Position 243: 0.00024590025420667493
Position 423: 0.00021424459863298389
Position 649: 0.00019178439790761503
Position 310: 0.00016627199520549989
Position 248: 0.00016561468929643554
Position 371: 0.00013327000582766648
Position 510: 0.00010517423106495483
Position 622: 9.290399053759687e-05
Position 571: 9.185530223599724e-05
Position 471: 8.952990572154341e-05
Position 542: 7.781811471755102e-05
Position 670: 6.702242710085979e-05
Position 755: 6.071357111823519e-05
Position 380: 3.6334569336720924e-05
Position 840: 3.0497672930458348e-05
Position 325: 2.615501113070344e-05
Position 284: 2.549313271942181e-05
Position 321: 1.4423511241155806e-05
Position 369: 1.3928100224815265e-05
Position 393: 1.383280434682451e-05
Position 290: 7.06761441315267e-06
Position 384: 5.730313105390306e-06
Position 628: 3.6919293208050703e-06
Position 695: 2.449290117978229e-06
Position 455: 2.3408239639018393e-06
Position 656: 1.5957449450781057e-06
Position 428: 1.4437203035609936e-06
Position 631: 1.2094569534912177e-06
Position 538: 9.16949274901434e-07
Position 399: 8.652428412724335e-07
Position 302: 7.011009359026021e-07
Position 386: 6.832745395022861e-07
Position 292: 6.574116696064764e-07
Position 551: 5.70702407758777e-07
Position 438: 5.054188214026801e-07
Position 434: 4.2485438104308624e-07
Position 731: 2.8296486684857726e-07
Position 706: 2.815809621234688e-07
Position 709: 1.67648011410085e-07
Position 715: 9.042189756912002e-08
Position 440: 8.531031712240277e-08
Position 219: 8.213972669725632e-08
Position 444: 5.510526502545469e-08
Position 451: 3.422822102997465e-08
Position 485: 2.9744722292082593e-08
Position 724: 2.8212322768513967e-08
Position 86: 3.772369022434842e-09
Position 747: 1.86733108050217e-09
Position 733: 1.4323552906609557e-09
Position 726: 1.1223977992867994e-09
Position 82: 5.173738054703593e-10
Position 728: 2.881024959210949e-10
Position 221: 1.0332781133153335e-10
Position 88: 9.687885456091604e-11
Position 149: 3.114710845800484e-11
Position 181: 2.0285304156586232e-11
Position 115: 7.216555688219794e-12
Position 125: 5.694186618181846e-12
Position 112: 5.0812842805061794e-12
Position 146: 4.977349896062114e-12
Position 138: 4.883362943752986e-12
Position 161: 4.572536941583755e-12
Position 169: 3.612481735802547e-12
Position 131: 2.603435814557244e-12
Position 110: 1.0124333230350547e-12
Position 106: 8.52233692151211e-13
Position 97: 1.9141298486361254e-13
Position 143: 3.404301142074554e-14
