Gene = HNRNPCL2
index = 660
Annotated 5SS: [62]
Annotated 3SS: [272]
SMsplice 5SS: [62]
SMsplice 3SS: [272]
Partition function (log Z): -6.556599952726406

Sorted 5' Splice Sites (High to Low Probability):
Position 62: 0.9704469591952355
Position 570: 0.018915654246951262
Position 79: 0.01446098500865336
Position 123: 0.011679524781644666
Position 503: 0.0046417191715133746
Position 375: 0.003898416463717291
Position 29: 0.002626738322873026
Position 765: 0.0017464520064540306
Position 740: 0.0005374662099027815
Position 493: 0.0002460684712843356
Position 362: 0.000236651717611791
Position 95: 0.00012335134847965055
Position 348: 0.00010326360435208342
Position 105: 7.137205053537464e-05
Position 129: 2.9891840467973984e-05
Position 822: 2.2900653159365248e-05
Position 1090: 2.0622838621511627e-05
Position 550: 1.4500948119175945e-05
Position 507: 1.2776539673749505e-05
Position 1096: 1.2356478714169467e-05
Position 113: 1.1740874903146578e-05
Position 66: 9.18375620342285e-06
Position 688: 8.841681422934084e-06
Position 161: 4.028023212506899e-06
Position 827: 3.241369703477873e-06
Position 505: 3.1381868725201647e-06
Position 595: 3.1144229882746125e-06
Position 1159: 2.0981756201213304e-06
Position 841: 1.891908007672557e-06
Position 721: 1.1036966586473103e-06
Position 535: 9.945453845917021e-07
Position 317: 3.9216933734840813e-07
Position 295: 3.4468110766578217e-07
Position 466: 3.261943354891415e-07
Position 229: 3.0026436072041015e-07
Position 966: 2.3780746744758354e-07
Position 532: 1.9723828661802098e-07
Position 652: 1.6738095013203958e-07
Position 871: 1.4982744793404696e-07
Position 1033: 1.4820715345550756e-07
Position 839: 1.4637492745374148e-07
Position 243: 9.990490099614166e-08
Position 616: 6.418196763765506e-08
Position 1181: 6.20428375494316e-08
Position 1130: 6.131554018849163e-08
Position 694: 4.784225525096972e-08
Position 742: 4.115372229326395e-08
Position 6: 3.3542722908500363e-08
Position 1110: 2.518262829587427e-08
Position 926: 2.334685288768066e-08
Position 280: 2.1165764328199105e-08
Position 1011: 1.7303888686716654e-08
Position 249: 1.3755526893425364e-08
