Gene = GUCA2A
index = 632
Annotated 5SS: [  81 1316]
Annotated 3SS: [1107 1747]
SMsplice 5SS: [81]
SMsplice 3SS: [1107]
Partition function (log Z): -8.503202758610524

Sorted 5' Splice Sites (High to Low Probability):
Position 81: 0.955199110546534
Position 1316: 0.34736190717124565
Position 1013: 0.049563209550141825
Position 565: 0.04393218819609433
Position 135: 0.013653440837712064
Position 181: 0.007159965200436564
Position 444: 0.0034930693883623307
Position 551: 0.0030381886242665723
Position 1214: 0.0015952042391322034
Position 1457: 0.001549493598688672
Position 1180: 0.001463932491154665
Position 518: 0.0013877320662753672
Position 1134: 0.0008927253892117949
Position 1348: 0.000891310696655704
Position 1343: 0.0008044980410521653
Position 1619: 0.0007015634573871997
Position 1504: 0.0006689418056686741
Position 1461: 0.0002972792218896275
Position 1623: 0.00025147227354551586
Position 778: 0.0001669526476954213
Position 1396: 0.00016009757500629512
Position 1629: 0.00012136617581394235
Position 1799: 0.00011460352925822294
Position 784: 0.00011177968180080263
Position 183: 0.00010102641320897176
Position 706: 8.998954599268712e-05
Position 1573: 8.734937434329067e-05
Position 939: 8.580601300318085e-05
Position 1586: 5.047071388776882e-05
Position 1138: 4.999245854520552e-05
Position 449: 4.598334319159795e-05
Position 85: 4.112135885573146e-05
Position 90: 3.070331013317233e-05
Position 332: 2.9681358625658097e-05
Position 153: 2.615624655582808e-05
Position 140: 2.2753562113538832e-05
Position 1775: 2.1709082322581845e-05
Position 522: 1.9902697551555014e-05
Position 901: 1.9678752587655837e-05
Position 1222: 1.7616382884052235e-05
Position 185: 1.7565386003429065e-05
Position 1492: 1.573798023424311e-05
Position 315: 1.332046160308483e-05
Position 841: 1.2798850304328367e-05
Position 1664: 1.1912500837854344e-05
Position 334: 1.1075618653785674e-05
Position 480: 9.241277290540132e-06
Position 975: 9.118942999477529e-06
Position 1238: 8.100469761138665e-06
Position 276: 8.064768878159879e-06
Position 224: 8.000889904973585e-06
Position 965: 7.72000871424985e-06
Position 1600: 6.9184888670745155e-06
Position 1429: 6.580684050492537e-06
Position 1577: 6.446215959086214e-06
Position 1918: 6.3379515397477656e-06
Position 1489: 6.261029543969039e-06
Position 1384: 5.400397322289594e-06
Position 1361: 4.568852267608439e-06
Position 341: 4.345291584619111e-06
Position 909: 3.997202937392663e-06
Position 32: 3.924300186750074e-06
Position 75: 3.4989744256422036e-06
Position 69: 3.423408276359831e-06
Position 759: 3.176917824725817e-06
Position 911: 3.1107369284384258e-06
Position 473: 2.8446976757512244e-06
Position 369: 1.853320783315861e-06
Position 1364: 1.5331810430236025e-06
Position 1225: 1.471861612594102e-06
Position 127: 1.4242541992171981e-06
Position 1953: 1.3367067485642006e-06
Position 1530: 8.572832997082666e-07
Position 1552: 7.161941510110467e-07
Position 1590: 5.91254794702886e-07
Position 1784: 5.486790920623651e-07
Position 1739: 3.8710445646575354e-07
Position 406: 3.503841267395353e-07
Position 1661: 3.406916339887688e-07
Position 1923: 3.277929071282675e-07
Position 1536: 2.773820124896759e-07
Position 577: 2.3799903070067898e-07
Position 1717: 2.1778598873168932e-07
Position 92: 1.3591009846026954e-07
Position 187: 1.2462515493475496e-07
Position 1592: 1.194346270884247e-07
Position 1669: 1.1412695716783246e-07
Position 1583: 8.85225060134388e-08
Position 1742: 2.810802249103077e-08
Position 843: 2.3241555587295956e-08
Position 1465: 4.453082772860648e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1107: 0.6132458650173555
Position 1870: 0.214501145870197
Position 1846: 0.17596816343268226
Position 1241: 0.06079568637986179
Position 965: 0.04698409276151733
Position 193: 0.03546013401672626
Position 1747: 0.03504994782639699
Position 1903: 0.03252246715287765
Position 359: 0.03166871007131868
Position 518: 0.02471301790057174
Position 1900: 0.016648794833673587
Position 831: 0.016001430929874428
Position 891: 0.012975511927867889
Position 1849: 0.012638213777253028
Position 1134: 0.011448848687744505
Position 2005: 0.010868190401112223
Position 1536: 0.007428631700930999
Position 1923: 0.0072487251512085805
Position 1138: 0.007030134565911936
Position 907: 0.006408975115720347
Position 419: 0.006135026043798177
Position 560: 0.005756771082175928
Position 1261: 0.004953117908979121
Position 455: 0.00411805560404917
Position 1258: 0.003887857875005333
Position 1874: 0.0030019601247869747
Position 809: 0.0029147107811198325
Position 1438: 0.0028422651118070476
Position 728: 0.002647638421756227
Position 528: 0.0024156993418726815
Position 504: 0.0023320964421236555
Position 1489: 0.0018195997903624505
Position 680: 0.001558213353665636
Position 1812: 0.0015204940956246881
Position 213: 0.0011149271498189374
Position 210: 0.0008328609194281978
Position 636: 0.000649350688763644
Position 595: 0.0005902743355835666
Position 1408: 0.0005465777911629694
Position 1193: 0.0005391401110984387
Position 1749: 0.0004854879794907588
Position 261: 0.00035686706269639216
Position 550: 0.0003568398111914147
Position 640: 0.00034954429554728085
Position 392: 0.00034322897166566216
Position 1695: 0.0002990242488076533
Position 1614: 0.0002965092804524905
Position 1412: 0.00023596290764277568
Position 852: 0.00023084476082860526
Position 577: 0.00022394363338593357
Position 485: 0.00020562877462455817
Position 1675: 0.00019751665629740768
Position 1281: 0.00017601829965415808
Position 1727: 0.00017500498850857242
Position 2017: 0.0001427142769908145
Position 1583: 0.00011903922055155538
Position 732: 0.00011638739599379813
Position 1687: 0.00010269737220901728
Position 1517: 8.678610401808899e-05
Position 179: 8.549697531804629e-05
Position 909: 8.48452133558225e-05
Position 224: 8.382775457219234e-05
Position 1042: 7.157978532983912e-05
Position 1170: 6.883256650459487e-05
Position 1419: 6.805538920719338e-05
Position 443: 6.450011746991324e-05
Position 480: 6.149042841465172e-05
Position 1161: 4.987982003413066e-05
Position 687: 4.81242990101125e-05
Position 1375: 4.6837340946848315e-05
Position 264: 4.3228554987005917e-05
Position 1056: 4.01307865107509e-05
Position 1379: 3.8970474083660094e-05
Position 1936: 3.367930632059561e-05
Position 396: 2.4894322000655204e-05
Position 268: 2.3929902484104125e-05
Position 151: 1.92571232447019e-05
Position 706: 1.9044947755393062e-05
Position 931: 1.8002802069037785e-05
Position 1503: 1.760310372919057e-05
Position 935: 1.6151403233304404e-05
Position 1381: 1.4248000964113634e-05
Position 612: 1.4161737913689375e-05
Position 307: 1.3990244506991155e-05
Position 1178: 1.3063759628551405e-05
Position 1622: 1.3030901131713005e-05
Position 2024: 1.1848163516053143e-05
Position 713: 1.1730770980700246e-05
