Gene = UQCRQ
index = 1534
Annotated 5SS: [128 476]
Annotated 3SS: [308 927]
SMsplice 5SS: [132 476]
SMsplice 3SS: [308 927]
Partition function (log Z): -6.374321361521723

Sorted 5' Splice Sites (High to Low Probability):
Position 132: 0.8392771190178773
Position 476: 0.5156746811286551
Position 128: 0.14129247065720815
Position 1042: 0.012854851297171526
Position 101: 0.007751982752390335
Position 1149: 0.004450107345791571
Position 156: 0.0038078319414861003
Position 834: 0.0035437053425681673
Position 1296: 0.002032161407333094
Position 141: 0.0012734647590538235
Position 1088: 0.001164742230924557
Position 695: 0.0009256869840392285
Position 1121: 0.0006857356723789136
Position 704: 0.00043092062544532894
Position 575: 0.00026751390755952724
Position 146: 0.00021468714871179212
Position 136: 0.00014330676703287247
Position 469: 0.00014124431223890566
Position 466: 9.098430810232938e-05
Position 433: 8.95501170943548e-05
Position 1079: 6.417612939015104e-05
Position 728: 5.195876105229569e-05
Position 384: 3.823258983583927e-05
Position 1093: 3.648720968331763e-05
Position 1130: 2.345066302666606e-05
Position 1242: 2.344764504132238e-05
Position 361: 2.324181988577099e-05
Position 1318: 1.577620796441918e-05
Position 894: 1.317691309869885e-05
Position 755: 1.247765057963474e-05
Position 21: 1.1916409549880233e-05
Position 1322: 8.768086452428915e-06
Position 1049: 8.384806332797496e-06
Position 832: 8.21973946218352e-06
Position 107: 7.879549808585028e-06
Position 10: 7.876043649900128e-06
Position 1347: 7.813786231861008e-06
Position 1091: 6.318023874048282e-06
Position 629: 6.276132922881671e-06
Position 1229: 4.4608963100181454e-06
Position 1133: 3.790598679751349e-06
Position 1341: 3.1914414361457227e-06
Position 300: 3.03860505693227e-06
Position 453: 3.026274807067095e-06
Position 776: 2.8502086006882915e-06
Position 1286: 2.826155708352765e-06
Position 1397: 2.8043615056880912e-06
Position 333: 2.024947981148365e-06
Position 88: 1.8763698076558297e-06
Position 232: 1.7856849968083673e-06
Position 1236: 1.6234877788252614e-06
Position 788: 1.3619190864544783e-06
Position 1153: 1.2081145756811953e-06
Position 929: 1.1508766582229512e-06
Position 149: 9.986435350999057e-07
Position 480: 9.950016423864508e-07
Position 1219: 7.778216638601121e-07
Position 529: 7.441013656223644e-07
Position 1381: 7.128114748592802e-07
Position 1183: 6.367398633287629e-07
Position 896: 3.544800890572778e-07
Position 1165: 3.148291993863142e-07
Position 378: 3.089886185720673e-07
Position 1163: 3.019500730503047e-07
Position 971: 2.3634648812955545e-07
Position 585: 2.0821212124190928e-07
Position 154: 1.9058503339242861e-07
Position 160: 1.7092713627679438e-07
Position 885: 1.3083594762695578e-07
Position 752: 1.0962680280396627e-07
Position 34: 1.0400081252619907e-07
Position 225: 8.378355608485276e-08
Position 933: 7.410131609412065e-08
Position 742: 7.055246111635644e-08
Position 211: 6.826598237237504e-08
Position 1211: 5.3263294360699795e-08
Position 769: 3.8126542233764306e-08
Position 905: 1.8228001907009064e-08
Position 409: 1.1787681338025045e-08
Position 717: 1.0900568242172507e-08
Position 797: 9.16671140354193e-09
Position 767: 1.0391413705399915e-09
Position 938: 4.759971010095115e-10
Position 1266: 1.8103027184656094e-10
Position 936: 1.6910863650156865e-10
Position 289: 9.635671286785552e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 308: 0.6792963669500306
Position 927: 0.5452061221148178
Position 1441: 0.12183096739472574
Position 1465: 0.05250485601942757
Position 781: 0.03712226490116126
Position 969: 0.02201538219870808
Position 393: 0.013455142030969642
Position 784: 0.008194624692646039
Position 929: 0.006935114460131313
Position 274: 0.006392093650927784
Position 1156: 0.005664371850172534
Position 625: 0.004924803060742196
Position 742: 0.0037341082703469556
Position 421: 0.0028588390984242854
Position 1205: 0.0027272216022577816
Position 752: 0.0023217330120972636
Position 936: 0.002259416623768248
Position 1183: 0.0022472241026091646
Position 278: 0.0019141387619269275
Position 368: 0.001680793837292217
Position 1059: 0.0015489049160539567
Position 1370: 0.0012879530528325303
Position 1447: 0.001141221279618755
Position 1282: 0.0010124798544962352
Position 971: 0.0009824399238083667
Position 713: 0.0009822926267053628
Position 374: 0.0008092014318178187
Position 849: 0.0006560120625719753
Position 821: 0.0006170903535787107
Position 694: 0.0005631482547142835
Position 567: 0.0004660061116969221
Position 202: 0.00036887900036765856
Position 390: 0.00028468595764806064
Position 999: 0.00023269116603244822
Position 1091: 0.00022755033526908306
Position 1248: 0.00021854862869063858
Position 846: 0.0001725351734799134
Position 1414: 0.00016648396847905307
Position 1023: 0.00014692985305236363
Position 727: 0.0001227588718712763
Position 673: 0.00011427063256603084
Position 550: 0.00011273738456899392
Position 1253: 0.00011203326151559778
Position 1079: 0.00010178181408771345
Position 1404: 9.4435203214587e-05
Position 333: 6.599318313558373e-05
Position 992: 5.0543081585546025e-05
Position 986: 4.990609509722854e-05
Position 1219: 4.984125766580142e-05
Position 222: 4.7233124916746814e-05
Position 208: 4.254527934724197e-05
Position 1153: 3.87661206921814e-05
Position 1295: 3.782706931606069e-05
Position 1074: 3.469438997239923e-05
Position 225: 2.8919434575526517e-05
Position 1286: 2.7920073237054052e-05
Position 216: 2.6781329887265054e-05
Position 832: 2.6730310066161643e-05
Position 1192: 2.0674871391455573e-05
Position 1289: 1.8401285914371408e-05
Position 1211: 1.4107666902158479e-05
Position 505: 1.3985640521408818e-05
Position 520: 1.3029644788369822e-05
Position 526: 1.1805538018744573e-05
Position 453: 1.1304700307199568e-05
Position 523: 1.0363161308271022e-05
Position 480: 9.369146822952159e-06
Position 1101: 8.923102869538912e-06
Position 517: 8.023807265131553e-06
Position 1250: 7.711528945822475e-06
Position 797: 4.920593342435171e-06
Position 283: 4.526979531994556e-06
Position 211: 4.224234961128101e-06
Position 499: 2.496483898665352e-06
Position 788: 2.388579778661693e-06
Position 1076: 2.151091443832833e-06
Position 988: 1.7538524519374572e-06
Position 529: 1.476210806566568e-06
Position 977: 1.2858863419904879e-06
Position 979: 7.907035886968863e-07
Position 854: 6.634698459541929e-07
Position 856: 6.239713851867673e-07
Position 1381: 6.122752583898303e-07
Position 1341: 5.705815404858251e-07
Position 863: 3.6312077187733436e-07
Position 667: 1.5411262845134722e-07
Position 178: 1.4249349182484202e-07
Position 173: 8.892698234030175e-08
Position 88: 8.854588219950866e-08
Position 112: 1.7476061218730014e-09
Position 154: 1.15108106884494e-09
Position 118: 2.6012208137505127e-10
Position 136: 3.229072592147828e-12
Position 123: 1.067698176476858e-12
