Gene = SPRR2F
index = 1322
Annotated 5SS: [42]
Annotated 3SS: [762]
SMsplice 5SS: [42]
SMsplice 3SS: [762]
Partition function (log Z): -7.561436868429271

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9685217848440798
Position 612: 0.09812868850299374
Position 446: 0.05528130909661238
Position 349: 0.02543807121825998
Position 461: 0.01899848060009476
Position 690: 0.014586274890400448
Position 593: 0.008491619235065992
Position 243: 0.002189351671508868
Position 9: 0.0014463072758844234
Position 333: 0.000846328777028219
Position 112: 0.0006700537044776906
Position 351: 0.0003396209920951888
Position 648: 0.0002591590689806071
Position 289: 0.00023338467596607584
Position 997: 0.00017160567518882344
Position 87: 0.0001672741722688244
Position 473: 0.00014292536732056556
Position 117: 0.0001376105474517105
Position 901: 0.0001086758045456121
Position 218: 9.59616233442102e-05
Position 874: 8.789600133053753e-05
Position 137: 8.380275895389902e-05
Position 223: 7.904796866730997e-05
Position 388: 5.827624859221685e-05
Position 247: 5.4606213267429634e-05
Position 847: 5.319086922436842e-05
Position 211: 4.0243834770399155e-05
Position 521: 3.865498052943636e-05
Position 494: 3.6642774166841885e-05
Position 75: 3.505265677247731e-05
Position 830: 2.264765117483704e-05
Position 606: 1.2627360641375578e-05
Position 318: 1.2352274981354515e-05
Position 46: 1.0831038371648325e-05
Position 979: 9.905748551669857e-06
Position 832: 5.724622348941543e-06
Position 156: 4.517981663609744e-06
Position 390: 3.479186616679943e-06
Position 910: 3.4360382846063474e-06
Position 339: 3.3785345576796175e-06
Position 861: 3.3385260337187466e-06
Position 68: 3.107237800261223e-06
Position 225: 3.0088702987364483e-06
Position 903: 2.91415966429871e-06
Position 1162: 2.656877079046211e-06
Position 378: 2.4445914149683046e-06
Position 1199: 1.6748037828768062e-06
Position 398: 1.4760522818917173e-06
Position 950: 1.3756024835981141e-06
Position 60: 1.0490021275828531e-06
Position 575: 5.541764753245784e-07
Position 942: 3.993565127034436e-07
Position 981: 2.4668775362338093e-07
Position 524: 1.9228851935393294e-07
Position 320: 1.8382093535071745e-07
Position 735: 7.595465296836712e-08
Position 1128: 7.342631105192818e-08
Position 928: 6.763378392807905e-08
Position 342: 6.698466218515077e-08
Position 784: 5.4620627884685335e-08
Position 1219: 3.901792553650278e-08
Position 1139: 3.605798687535621e-08
Position 802: 2.2419288846884025e-08
Position 1308: 1.3347486342627813e-08
Position 1293: 5.3568738406782774e-09
Position 381: 4.678191736184469e-09
Position 744: 4.092988854836716e-09
Position 1312: 2.3786805130724254e-09
Position 1306: 5.984445142304333e-10
Position 1299: 5.338246525339536e-10
Position 1229: 2.776755156695478e-10
Position 1193: 6.399249261542717e-11
Position 1316: 4.304679220659675e-11
Position 1054: 2.7152061281308024e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 762: 0.8136019659420268
Position 332: 0.1717430630189421
Position 534: 0.1162821905263726
Position 722: 0.02007881670987991
Position 378: 0.013537735452386441
Position 506: 0.00806202597193941
Position 796: 0.007276124529983869
Position 491: 0.0069442601522532
Position 973: 0.005785803782917687
Position 348: 0.004879702618280379
Position 799: 0.004011802372201068
Position 423: 0.003817768681401072
Position 1062: 0.0027530214320396025
Position 1198: 0.002430075595247754
Position 200: 0.002404653963811638
Position 1124: 0.0018925095928311387
Position 211: 0.0017034679414626294
Position 345: 0.0012637918468292942
Position 1175: 0.0009303642770215262
Position 847: 0.0006344568412746751
Position 216: 0.0006313023646143068
Position 108: 0.0005607740506591086
Position 667: 0.0005003773583595287
Position 910: 0.0004296738869497186
Position 802: 0.0004166255200069064
Position 925: 0.0003969679379685885
Position 874: 0.000359996742109779
Position 928: 0.0003245244430553158
Position 1155: 0.0003047781773670783
Position 156: 0.00029559750321198096
Position 171: 0.0002898796907110619
Position 1087: 0.0002706685860395476
Position 901: 0.00025323921339773746
Position 536: 0.00017186663366419483
Position 1349: 0.00016683812131464978
Position 1380: 0.0001577000277108255
Position 275: 0.00014109481730269463
Position 701: 0.00012194477978067009
Position 1284: 0.00012058106527525652
Position 238: 9.239279057400868e-05
Position 780: 9.146584909861254e-05
Position 582: 7.631232676594897e-05
Position 563: 7.519632163542679e-05
Position 1161: 6.338946437046004e-05
Position 606: 5.47886485168778e-05
Position 1204: 4.5588571603633524e-05
Position 991: 4.2620035872417174e-05
Position 1019: 4.119952249840171e-05
Position 770: 3.9799046010894e-05
Position 979: 3.264159162491896e-05
Position 854: 3.224703681877654e-05
Position 993: 3.108692177215363e-05
Position 777: 2.917235831514122e-05
Position 1235: 2.8600858246943854e-05
Position 436: 2.2907171118835823e-05
Position 820: 2.1185841058462412e-05
Position 243: 1.7343210907949196e-05
Position 1095: 1.6282268897089502e-05
Position 637: 1.61486862422787e-05
Position 272: 1.377013374357864e-05
Position 646: 1.1770681952720152e-05
Position 937: 1.1492388212955429e-05
Position 593: 9.350810068199669e-06
Position 1105: 7.590738756170606e-06
Position 1036: 7.498089562332082e-06
Position 112: 7.4970965145604966e-06
Position 1242: 5.607503529990626e-06
Position 934: 4.9198987983903486e-06
Position 218: 4.786147071866514e-06
Position 454: 3.7445371656851848e-06
Position 811: 3.7010621436567275e-06
Position 442: 3.618570451824665e-06
Position 1331: 3.2123212271872648e-06
Position 573: 2.5485545497057837e-06
Position 177: 2.31447421806395e-06
Position 997: 2.2973100644518744e-06
Position 674: 1.3914945674440973e-06
Position 1030: 1.2349608994824344e-06
Position 240: 1.20099045751938e-06
Position 575: 9.392413307432847e-07
Position 1009: 9.269874930839719e-07
Position 612: 7.859880087356726e-07
Position 1003: 7.572803958987394e-07
Position 289: 6.713238505674307e-07
Position 808: 6.341828411409522e-07
Position 259: 5.168277314361728e-07
Position 222: 4.1005885015124124e-07
Position 883: 3.3512560650512784e-07
Position 856: 2.093458505780385e-07
Position 450: 1.9788591156284643e-07
Position 1022: 1.9733093932894077e-07
Position 1250: 1.8683335952147151e-07
Position 619: 1.6180107106165066e-07
Position 355: 1.5921541520926625e-07
Position 623: 1.5645975777292689e-07
Position 1286: 1.3116696320789187e-07
Position 616: 8.317889118415049e-08
Position 1257: 7.574784973843438e-08
Position 1253: 7.072352220325015e-08
Position 1219: 6.019523789162127e-08
Position 1210: 5.838031719677951e-08
Position 247: 4.7505528502251915e-08
Position 1215: 3.963185679801645e-08
Position 1262: 2.821661790369013e-08
Position 252: 2.3745849978754116e-08
Position 648: 2.1154580894835207e-08
Position 179: 1.9944380885932517e-08
Position 1244: 1.7716806733679306e-08
Position 1109: 1.462193008131316e-08
Position 357: 3.16662693070893e-09
Position 1259: 2.613912844281184e-09
