Gene = AL929472.1
index = 68
Annotated 5SS: [14]
Annotated 3SS: [1623]
SMsplice 5SS: [781]
SMsplice 3SS: [1616]
Partition function (log Z): -14.25367600719121

Sorted 5' Splice Sites (High to Low Probability):
Position 781: 0.2849681696357206
Position 353: 0.26142494254310517
Position 142: 0.20126076822219807
Position 1051: 0.10224251338562809
Position 360: 0.0594666505346113
Position 652: 0.029157556193667625
Position 387: 0.0194401674057956
Position 1109: 0.01152318261271593
Position 371: 0.009288988106377224
Position 1496: 0.009022598578923574
Position 178: 0.008585959213870696
Position 1040: 0.0062959507762865834
Position 769: 0.002111629656848254
Position 498: 0.0009672562972106408
Position 294: 0.0009199868755876602
Position 76: 0.000889047276867443
Position 1313: 0.0006135988304118679
Position 1319: 0.0005701234254839265
Position 1498: 0.0004779693848160729
Position 231: 0.00042617731524539107
Position 913: 0.00038227925540905
Position 919: 0.0003526172223770004
Position 247: 0.0002428454467775368
Position 620: 0.0002085336891325304
Position 1399: 0.00020643420388746428
Position 364: 0.00019809274682337324
Position 254: 0.00018322726464987049
Position 135: 0.00018009142201840263
Position 608: 0.0001704901355800496
Position 1124: 0.00011530321751739182
Position 891: 0.0001136823127016823
Position 1131: 9.809527777278634e-05
Position 274: 9.687949486883115e-05
Position 342: 8.211161775071382e-05
Position 577: 7.13162565860182e-05
Position 282: 6.101555449741507e-05
Position 1091: 5.523082521157399e-05
Position 1113: 5.4320485651943975e-05
Position 78: 4.923952447928971e-05
Position 18: 4.804149380665213e-05
Position 564: 4.0279378175870636e-05
Position 158: 3.799809592677895e-05
Position 514: 3.3497750736531556e-05
Position 533: 2.8394442660587042e-05
Position 1345: 1.937870091545529e-05
Position 785: 1.781103257916193e-05
Position 834: 1.4903603673877484e-05
Position 70: 1.4544725420048272e-05
Position 1218: 1.415531714025119e-05
Position 962: 1.1227558677852056e-05
Position 1433: 9.39525297968891e-06
Position 976: 6.772340199484288e-06
Position 1198: 6.5206610238572124e-06
Position 520: 5.437589315881006e-06
Position 1211: 3.59390318942437e-06
Position 716: 3.572733943229303e-06
Position 27: 3.1730652107481067e-06
Position 302: 3.1711343672969e-06
Position 517: 3.125660341376589e-06
Position 973: 2.5721086109222884e-06
Position 1390: 2.3804699387232204e-06
Position 219: 2.292511582249818e-06
Position 103: 2.2707901784321707e-06
Position 923: 2.0138249100049696e-06
Position 1074: 1.292437851547201e-06
Position 1481: 1.1727351970038967e-06
Position 1410: 1.0341694365285533e-06
Position 910: 7.318064173933027e-07
Position 916: 5.756610752354814e-07
Position 756: 5.046301974798272e-07
Position 796: 3.4377209486748227e-07
Position 463: 3.417271719486533e-07
Position 1244: 3.2522900233059303e-07
Position 1269: 3.152272376010674e-07
Position 1055: 2.5749113228489084e-07
Position 1187: 2.0089234035375896e-07
Position 1068: 1.842455381001367e-07
Position 1167: 1.553749336909654e-07
Position 1420: 7.759857700628736e-08
Position 1145: 7.505227319665995e-08
Position 1274: 4.639705224292325e-08
Position 1122: 4.381905563074918e-08
Position 1418: 4.0285841499072944e-08
Position 1221: 2.6913677390373426e-08
Position 719: 2.3018535660590523e-08
Position 1338: 1.7158695728497516e-08
Position 1147: 3.972183494229372e-09
Position 451: 2.684684129527793e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1616: 0.38225416368226967
