Gene = Ostgamma
index = 1350
Annotated 5SS: [ 210 1046 1287]
Annotated 3SS: [ 318 1123 1351]
SMsplice 5SS: [ 210 1046 1287]
SMsplice 3SS: [ 318 1123 1351]
top_k =  100
Partition function (log Z): 1.2469823292056295

Sorted 5' Splice Sites (High to Low Probability):
Position 1046: 0.9972769328638085
Position 1287: 0.9449933843189471
Position 210: 0.7612851414586879
Position 817: 0.09161427524004645
Position 411: 0.010458782629509146
Position 162: 0.005960816852047251
Position 214: 0.001417133086591874
Position 66: 0.0010253312197647433
Position 1274: 0.000694398956718081
Position 491: 0.0006371279142079988
Position 237: 0.0003755134079511591
Position 1248: 0.00028415193223225706
Position 1291: 0.00023180188980592326
Position 154: 0.0002238714705957099
Position 75: 0.00022169900167512622
Position 1057: 0.0001923273795233874
Position 91: 0.00018966673732181098
Position 1064: 0.0001532587758038268
Position 1211: 0.00012449773242778362
Position 601: 0.00011978296877404319
Position 1015: 8.446482798757012e-05
Position 1259: 7.353884567741296e-05
Position 94: 6.000713144097739e-05
Position 1018: 5.719370605307653e-05
Position 170: 5.159739950460683e-05
Position 1038: 1.878184975633185e-05
Position 1216: 1.7111746518201696e-05
Position 1252: 1.6076295010185615e-05
Position 1033: 1.3933060909602425e-05
Position 1228: 1.1890741369489216e-05
Position 577: 8.615811662085106e-06
Position 448: 7.207732274912458e-06
Position 402: 7.105859377099594e-06
Position 7: 6.998775644136888e-06
Position 226: 3.9951818431701424e-06
Position 102: 2.240499891440881e-06
Position 85: 7.185429353792088e-08
Position 165: 5.323280081052327e-08
Position 824: 3.2962995410204633e-08
Position 218: 2.29120426232491e-08
Position 301: 1.4828983077098662e-08
Position 290: 1.2356666504518531e-08
Position 415: 6.465384148633877e-09
Position 343: 3.3929014556228336e-09
Position 974: 1.7323600146716517e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1123: 0.9996826528097935
Position 1351: 0.9376293956804524
Position 318: 0.7301087662330028
Position 892: 0.1141486330883998
Position 262: 0.014483056260570613
Position 1367: 0.007194052350685008
Position 870: 0.0025624296389949474
Position 1005: 0.0016034917160324164
Position 266: 0.0014364602463397315
Position 657: 0.0013800900981606001
Position 121: 0.0012502096405556725
Position 343: 0.0011979801009370978
Position 486: 0.0011281347068852125
Position 1419: 0.0009249402710410835
Position 476: 0.0008399798772614456
Position 494: 0.0007813779451217621
Position 402: 0.00047329376389834406
Position 1329: 0.0004040448729411085
Position 1379: 0.00027862249217249836
Position 286: 0.00012552495571559495
Position 375: 7.412357223712222e-05
Position 1176: 6.649696025592163e-05
Position 1390: 6.424387345447687e-05
Position 249: 3.878992824789311e-05
Position 1266: 1.834678882744971e-05
Position 1272: 1.5707353566157143e-05
Position 1432: 5.268071830285456e-06
Position 189: 1.7650838893926383e-06
Position 140: 1.3606002778781874e-06
Position 151: 1.1563703034034355e-06
Position 274: 1.9638061565294858e-07
Position 165: 9.849727947655191e-08
Position 94: 8.951397593128432e-08
Position 91: 7.878893263123417e-08
Position 209: 1.3819802667913008e-08
Position 1193: 2.6873300456231364e-09
