Gene = RpIIIC53
index = 1432
Annotated 5SS: [415 854 995]
Annotated 3SS: [ 473  925 1046]
SMsplice 5SS: [415 854 995]
SMsplice 3SS: [ 473  925 1046]
top_k =  100
Partition function (log Z): -0.22847110694620765

Sorted 5' Splice Sites (High to Low Probability):
Position 415: 0.9583868430357749
Position 854: 0.9204857748244797
Position 995: 0.8712897317974928
Position 1372: 0.025686348268230543
Position 261: 0.017359335940104626
Position 1152: 0.01710275869593556
Position 374: 0.013580205022503294
Position 563: 0.009987090994595039
Position 240: 0.008153337559151454
Position 1629: 0.003433748273803578
Position 1645: 0.0031122113061064945
Position 342: 0.0022591975841473547
Position 419: 0.0018870036704065384
Position 32: 0.001138983367039469
Position 398: 0.0007151971645101701
Position 1388: 0.000645020937805515
Position 29: 0.0005023112929973336
Position 1637: 0.00038680859268608195
Position 858: 0.0002773941351977644
Position 554: 0.00027093704978362515
Position 17: 0.00018080884846795564
Position 686: 0.00018038058592519468
Position 156: 8.731743123143108e-05
Position 3: 6.028800945879872e-05
Position 34: 5.4948234727492194e-05
Position 643: 4.450380419234074e-05
Position 276: 3.158758013175332e-05
Position 557: 3.113926382690047e-05
Position 1126: 2.213679914439946e-05
Position 524: 2.0110484701420682e-05
Position 651: 1.777540222787737e-05
Position 422: 1.0109918195240815e-05
Position 270: 9.155589170737843e-06
Position 19: 7.832031302853305e-06
Position 244: 7.683553256968514e-06
Position 696: 7.58661390211584e-06
Position 231: 5.722919732537126e-06
Position 265: 4.3296178267376785e-06
Position 1131: 3.6429903137180557e-06
Position 142: 1.1553405583633301e-08
Position 203: 8.210220925041343e-09
Position 974: 1.4432271730033525e-10
Position 771: 4.825895252630026e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 473: 0.9978870698886771
Position 925: 0.913078927500967
Position 1046: 0.8102642535494756
Position 1058: 0.052829559776167344
Position 1453: 0.027660974715887177
Position 1202: 0.019073112138847156
Position 1078: 0.00637086992630321
Position 631: 0.005140633023938032
Position 312: 0.004316327380725007
Position 1711: 0.0038240550622769573
Position 1701: 0.0032042721412874307
Position 1066: 0.0031463101180198906
Position 628: 0.0016884892167724794
Position 945: 0.0015260788150820365
Position 95: 0.0013585654364160727
Position 609: 0.001250372309101353
Position 1126: 0.0012200468184822605
Position 625: 0.0007650343593828
Position 1564: 0.0005959749477821515
Position 658: 0.0005805001940063797
Position 1523: 0.0004574095386965533
Position 108: 0.0003511275184509474
Position 65: 0.0001570033284319419
Position 292: 0.0001385270293166501
Position 483: 0.00010310764962328099
Position 650: 0.00010030677931378927
Position 942: 8.428666553573136e-05
Position 690: 6.63512118540252e-05
Position 504: 6.281234431781309e-05
Position 707: 2.9831192945639317e-05
Position 993: 1.7309860171077293e-05
Position 492: 1.681001816586759e-05
Position 1170: 1.6273710632489257e-05
Position 1235: 1.605624758119539e-05
Position 693: 1.433744828778389e-05
Position 215: 1.0421867393090807e-05
Position 155: 9.226027878504976e-06
Position 126: 8.216963595401002e-06
Position 964: 3.861439033283673e-06
Position 133: 2.614937615501184e-06
