Gene = Sema5c
index = 1484
Annotated 5SS: [  484  1036  1890  9967 10244 10766 11032 11913 12932 13152 13421]
Annotated 3SS: [  871  1789  9758 10069 10633 10828 11105 12020 12995 13217 13476]
SMsplice 5SS: [  810  1036  1890  9967 10244 10766 11032 11913 12932 13152 13421]
SMsplice 3SS: [  871  1789  9758 10069 10633 10828 11105 12020 12995 13217 13476]
top_k =  100
Partition function (log Z): 63.0644066473003

Sorted 5' Splice Sites (High to Low Probability):
Position 13421: 0.9999939573896294
Position 13152: 0.9998753026552363
Position 11032: 0.9997321356757584
Position 10766: 0.9995276217661788
Position 12932: 0.9989838994232099
Position 9967: 0.9947107905074589
Position 10244: 0.9910059048398044
Position 1036: 0.9900876517133315
Position 11913: 0.9763933430340407
Position 1890: 0.9474765375373273
Position 810: 0.6167104376505834
Position 484: 0.381704630609512
Position 13670: 0.07953352859222936
Position 11551: 0.045387981968592596
Position 12495: 0.04057464903918347
Position 10559: 0.03103150267747199
Position 270: 0.030705954272237906
Position 3073: 0.02656198020044579
Position 13923: 0.023409723073206695
Position 4163: 0.015166344800184625
Position 14025: 0.014956594769211816
Position 89: 0.014115486603390572
Position 3945: 0.011382325828632781
Position 11891: 0.010363895916542274
Position 2222: 0.010306872116597289
Position 13611: 0.008858052714250952
Position 13879: 0.008702412538680253
Position 108: 0.00844478192702089
Position 10466: 0.008414056480865219
Position 5652: 0.007128099042021749
Position 1873: 0.006496493325925543
Position 1049: 0.005848296317801486
Position 11952: 0.0052427073943381005
Position 2235: 0.00486152212258989
Position 9905: 0.004345860882221714
Position 13689: 0.004318522599493394
Position 11926: 0.0040632314683901145
Position 4219: 0.003969114191602812
Position 12314: 0.0037345463029588317
Position 13931: 0.003513808278409893
Position 801: 0.0034441932822231697
Position 10248: 0.0033100694381520547
Position 10278: 0.0031503267821197606
Position 4167: 0.0029031693009381404
Position 11516: 0.002856938689979703
Position 540: 0.0026114930460000535
Position 13866: 0.0022314930114260105
Position 313: 0.0021262951747642134
Position 2065: 0.0021021493062285887
Position 12269: 0.0020203352595718517
Position 1910: 0.0016872697502995193
Position 10287: 0.0014682095997732864
Position 13532: 0.0013961398351051732
Position 560: 0.0013393511337974162
Position 11234: 0.0011999353152896486
Position 11917: 0.0011769446640513964
Position 14072: 0.0010776496545448471
Position 2424: 0.0010703044602428657
Position 1260: 0.0010490906790242788
Position 11457: 0.0010217650549692427
Position 2504: 0.0008555994733016951
Position 611: 0.0008212553380356911
Position 779: 0.0008117052968376414
Position 13767: 0.0007931934609091206
Position 12409: 0.0007829392402750537
Position 13724: 0.0007464530143576374
Position 1347: 0.0006850515374902626
Position 56: 0.000581885643003594
Position 1219: 0.0005026970644243019
Position 2617: 0.0004811279431727726
Position 11255: 0.00046388406867145147
Position 625: 0.0004432521049264369
Position 13597: 0.00039160175447598575
Position 773: 0.0003783184595941863
Position 12706: 0.00033763010571717184
Position 790: 0.00033280477254202327
Position 10485: 0.0002987135780058556
Position 11935: 0.000258943099141735
Position 43: 0.0002544018347197209
Position 60: 0.0002538628469518169
Position 428: 0.00020668353906924967
Position 11783: 0.0002015608573777052
Position 1537: 0.00019614071879305833
Position 1131: 0.0001933824584143401
Position 144: 0.00018219963035337298
Position 10413: 0.00017455296879458464
Position 298: 0.00016413465937897395
Position 11036: 0.00014242962099858246
Position 12909: 0.00012618915842276817
Position 1373: 0.00012485295615414404
Position 10984: 0.00012020019078934836
Position 991: 8.149334091621908e-05
Position 12919: 8.134301669278197e-05
Position 10229: 7.148029352274333e-05
Position 13144: 6.5881166033165e-05
Position 304: 6.329429707912979e-05
Position 10770: 5.351885849274517e-05
Position 10881: 5.13291231487323e-05
Position 1205: 4.8539733269044e-05
Position 2448: 4.788883831576129e-05
Position 9918: 4.781295907803567e-05
Position 1264: 4.7220417061947225e-05
Position 10755: 4.241015420744941e-05
Position 13156: 4.1629641015177696e-05
Position 9953: 3.7401400550459164e-05
Position 307: 2.564295114312856e-05
Position 250: 2.2969509119863377e-05
Position 13853: 1.549986371886122e-05
Position 9883: 1.4532170650444522e-05
Position 288: 7.868524918346996e-06
Position 276: 5.121658945754084e-06
Position 13327: 3.914453553096927e-06
Position 13107: 3.868531076013129e-06
Position 69: 3.7928886972857446e-06
Position 13804: 3.2570052797230253e-06
Position 13425: 3.229591768019368e-06
Position 13869: 2.9613210407355846e-06
Position 13089: 2.7451215227512387e-06
Position 11026: 2.6940258349363414e-06
Position 13748: 2.3926637010040004e-06
Position 401: 2.2928831684196515e-06
Position 13404: 1.137465674283287e-06
Position 173: 1.0572732773670939e-06
Position 13131: 9.257944826515825e-07
Position 150: 8.679773606617382e-07
Position 13114: 6.304597160593007e-07
Position 13396: 5.907993164410777e-07
Position 12445: 4.3679062224426785e-07
Position 11452: 2.584848693719126e-07
Position 13374: 2.5658398751357354e-07
Position 1163: 2.0111421399348697e-07
Position 11258: 1.5382633693253364e-07
Position 11244: 1.4596224095483996e-07
Position 11215: 1.3560460846141544e-07
Position 13332: 8.195240623400844e-08
Position 11426: 4.3019398534350454e-08
Position 11334: 3.0251724271615775e-08
Position 11488: 2.308259135358777e-08
Position 12911: 1.1127380243365701e-09
Position 12598: 3.8198691597984764e-11
Position 12649: 8.827025775282574e-12
Position 13133: 8.087364363552984e-13
Position 13104: 4.080200893088809e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 13476: 0.9999963666619861
Position 9758: 0.9994869503443405
Position 13217: 0.9991770424482991
Position 12020: 0.9990519016352221
Position 11105: 0.9922107916589378
Position 10633: 0.9910587377677763
Position 10828: 0.9830893150596546
Position 1789: 0.9804061256385377
Position 10069: 0.9676806667803362
Position 871: 0.9234211050225478
Position 12995: 0.8613970530590426
Position 13004: 0.13859712664620652
Position 13984: 0.0821013454809265
Position 11607: 0.04661318076262965
Position 554: 0.03723660852523141
Position 14180: 0.03635394227440956
Position 10360: 0.0333843718125734
Position 10132: 0.03012568021898519
Position 945: 0.0237605041554436
Position 12552: 0.0218305081591302
Position 597: 0.019744441139213444
Position 12555: 0.016645607650466635
Position 3841: 0.015650846057394495
Position 904: 0.01516930253868231
Position 719: 0.015025318753091788
Position 10842: 0.014412165652629821
Position 3758: 0.014076894839168992
Position 14150: 0.013729610591799063
Position 670: 0.012704048438585712
Position 10399: 0.010723427289316143
Position 2685: 0.008292520418398334
Position 948: 0.008099213126095465
Position 2526: 0.006316215646003928
Position 13909: 0.005887232494287024
Position 5433: 0.005068364985917258
Position 2862: 0.004750993759976108
Position 13950: 0.0044920651464930225
Position 13724: 0.004099087009832849
Position 12515: 0.004005897666623162
Position 11125: 0.003312943829395531
Position 674: 0.003122765835598276
Position 11615: 0.0026377649842838683
Position 3976: 0.0024655636170964283
Position 11161: 0.0023978684391517567
Position 369: 0.002330554818542231
Position 12396: 0.0022424493625189273
Position 5542: 0.0020597340561044905
Position 12584: 0.0019233269522784195
Position 13670: 0.0018547723624959423
Position 10387: 0.0017347606603396255
Position 3029: 0.0014571947966981605
Position 1218: 0.0012490706887853522
Position 3936: 0.0012276496076984702
Position 10918: 0.0011979861110935747
Position 401: 0.0010601887356543693
Position 13992: 0.0009872561301237633
Position 12045: 0.0009480983647578194
Position 11111: 0.0008986877430905659
Position 10515: 0.0008903807763787918
Position 10651: 0.0007793507982001978
Position 13280: 0.0007279676693739816
Position 2052: 0.0006068254712583475
Position 11184: 0.0005606843456589494
Position 10028: 0.0004821931138741068
Position 1156: 0.00045219500169386566
Position 9358: 0.00039325484758634795
Position 1106: 0.0003598299127396002
Position 11022: 0.0003440653483820953
Position 10581: 0.0003288565705760247
Position 14246: 0.000294213812175525
Position 10452: 0.00028150628693010484
Position 328: 0.00021596359676701157
Position 10810: 0.00018687068293137254
Position 10844: 0.00017916077339903526
Position 448: 0.00016153131531855124
Position 14309: 0.0001522114403569596
Position 334: 0.0001446486125470649
Position 956: 0.0001242725342472488
Position 317: 0.00012172746685073514
Position 10851: 0.00011969489507719042
Position 10075: 0.00011641158135612701
Position 10320: 0.00010811217662084859
Position 10812: 0.00010714611127225808
Position 10085: 9.409052411373755e-05
Position 10417: 9.195598365221479e-05
Position 9230: 8.697905173514992e-05
Position 765: 8.331035365335801e-05
Position 10563: 6.71814663878076e-05
Position 13305: 6.460501112519423e-05
Position 10021: 6.078498448962338e-05
Position 694: 4.142140439870134e-05
Position 10585: 4.12541040172444e-05
Position 307: 3.7839153776878196e-05
Position 10140: 3.122246043660678e-05
Position 2868: 2.4086887683473195e-05
Position 1727: 2.1441647445636268e-05
Position 10885: 1.9571117065477334e-05
Position 13332: 1.7074897071007565e-05
Position 10317: 1.68767232056182e-05
Position 2268: 1.6864495428182325e-05
Position 10976: 1.636398549263125e-05
Position 8630: 1.4702096680219104e-05
