Gene = nvd
index = 1826
Annotated 5SS: [  337 23857 41197 76101 76329]
Annotated 3SS: [23462 40892 75988 76154 76388]
SMsplice 5SS: [  337  1059  5579  5766 76101 76329]
SMsplice 3SS: [  401  5438  5642 75831 76154 76388]
top_k =  100
Partition function (log Z): -94.55678786360076

Sorted 5' Splice Sites (High to Low Probability):
Position 337: 0.9865371130372687
Position 5766: 0.9813188359017968
Position 5579: 0.9617794688987902
Position 1059: 0.49417994410718863
Position 6170: 0.17942797185872572
Position 651: 0.15550225587637717
Position 6016: 0.0584646447502694
Position 5972: 0.0036878290628436787
Position 6177: 0.0034980347274345893
Position 409: 0.001333389150739812
Position 20: 0.0011806106605028613
Position 353: 0.0009596471183297876
Position 341: 0.0009314085814758022
Position 554: 0.0008184074952565443
Position 357: 0.00017024453912472994
Position 1099: 6.008010200254591e-05
Position 141: 3.416212377530109e-05
Position 370: 3.146518891863517e-05
Position 381: 1.85181450467211e-05
Position 470: 1.2713988101607229e-05
Position 136: 1.264868041752331e-05
Position 402: 1.1238860482026661e-05
Position 459: 1.1161538935081524e-05
Position 248: 9.670501173328531e-06
Position 122: 1.0825151226619146e-06
Position 97: 5.435463751453566e-07
Position 120: 2.616314013533524e-07
Position 25: 1.3492131078244153e-07
Position 595: 1.1386687247729924e-07
Position 103: 9.866129865214166e-08
Position 27: 9.267705418852219e-08
Position 48: 8.241065414595673e-08
Position 149: 1.4234416324821295e-08
Position 146: 4.342081143880605e-09
Position 266: 3.1448365077881836e-09
Position 203: 3.588620786176435e-10
Position 259: 2.9721858090191035e-10
Position 216: 1.733841079617769e-10
Position 339: 1.1470037494150993e-10
Position 283: 9.457928382056758e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5642: 0.961104159193634
Position 5438: 0.7773944898474405
Position 5882: 0.6361992784362183
Position 401: 0.5759499514898818
Position 5298: 0.2221391939079857
Position 6256: 0.18645535015112713
Position 5836: 0.16724847135819595
Position 5839: 0.1546581306823696
Position 937: 0.0370208287655789
Position 6223: 0.025926807625078305
Position 6071: 0.022791370006107696
Position 6090: 0.020143350518660074
Position 5863: 0.013649867228463243
Position 528: 0.010927024042718416
Position 850: 0.00731732846162359
Position 902: 0.004640326120951134
Position 558: 0.003258544542867127
Position 992: 0.00291090836516949
Position 1182: 0.00021041422864136137
Position 2185: 2.452210015516782e-05
Position 1311: 1.3400734925917361e-05
Position 174: 5.439358890945062e-06
Position 771: 1.971744984922889e-06
Position 1019: 1.9229435972479633e-06
Position 203: 2.193372539125581e-07
Position 749: 1.7853943375727347e-07
Position 879: 1.6139135194664664e-07
Position 280: 5.8578942782712646e-08
Position 228: 5.667309854275316e-08
Position 248: 5.635476172860685e-08
Position 141: 3.656127119646454e-08
Position 459: 1.8478264746196107e-08
Position 325: 1.8027308777899914e-08
Position 564: 1.793638190495702e-08
Position 413: 1.113526009969401e-08
Position 429: 1.1073022053515101e-08
Position 146: 1.9435181966135496e-09
