Gene = tow
index = 1915
Annotated 5SS: [ 151 1914 3592 3703 5060 5254]
Annotated 3SS: [1575 3407 3644 4391 5114 5421]
SMsplice 5SS: [ 246 3592 3703 5060 5254]
SMsplice 3SS: [3407 3644 4391 5129 5421]
top_k =  100
Partition function (log Z): 4.799580745938343

Sorted 5' Splice Sites (High to Low Probability):
Position 5254: 0.9999818756854346
Position 5060: 0.9873495604474927
Position 3592: 0.978964780384292
Position 3703: 0.8599116557285481
Position 1914: 0.3272245247182461
Position 246: 0.2694662215806406
Position 324: 0.16414355642470646
Position 3114: 0.14282310575371987
Position 151: 0.13999056164009555
Position 4042: 0.09467501873654982
Position 6091: 0.06863204279721148
Position 990: 0.029642073814228127
Position 6265: 0.028832859209983446
Position 688: 0.02882706431376269
Position 652: 0.023237835796947527
Position 2371: 0.017137761520374276
Position 3845: 0.016280879504630086
Position 2519: 0.011560846705404297
Position 969: 0.011333848184230225
Position 4296: 0.008283635613057016
Position 1187: 0.007745565832442061
Position 4998: 0.00772955186205469
Position 218: 0.005604365024194436
Position 3880: 0.0043170439162936005
Position 4213: 0.004228336327206488
Position 1299: 0.002899474013017831
Position 5805: 0.002301256456863428
Position 6050: 0.0020903036610289165
Position 4258: 0.0019232652072804254
Position 1985: 0.0019013929235989165
Position 5485: 0.0017116337636205862
Position 5064: 0.001545706502016555
Position 1272: 0.00133333080077662
Position 5541: 0.0013225030307234228
Position 3596: 0.000686930579378671
Position 1315: 0.0004917730055253892
Position 949: 0.0003749605778169267
Position 5661: 0.0002362654313136763
Position 633: 0.00021402819404476128
Position 1192: 0.0001979315233943519
Position 5646: 9.307511823902221e-05
Position 1884: 4.4273394516915e-05
Position 1918: 4.131473240837172e-05
Position 5248: 6.850735172310115e-06
Position 3772: 4.770805924585801e-06
Position 5270: 3.877932608164858e-06
Position 5296: 1.0137788722763977e-07
Position 5258: 9.958341496574666e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3407: 0.9668597089385312
Position 4391: 0.9461508755420158
Position 5421: 0.9411726358190242
Position 3644: 0.9111880053474206
Position 5129: 0.662232419254182
Position 5114: 0.32656806700418506
Position 2250: 0.1565368485991066
Position 6158: 0.06929540470850154
Position 5386: 0.05553728675205594
Position 3928: 0.0500903455455848
Position 6323: 0.02883285920998343
Position 1360: 0.024691602015411613
Position 4295: 0.023086089453996102
Position 3666: 0.018725149193272415
Position 2268: 0.016739228740188197
Position 5180: 0.008517098898730598
Position 5911: 0.008444718528753557
Position 3659: 0.007218841650130798
Position 2154: 0.0068903801830436885
Position 3286: 0.006536447848290259
Position 3801: 0.004448764216580787
Position 3891: 0.0027659758472168357
Position 1309: 0.0021293118696064667
Position 1032: 0.001438062268728001
Position 3184: 0.0014353516475295854
Position 6161: 0.0013558569762574754
Position 3806: 0.001322339733023733
Position 3967: 0.001313659506052417
Position 3772: 0.0010034693952958441
Position 5193: 0.000859388764135175
Position 1635: 0.0008211299183412558
Position 1365: 0.0007394533093173102
Position 4414: 0.0007321796652435495
Position 5334: 0.0005100927009256432
Position 3663: 0.00032905150991037344
Position 2184: 0.0003163856148180326
Position 1606: 0.00018789569422387155
Position 850: 0.00016823891830583976
Position 316: 8.798531091602233e-05
Position 6117: 7.108477348134398e-05
