Gene = dsx-c73A
index = 1679
Annotated 5SS: [ 1812 25192 25382 27791]
Annotated 3SS: [25042 25302 27639 27858]
SMsplice 5SS: [ 1812 18024 25192 25382 27791]
SMsplice 3SS: [17822 25042 25256 27639 27858]
top_k =  100
Partition function (log Z): -23.82583161078482

Sorted 5' Splice Sites (High to Low Probability):
Position 1812: 0.9999999823786071
Position 450: 0.40122379859385643
Position 228: 0.18568963336128275
Position 147: 0.14569203446119286
Position 18043: 0.14090057846338802
Position 1308: 0.08283947617465104
Position 206: 0.012980106959672144
Position 577: 0.007890749415183333
Position 114: 0.006891807698475009
Position 108: 0.006869128921617582
Position 523: 0.005726461672580085
Position 110: 0.005093808985946466
Position 1291: 0.0037913450788377386
Position 13499: 0.000369848721326492
Position 126: 1.666802272446981e-05
Position 118: 1.5149024959938274e-05
Position 219: 1.0196289717574682e-05
Position 21: 6.032506648336949e-06
Position 141: 5.157444564571868e-06
Position 173: 2.973767258540488e-06
Position 286: 1.408417623470149e-06
Position 11: 8.936048418683732e-07
Position 5742: 2.8708061659291e-07
Position 6753: 9.930687303880511e-08
Position 6448: 9.477639421428012e-08
Position 5544: 1.1561313415815203e-08
Position 2121: 2.0148427373527824e-09
Position 1957: 6.485609214197709e-12
Position 454: 1.1221479466619501e-14
Position 399: 2.3239444145408337e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 17822: 0.9986401389062423
Position 1580: 0.5236583836374875
Position 18106: 0.14090057846338802
Position 1599: 0.10441619528956154
Position 1602: 0.05855680001441145
Position 286: 0.057514985273246035
Position 1635: 0.04639022772667909
Position 1605: 0.02524776174359719
Position 518: 0.017349298746565756
Position 597: 0.011726826255590213
Position 1110: 0.0078002449485990305
Position 646: 0.004846978583291333
Position 1536: 0.0029391278236575113
Position 783: 0.0026064225937296615
Position 13109: 0.0013418846281334975
Position 1134: 0.0005825000002772412
Position 316: 0.0003849973665737886
Position 13567: 0.000369848721326492
Position 363: 0.0003317147555689942
Position 305: 0.00028794797704033014
Position 173: 0.00010402257205254306
Position 9248: 1.4310002115427896e-05
Position 8263: 2.088112765880299e-06
Position 219: 1.2561554350243214e-06
Position 6074: 7.302438219687045e-07
Position 358: 6.638983125823326e-07
Position 4959: 5.448492025246158e-07
Position 240: 3.0774997550275016e-07
Position 6101: 2.6706599879214316e-07
Position 5884: 2.2609789458841997e-07
Position 193: 1.4947235728408302e-07
Position 6812: 9.930687303880511e-08
Position 6495: 5.919443169709774e-08
Position 5548: 4.0391786355007086e-08
Position 6517: 3.5581962517182166e-08
Position 4130: 1.9490545340930466e-08
Position 4298: 1.6354590275444244e-08
Position 5602: 1.1561313415815203e-08
Position 2037: 5.198854408704366e-09
Position 4843: 4.29747893156304e-09
Position 2101: 4.122217412427218e-09
Position 2175: 2.649328155793971e-09
Position 3760: 1.6519025183344533e-09
Position 2112: 1.6004652484981234e-09
Position 3439: 8.769326411175638e-10
Position 2008: 8.324805552490634e-10
Position 1872: 7.067740185409715e-10
Position 2392: 6.475551234731184e-10
Position 621: 2.9006330591524243e-10
Position 1895: 2.5655052013210793e-10
Position 1926: 1.994457912783817e-11
Position 626: 4.547511955742213e-12
