Gene = geko
index = 1714
Annotated 5SS: [ 619 4302]
Annotated 3SS: [4099 5519]
SMsplice 5SS: [ 619 4302]
SMsplice 3SS: [4099 5519]
top_k =  100
Partition function (log Z): -1.7853672540835475

Sorted 5' Splice Sites (High to Low Probability):
Position 4302: 0.9967986562355364
Position 619: 0.9881307912378925
Position 5737: 0.06928186812743539
Position 5266: 0.062342980454757016
Position 5695: 0.04969241139572383
Position 5022: 0.04230527345004534
Position 1721: 0.04093423595991541
Position 1989: 0.019127131258828093
Position 513: 0.01040002864212645
Position 1870: 0.009854290422823818
Position 4700: 0.009160974556316112
Position 5727: 0.008972778665385515
Position 289: 0.007189297847336907
Position 4479: 0.004702731499527492
Position 1006: 0.0029164671171899763
Position 5701: 0.0024720945569539797
Position 5760: 0.0023094862833920966
Position 79: 0.0021304774959865244
Position 5032: 0.0017438151565693336
Position 51: 0.0015469806639394554
Position 33: 0.0014321896382249075
Position 1145: 0.0013251612835841421
Position 5896: 0.0009425225810344882
Position 62: 0.0009287751629841076
Position 48: 0.00078913127411606
Position 167: 0.0007287449944292879
Position 197: 0.00045548161808587733
Position 1552: 0.00038368554261827294
Position 90: 0.0002738025453346404
Position 96: 0.0002096648284266681
Position 1503: 0.0001441763007336599
Position 1071: 9.760705035699871e-05
Position 104: 9.703351579568033e-05
Position 112: 8.728378922232092e-05
Position 767: 8.445778238267377e-05
Position 1104: 6.874304783447011e-05
Position 277: 6.669402736341207e-05
Position 1125: 6.620385676446782e-05
Position 128: 5.520142228767033e-05
Position 936: 4.7814836783443806e-05
Position 191: 3.642934845279075e-05
Position 1154: 2.67350035717685e-05
Position 4367: 1.6160231723091352e-05
Position 171: 1.5312827146105784e-05
Position 68: 1.3664334037514043e-05
Position 839: 1.8675423561092215e-06
Position 954: 4.88438051773491e-07
Position 581: 1.942976699368925e-07
Position 350: 1.8440269447201932e-07
Position 745: 2.9283926361805306e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5519: 0.9515739257467635
Position 4099: 0.8910821993197197
Position 5818: 0.13264417613045107
Position 4126: 0.07208740524184812
Position 1061: 0.03306334932351984
Position 4436: 0.032614192599133
Position 4918: 0.032133936668735784
Position 4123: 0.018123719187532625
Position 1614: 0.016978321667125203
Position 4946: 0.01660901573060043
Position 5485: 0.016605672702473994
Position 4515: 0.013691747327509026
Position 5466: 0.012214469625696042
Position 4569: 0.01145640404161413
Position 5021: 0.01127356704190548
Position 377: 0.010962720589553342
Position 1400: 0.008555228789231581
Position 4546: 0.008497258404043905
Position 1205: 0.008438413249852334
Position 4566: 0.008175024593169036
Position 3858: 0.005030081465630411
Position 4129: 0.004679033029857118
Position 112: 0.0041067743874214436
Position 1648: 0.0036969678084881196
Position 5945: 0.0024941524523616507
Position 3307: 0.002260052517840556
Position 3864: 0.0018279394541802104
Position 3938: 0.001348694608803286
Position 5322: 0.0013215978823668724
Position 1359: 0.0012357485451690907
Position 912: 0.0011613154898115327
Position 4799: 0.0010623767640717584
Position 350: 0.000912957452129791
Position 5851: 0.0005680042813326744
Position 3375: 0.000560595313926236
Position 5916: 0.0005454222998003714
Position 889: 0.0005083224908025611
Position 953: 6.457792476532156e-05
Position 2267: 4.3565657617144917e-05
Position 2927: 3.1320186121207596e-05
Position 4349: 2.8917508791478795e-05
Position 3090: 2.56498935382552e-05
Position 2659: 2.5578843264955983e-05
Position 842: 1.8545229831130547e-05
Position 4359: 1.58473520369223e-05
Position 202: 1.13059819535754e-05
Position 2209: 1.0645424914936025e-05
Position 4384: 1.0561101173761095e-05
Position 288: 1.040527554674602e-05
Position 2455: 4.999311255805706e-06
Position 517: 2.0364364886517164e-06
Position 275: 1.4706255142185578e-06
Position 175: 1.435172915346181e-06
Position 570: 3.590867424455391e-07
Position 308: 1.6643509662306978e-07
Position 1415: 1.3808098929439578e-08
