Gene = Elp3
index = 1153
Annotated 5SS: [ 101  405 1327]
Annotated 3SS: [ 162  460 1379]
SMsplice 5SS: [ 101  405 1327]
SMsplice 3SS: [ 162  460 1379]
top_k =  100
Partition function (log Z): 1.8277983043848063

Sorted 5' Splice Sites (High to Low Probability):
Position 405: 0.9945279803117206
Position 101: 0.9101022959550898
Position 1327: 0.806330090244823
Position 105: 0.08636257824582584
Position 717: 0.046944893871991925
Position 625: 0.035510779519926886
Position 1498: 0.028645271385264612
Position 1322: 0.028238966420726482
Position 1909: 0.006685853571983239
Position 992: 0.006293289011925915
Position 844: 0.006245070580218088
Position 252: 0.0031677804518403696
Position 815: 0.0028279733361926576
Position 1295: 0.0016450231953887586
Position 695: 0.000909534967002859
Position 6: 0.000503647041916322
Position 96: 0.0004975872563430131
Position 1001: 0.00046700312345367444
Position 400: 0.00024536934699643793
Position 409: 0.00012095401131243704
Position 279: 7.477737491956247e-05
Position 61: 5.3684765806298397e-05
Position 192: 3.421648949146069e-05
Position 50: 2.367179842509773e-05
Position 110: 1.4436942364515217e-05
Position 1288: 1.1271372792529313e-05
Position 707: 9.04468868985856e-06
Position 32: 6.516012998395816e-06
Position 55: 6.450375335325736e-06
Position 10: 5.25633184445151e-06
Position 122: 5.148652525513711e-06
Position 304: 3.54683184356625e-06
Position 318: 4.5298855591507906e-07
Position 336: 1.5803027934926273e-07
Position 580: 9.886812361497721e-08
Position 832: 1.580402112791501e-08
Position 136: 6.407162141378874e-11
Position 165: 8.569885802932528e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 162: 0.9970222888671127
Position 460: 0.9909210312818512
Position 1379: 0.8776724962526525
Position 912: 0.021879974576709284
Position 1576: 0.018694203325369748
Position 1247: 0.008824071158796338
Position 792: 0.008584224755181485
Position 1150: 0.008056311485023523
Position 1975: 0.006504257473387873
Position 1600: 0.0053713080410228535
Position 1610: 0.004044810938991275
Position 795: 0.0038419974309142103
Position 1102: 0.0030472578783817495
Position 959: 0.0029541849066383836
Position 304: 0.0024779530791003827
Position 863: 0.00170931376091598
Position 684: 0.0014429614205369225
Position 643: 0.0014140062919543556
Position 344: 0.0007961350572526791
Position 1587: 0.0005349490798807288
Position 55: 0.00023748289725471718
Position 74: 0.00019190755837773834
Position 1978: 0.0001815960985953651
Position 577: 3.4574736165836425e-05
Position 587: 3.0245971150092885e-05
Position 191: 2.2986475295043743e-05
Position 371: 1.169048475542388e-05
Position 218: 6.97559254547447e-06
Position 664: 4.7986460171251166e-06
Position 182: 2.4051259943623058e-06
Position 396: 1.4268057203844507e-06
Position 487: 3.2250284894021884e-07
Position 221: 2.9674838239820635e-07
Position 84: 1.335188927136145e-07
Position 96: 9.884813764115919e-08
Position 93: 1.0171079702300296e-08
