Gene = Eip78C
index = 1152
Annotated 5SS: [ 1783  4504  4702 37028 37379]
Annotated 3SS: [ 4270  4559 36386 37102 37436]
SMsplice 5SS: [ 1783  4504  4702 37028 37379]
SMsplice 3SS: [ 4270  4559 36386 37102 37436]
top_k =  100
Partition function (log Z): -38.23001292632396

Sorted 5' Splice Sites (High to Low Probability):
Position 4702: 0.9996325745798659
Position 4504: 0.9995962023071857
Position 1783: 0.44988890147584504
Position 5003: 0.3607092732214162
Position 1119: 0.20481500217175624
Position 338: 0.18800485851487736
Position 198: 0.07449003403159818
Position 54: 0.0454222457700444
Position 361: 0.011907476091264465
Position 247: 0.009180034087653525
Position 455: 0.007018417331462527
Position 439: 0.004967207789230049
Position 272: 0.00477286133627306
Position 4785: 0.00020359278166170427
Position 4706: 0.0001584819045144199
Position 4972: 2.1622296547777034e-05
Position 5232: 1.8159547781788066e-05
Position 5245: 7.018662041344956e-06
Position 4965: 3.45999574374921e-06
Position 4983: 3.2673940836589926e-06
Position 685: 2.4808446028440703e-06
Position 5049: 1.559811218620443e-06
Position 478: 7.778090341922629e-07
Position 725: 2.8360787189583744e-07
Position 241: 1.8771309372073168e-07
Position 5043: 1.431622898787464e-07
Position 4969: 2.9710195572842865e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4270: 0.9995431639523338
Position 15411: 0.9837754209957807
Position 4559: 0.75589105091919
Position 4765: 0.32040881959578377
Position 4576: 0.24322660850892874
Position 4839: 0.03573465708142624
Position 11678: 0.009533938080232814
Position 11942: 0.006327026996111735
Position 4878: 0.004785643734419219
Position 3445: 0.00045683604767313634
Position 4583: 0.0002358509976043718
Position 4586: 0.00020712449746355428
Position 546: 0.00010086511821241764
Position 5094: 8.793618641311088e-05
Position 502: 7.147822925260018e-05
Position 1229: 6.706682265484438e-05
Position 5374: 6.581047310514337e-05
Position 648: 5.374049260033247e-05
Position 1175: 4.741678845843763e-05
Position 4655: 3.555585467353692e-05
Position 1325: 2.2982140192531877e-05
Position 812: 2.1608302676203644e-05
Position 785: 1.8578816649945846e-05
Position 747: 1.6254281232962022e-05
Position 1351: 1.4020860667819553e-05
Position 5287: 1.4007025349021262e-05
Position 6123: 1.142715210925134e-05
Position 882: 8.90881764792407e-06
Position 1201: 6.531210973700144e-06
Position 1380: 6.026542180575616e-06
Position 6424: 4.613138684431243e-06
Position 1213: 4.022036094427024e-06
Position 5149: 3.834179869035033e-06
Position 654: 3.764306946104215e-06
Position 605: 3.0156120106616637e-06
Position 5176: 2.7151115728726723e-06
Position 394: 2.2838443343520868e-06
Position 591: 2.1653375151716987e-06
Position 5035: 1.6526439760122849e-06
Position 5398: 1.2630907320956047e-06
Position 4857: 2.7628713139937595e-07
Position 4785: 1.5282397128112366e-07
Position 773: 2.0042051444682373e-08
Position 554: 1.8972250199618944e-08
