Gene = Las
index = 1250
Annotated 5SS: [ 152  544  914 1029]
Annotated 3SS: [ 210  756  970 1083]
SMsplice 5SS: [ 544  914 1029]
SMsplice 3SS: [ 756  970 1083]
top_k =  100
Partition function (log Z): -0.6653025798174028

Sorted 5' Splice Sites (High to Low Probability):
Position 1029: 0.9842048636373177
Position 914: 0.9840681813926352
Position 544: 0.8180415800906611
Position 152: 0.1930332122957519
Position 561: 0.0360884136070991
Position 1395: 0.012067696542571449
Position 171: 0.0038174740453070974
Position 17: 0.003804185030251552
Position 327: 0.0032853477706692954
Position 94: 0.0027568279665953987
Position 140: 0.0022935888704306963
Position 595: 0.0017253577597625283
Position 78: 0.0015779086195258697
Position 387: 0.0012108180847022296
Position 1560: 0.0010895970572340993
Position 1615: 0.0009383841180718626
Position 38: 0.0007513181700222809
Position 1699: 0.0005237602263059374
Position 269: 0.0003717863767379599
Position 1520: 0.0003587035088546065
Position 1196: 0.000256237541649492
Position 1430: 0.0002413676401369758
Position 624: 0.00012144784146129934
Position 7: 0.00012059749435934991
Position 918: 9.379282096248468e-05
Position 1376: 7.714666182490163e-05
Position 832: 5.137967638086982e-05
Position 1658: 4.744282329317699e-05
Position 1601: 4.175927248030286e-05
Position 60: 4.071510343941582e-05
Position 1217: 3.8433659792795055e-05
Position 1399: 3.836657660380398e-05
Position 1256: 3.18607721691345e-05
Position 889: 3.1292376123584594e-05
Position 212: 2.2960982078220653e-05
Position 251: 1.3424824982881145e-05
Position 143: 1.1084488140827785e-05
Position 1009: 4.342527849113058e-07
Position 318: 1.3981083838816085e-08
Position 103: 1.3432013310905529e-09
Position 983: 1.2169083036876685e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 970: 0.9794381555987319
Position 1083: 0.979347010803712
Position 756: 0.7190664054488315
Position 210: 0.17388879600009555
Position 616: 0.08320196219040525
Position 685: 0.05632833637725121
Position 294: 0.022817223594095416
Position 1752: 0.008742325988569829
Position 979: 0.005552324892002157
Position 779: 0.004828774388795847
Position 1456: 0.004751697165652869
Position 1505: 0.004388030659503105
Position 1112: 0.0023443799409873134
Position 237: 0.0015110737190898592
Position 621: 0.0014331195235760194
Position 658: 0.0010944727043951648
Position 267: 0.0008818707750283268
Position 692: 0.0007095309435318964
Position 946: 0.0006181810391625703
Position 591: 0.00046431725638493797
Position 1190: 0.0003721172646357733
Position 901: 0.0003480721038560113
Position 1300: 0.0002485212337032146
Position 1161: 0.00024395558675266462
Position 853: 0.00022669505127663562
Position 432: 0.0001946296567833487
Position 393: 0.00017179618906300453
Position 156: 5.52934304979298e-05
Position 1023: 1.3007502336237212e-05
Position 311: 3.275388847347945e-06
Position 143: 2.655449532401569e-06
Position 438: 7.5184613293562e-07
Position 354: 3.4794280535329455e-09
Position 171: 3.327717888212972e-09
