Gene = Cpr73D
index = 1102
Annotated 5SS: [15094 16089 17054]
Annotated 3SS: [15950 16871 17105]
SMsplice 5SS: [ 475  665 2364 9568]
SMsplice 3SS: [  568  2156  9390 16871]
top_k =  100
Partition function (log Z): -13.084865665938503

Sorted 5' Splice Sites (High to Low Probability):
Position 2364: 0.9995399284054839
Position 9568: 0.9964410962491347
Position 665: 0.8727305646948391
Position 475: 0.5512746006938032
Position 1429: 0.40168048463290645
Position 51: 0.05280750712978617
Position 62: 0.04343717106001236
Position 115: 0.01928817908718102
Position 805: 0.015769109939432424
Position 359: 0.007036796866442854
Position 487: 0.0058650559423751025
Position 76: 0.004965526336567284
Position 95: 0.003450277322802866
Position 440: 0.0027304650572316518
Position 691: 0.0024550280478040014
Position 361: 0.002447645709534967
Position 764: 0.0019127272751410765
Position 216: 0.001832803867637585
Position 470: 0.001698709089700685
Position 363: 0.001543400868353863
Position 540: 0.001218430028620391
Position 280: 0.001204040386456923
Position 220: 0.0011848649158338524
Position 406: 0.001044526067552513
Position 515: 0.0008943899028444005
Position 435: 0.0006567149985549696
Position 55: 0.0006391951255650334
Position 67: 0.0006012733829763032
Position 3204: 0.00028933433997600555
Position 455: 0.0002558110464990985
Position 444: 9.329112709537985e-05
Position 171: 7.35298329000929e-05
Position 2781: 4.1492174730379676e-05
Position 2853: 1.0657224763723732e-05
Position 6: 9.097166940592121e-08
Position 240: 2.66840665209801e-09
Position 367: 9.038043817479511e-10
Position 365: 8.27755754079706e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9390: 0.9995051993011719
Position 16871: 0.9941736620216554
Position 2156: 0.627303645925431
Position 568: 0.5613344850396039
Position 855: 0.3079621909066404
Position 1906: 0.19620593432459085
Position 202: 0.10120829431557109
Position 867: 0.08928669529732687
Position 2265: 0.0690408378475958
Position 1491: 0.026366910491657243
Position 780: 0.010928948513533224
Position 596: 0.010643303438148722
Position 10742: 0.0027528321440271563
Position 2896: 0.00026470335597413686
Position 2659: 7.854014119875033e-05
Position 817: 1.8034858404637845e-05
Position 1158: 1.55245752687522e-05
Position 923: 1.4803368944807038e-05
Position 6024: 7.20737544227682e-06
Position 1505: 1.5995163616547095e-06
Position 1197: 7.042845192650441e-07
Position 297: 2.570639203559343e-07
Position 3553: 1.750151963180724e-07
Position 431: 1.3101498634136544e-07
Position 2440: 6.620596733355699e-08
Position 385: 2.5107391703270793e-08
Position 264: 1.1327030970970521e-08
Position 1536: 1.4246145177964647e-09
